contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042104001036,CHL,19,42,10,301.0,3010.0,2026-04-21,187204471,2766,Nepal Investment And Securities Trading Private Limited,Sani Securities Company Ltd.,2026-04-21 11:25:47.619893,Chhyangdi Hydropower Ltd.
2026042104001264,CHL,29,49,10,303.0,3030.0,2026-04-21,187208804,2766,Trisul Securities & Invt. Ltd.,Online Securities Pvt. Ltd.,2026-04-21 11:32:16.812356,Chhyangdi Hydropower Ltd.
2026042104001265,CHL,51,49,21,302.5,6352.5,2026-04-21,187208805,2766,Oxford Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-21 11:32:16.812413,Chhyangdi Hydropower Ltd.
2026042104001434,CHL,51,45,19,303.9,5774.1,2026-04-21,187212794,2766,Oxford Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-21 11:37:58.223091,Chhyangdi Hydropower Ltd.
2026042104001473,CHL,44,45,48,303.9,14587.2,2026-04-21,187213756,2766,Dynamic Money Managers Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-21 11:39:17.643787,Chhyangdi Hydropower Ltd.
2026042104001490,CHL,3,45,1900,303.9,577410.0,2026-04-21,187213950,2766,Arun Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-21 11:39:40.689328,Chhyangdi Hydropower Ltd.
2026042104001494,CHL,28,45,11,303.9,3342.9,2026-04-21,187214062,2766,Shree Krishna Securities Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-21 11:39:51.731183,Chhyangdi Hydropower Ltd.
2026042104001500,CHL,41,45,10,303.9,3039.0,2026-04-21,187214198,2766,Linch Stock Market Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-21 11:39:57.433674,Chhyangdi Hydropower Ltd.
2026042104001597,CHL,32,45,12,303.9,3646.8,2026-04-21,187216153,2766,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-21 11:42:40.189100,Chhyangdi Hydropower Ltd.
2026042104001603,CHL,32,35,48,303.9,14587.2,2026-04-21,187216309,2766,Premier Securities Company Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 11:42:46.310829,Chhyangdi Hydropower Ltd.
2026042104001607,CHL,3,42,300,304.0,91200.0,2026-04-21,187216518,2766,Arun Securities (PVT) Ltd.,Sani Securities Company Ltd.,2026-04-21 11:42:54.058135,Chhyangdi Hydropower Ltd.
2026042104001656,CHL,45,42,200,304.0,60800.0,2026-04-21,187217195,2766,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-21 11:43:43.145999,Chhyangdi Hydropower Ltd.
2026042104001657,CHL,45,26,50,304.0,15200.0,2026-04-21,187217198,2766,Imperial Securities Company Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-21 11:43:43.146190,Chhyangdi Hydropower Ltd.
2026042104001697,CHL,32,42,20,303.9,6078.0,2026-04-21,187217685,2766,Premier Securities Company Ltd.,Sani Securities Company Ltd.,2026-04-21 11:44:19.542505,Chhyangdi Hydropower Ltd.
2026042104001733,CHL,16,26,17,304.0,5168.0,2026-04-21,187218036,2766,Primo Securities (PVT) Ltd.,Asian Securities Private Ltd.,2026-04-21 11:44:46.284071,Chhyangdi Hydropower Ltd.
2026042104001746,CHL,35,42,60,304.5,18270.0,2026-04-21,187218302,2766,Kohinoor Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-21 11:45:11.566504,Chhyangdi Hydropower Ltd.
2026042104001898,CHL,32,58,159,304.1,48351.9,2026-04-21,187220759,2766,Premier Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-21 11:47:57.765937,Chhyangdi Hydropower Ltd.
