contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042103000039,KSBBL,1,57,10,494.3,4943.0,2026-04-21,187182430,459,Kumari Securities Private Limited,Aryatara Investment & Securities,2026-04-21 11:02:11.257134,Kamana Sewa Bikas Bank Limited
2026042103000084,KSBBL,17,34,50,470.5,23525.0,2026-04-21,187186267,459,ABC Securities Private Limited,Vision Securities Pvt. Ltd,2026-04-21 11:07:01.905739,Kamana Sewa Bikas Bank Limited
2026042103000150,KSBBL,4,44,10,484.5,4845.0,2026-04-21,187190210,459,Opal Securities Investment (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 11:11:30.440478,Kamana Sewa Bikas Bank Limited
2026042103000327,KSBBL,1,13,20,482.0,9640.0,2026-04-21,187205102,459,Kumari Securities Private Limited,Thrive Brokerage House Pvt. Ltd,2026-04-21 11:26:29.296806,Kamana Sewa Bikas Bank Limited
2026042103000333,KSBBL,1,13,30,482.0,14460.0,2026-04-21,187205510,459,Kumari Securities Private Limited,Thrive Brokerage House Pvt. Ltd,2026-04-21 11:27:11.695162,Kamana Sewa Bikas Bank Limited
2026042103000342,KSBBL,1,13,50,482.0,24100.0,2026-04-21,187205748,459,Kumari Securities Private Limited,Thrive Brokerage House Pvt. Ltd,2026-04-21 11:27:34.707587,Kamana Sewa Bikas Bank Limited
2026042103000727,KSBBL,49,50,55,482.0,26510.0,2026-04-21,187221395,459,Online Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-21 11:48:50.794481,Kamana Sewa Bikas Bank Limited
2026042103000728,KSBBL,49,34,245,482.0,118090.0,2026-04-21,187221398,459,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-21 11:48:50.794591,Kamana Sewa Bikas Bank Limited
2026042103000767,KSBBL,42,34,335,482.0,161470.0,2026-04-21,187223097,459,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,2026-04-21 11:51:05.940055,Kamana Sewa Bikas Bank Limited
2026042103000768,KSBBL,42,11,300,482.0,144600.0,2026-04-21,187223099,459,Sani Securities Company Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-21 11:51:05.940303,Kamana Sewa Bikas Bank Limited
2026042103000769,KSBBL,42,52,1000,483.3,483300.0,2026-04-21,187223102,459,Sani Securities Company Ltd.,Sundhara Securities Limited,2026-04-21 11:51:05.940443,Kamana Sewa Bikas Bank Limited
2026042103000930,KSBBL,75,41,643,482.0,309926.0,2026-04-21,187227583,459,N.I.M.B. Stock Markets Limited,Linch Stock Market Ltd.,2026-04-21 11:56:06.315079,Kamana Sewa Bikas Bank Limited
2026042103000931,KSBBL,75,100,500,482.5,241250.0,2026-04-21,187227585,459,N.I.M.B. Stock Markets Limited,Sunrise Securities Limited,2026-04-21 11:56:06.315329,Kamana Sewa Bikas Bank Limited
2026042103000932,KSBBL,75,18,119,483.0,57477.0,2026-04-21,187227587,459,N.I.M.B. Stock Markets Limited,Sagarmatha Securities Private Limited,2026-04-21 11:56:06.315479,Kamana Sewa Bikas Bank Limited
2026042103000933,KSBBL,75,42,550,483.4,265870.0,2026-04-21,187227589,459,N.I.M.B. Stock Markets Limited,Sani Securities Company Ltd.,2026-04-21 11:56:06.315623,Kamana Sewa Bikas Bank Limited
2026042103000934,KSBBL,75,50,188,485.0,91180.0,2026-04-21,187227592,459,N.I.M.B. Stock Markets Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-21 11:56:06.315764,Kamana Sewa Bikas Bank Limited
2026042103000950,KSBBL,49,33,300,481.0,144300.0,2026-04-21,187228072,459,Online Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-21 11:56:40.159931,Kamana Sewa Bikas Bank Limited
2026042103000993,KSBBL,13,44,2,467.6,935.2,2026-04-21,187229677,459,Thrive Brokerage House Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 11:59:09.725652,Kamana Sewa Bikas Bank Limited
2026042103001001,KSBBL,13,35,6,469.0,2814.0,2026-04-21,187229995,459,Thrive Brokerage House Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 11:59:38.301913,Kamana Sewa Bikas Bank Limited
2026042103001128,KSBBL,51,49,25,481.0,12025.0,2026-04-21,187233532,459,Oxford Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-21 12:05:08.532242,Kamana Sewa Bikas Bank Limited
2026042103001154,KSBBL,75,44,16,478.0,7648.0,2026-04-21,187234437,459,N.I.M.B. Stock Markets Limited,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 12:06:26.878315,Kamana Sewa Bikas Bank Limited
2026042103001191,KSBBL,4,49,11,481.0,5291.0,2026-04-21,187234883,459,Opal Securities Investment (PVT) Ltd.,Online Securities Pvt. Ltd.,2026-04-21 12:07:13.219103,Kamana Sewa Bikas Bank Limited
2026042103001192,KSBBL,4,29,239,484.5,115795.5,2026-04-21,187234886,459,Opal Securities Investment (PVT) Ltd.,Trisul Securities & Invt. Ltd.,2026-04-21 12:07:13.219260,Kamana Sewa Bikas Bank Limited
2026042103001925,KSBBL,34,14,500,480.5,240250.0,2026-04-21,187254090,459,Vision Securities Pvt. Ltd,Nepal Stock House (PVT) Ltd.,2026-04-21 12:43:36.651404,Kamana Sewa Bikas Bank Limited
2026042103001926,KSBBL,58,14,50,480.0,24000.0,2026-04-21,187254092,459,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-21 12:43:36.651540,Kamana Sewa Bikas Bank Limited
2026042103001927,KSBBL,35,14,50,480.0,24000.0,2026-04-21,187254094,459,Kohinoor Investment & Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-21 12:43:36.651597,Kamana Sewa Bikas Bank Limited
2026042103001928,KSBBL,42,14,9047,480.0,4342560.0,2026-04-21,187254095,459,Sani Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-21 12:43:36.651649,Kamana Sewa Bikas Bank Limited
2026042103002057,KSBBL,42,48,19,480.0,9120.0,2026-04-21,187257933,459,Sani Securities Company Ltd.,Trishakti Securities Public Limited,2026-04-21 12:51:23.006354,Kamana Sewa Bikas Bank Limited
2026042103002153,KSBBL,58,66,20,482.0,9640.0,2026-04-21,187259578,459,Naasa Securities Co. Ltd.,Miyo Securities Pvt Ltd,2026-04-21 12:54:03.780637,Kamana Sewa Bikas Bank Limited
2026042103002169,KSBBL,42,57,250,480.0,120000.0,2026-04-21,187259819,459,Sani Securities Company Ltd.,Aryatara Investment & Securities,2026-04-21 12:54:27.833396,Kamana Sewa Bikas Bank Limited
