contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042103000531,NFS,56,49,100,612.0,61200.0,Sri Hari Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-21 11:36:40.314747
2026042103000640,NFS,56,35,20,612.0,12240.0,Sri Hari Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 11:43:20.499560
2026042103001107,NFS,28,19,100,613.0,61300.0,Shree Krishna Securities Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-21 12:04:47.163061
2026042103001331,NFS,50,26,60,613.0,36780.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-21 12:15:49.263412
2026042103001399,NFS,56,58,15,612.0,9180.0,Sri Hari Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-21 12:19:13.062307
2026042103001477,NFS,56,42,65,612.0,39780.0,Sri Hari Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-21 12:23:54.845452
2026042103001478,NFS,38,42,100,612.0,61200.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sani Securities Company Ltd.,2026-04-21 12:23:54.845665
2026042103001479,NFS,42,42,307,612.0,187884.0,Sani Securities Company Ltd.,Sani Securities Company Ltd.,2026-04-21 12:23:54.845802
2026042103001480,NFS,58,42,21,612.0,12852.0,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-21 12:23:54.845921
2026042103001540,NFS,42,42,60,612.0,36720.0,Sani Securities Company Ltd.,Sani Securities Company Ltd.,2026-04-21 12:25:52.810298
2026042103001546,NFS,44,42,200,611.0,122200.0,Dynamic Money Managers Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-21 12:26:26.127564
2026042103001547,NFS,39,42,390,611.0,238290.0,Sumeru Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-21 12:26:26.127767
2026042103001576,NFS,51,34,100,610.0,61000.0,Oxford Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-21 12:27:28.101703
2026042103001577,NFS,43,34,100,610.0,61000.0,South Asian Bulls Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-21 12:27:28.101900
2026042103001578,NFS,57,34,200,610.0,122000.0,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,2026-04-21 12:27:28.102047
2026042103001600,NFS,57,42,300,610.0,183000.0,Aryatara Investment & Securities,Sani Securities Company Ltd.,2026-04-21 12:29:01.667608
2026042103001988,NFS,58,26,40,610.0,24400.0,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,2026-04-21 12:47:15.984085
2026042103002185,NFS,58,44,10,610.0,6100.0,Naasa Securities Co. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 12:54:45.650583
2026042103002186,NFS,58,44,18,609.1,10963.8,Naasa Securities Co. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 12:54:45.650700
2026042103002187,NFS,11,44,10,609.0,6090.0,Malla & Malla Stock Broking Company Pvt. Limited,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 12:54:45.650749
2026042103002188,NFS,48,44,50,609.0,30450.0,Trishakti Securities Public Limited,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 12:54:45.650794
2026042103002189,NFS,57,44,10,609.0,6090.0,Aryatara Investment & Securities,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 12:54:45.650839
