contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042105000168,NYADI,52,29,10,403.0,4030.0,Sundhara Securities Limited,Trisul Securities & Invt. Ltd.,2026-04-21 11:05:07.111534
2026042105000228,NYADI,32,21,10,403.0,4030.0,Premier Securities Company Ltd.,Midas Stock Broking Company Private Limited,2026-04-21 11:06:29.734783
2026042105000436,NYADI,35,94,20,402.0,8040.0,Kohinoor Investment & Securities Pvt. Ltd.,K.B.L. Securities Limited ,2026-04-21 11:09:34.027727
2026042105000468,NYADI,32,94,20,401.0,8020.0,Premier Securities Company Ltd.,K.B.L. Securities Limited ,2026-04-21 11:10:15.251950
2026042105000469,NYADI,13,94,210,400.1,84021.0,Thrive Brokerage House Pvt. Ltd,K.B.L. Securities Limited ,2026-04-21 11:10:15.252034
2026042105000640,NYADI,35,58,10,401.0,4010.0,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-21 11:12:40.708857
2026042105000986,NYADI,35,11,10,401.0,4010.0,Kohinoor Investment & Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-21 11:18:48.639746
2026042105001245,NYADI,13,22,10,400.1,4001.0,Thrive Brokerage House Pvt. Ltd,Siprabi Securities Pvt. Ltd.,2026-04-21 11:23:21.038489
2026042105001308,NYADI,52,49,10,401.0,4010.0,Sundhara Securities Limited,Online Securities Pvt. Ltd.,2026-04-21 11:24:56.142362
2026042105001556,NYADI,13,44,10,400.1,4001.0,Thrive Brokerage House Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 11:29:30.192956
2026042105001573,NYADI,13,78,10,400.1,4001.0,Thrive Brokerage House Pvt. Ltd,Garima Securities Limited,2026-04-21 11:30:00.990638
2026042105001952,NYADI,13,13,10,400.3,4003.0,Thrive Brokerage House Pvt. Ltd,Thrive Brokerage House Pvt. Ltd,2026-04-21 11:36:01.241383
2026042105001963,NYADI,41,26,40,400.4,16016.0,Linch Stock Market Ltd.,Asian Securities Private Ltd.,2026-04-21 11:36:17.983371
2026042105001965,NYADI,41,13,30,400.4,12012.0,Linch Stock Market Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-21 11:36:20.763648
2026042105002016,NYADI,13,58,10,400.5,4005.0,Thrive Brokerage House Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-21 11:37:13.571555
2026042105002239,NYADI,13,58,10,402.0,4020.0,Thrive Brokerage House Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-21 11:41:07.508901
2026042105002995,NYADI,13,38,30,404.0,12120.0,Thrive Brokerage House Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-21 11:53:16.326474
2026042105003056,NYADI,13,58,10,402.2,4022.0,Thrive Brokerage House Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-21 11:53:59.857410
2026042105003088,NYADI,41,38,30,402.3,12069.0,Linch Stock Market Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-21 11:54:16.556640
2026042105003799,NYADI,57,57,10,402.0,4020.0,Aryatara Investment & Securities,Aryatara Investment & Securities,2026-04-21 12:03:25.347196
2026042105003827,NYADI,57,52,40,402.0,16080.0,Aryatara Investment & Securities,Sundhara Securities Limited,2026-04-21 12:03:52.778905
2026042105004123,NYADI,57,49,10,402.0,4020.0,Aryatara Investment & Securities,Online Securities Pvt. Ltd.,2026-04-21 12:08:51.915358
2026042105004212,NYADI,57,17,10,402.0,4020.0,Aryatara Investment & Securities,ABC Securities Private Limited,2026-04-21 12:10:49.935032
2026042105004237,NYADI,52,46,10,403.0,4030.0,Sundhara Securities Limited,Kalika Securities Pvt. Ltd.,2026-04-21 12:11:33.016064
2026042105004325,NYADI,57,52,40,402.0,16080.0,Aryatara Investment & Securities,Sundhara Securities Limited,2026-04-21 12:13:08.511130
2026042105004326,NYADI,90,52,10,402.0,4020.0,Sajilo Broker Limited,Sundhara Securities Limited,2026-04-21 12:13:08.511232
2026042105004358,NYADI,90,36,20,402.0,8040.0,Sajilo Broker Limited,Secured Securities Ltd.,2026-04-21 12:14:03.990533
2026042105004641,NYADI,47,46,30,402.0,12060.0,Neev Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-21 12:20:03.320499
2026042105004764,NYADI,13,29,10,401.1,4011.0,Thrive Brokerage House Pvt. Ltd,Trisul Securities & Invt. Ltd.,2026-04-21 12:22:12.816407
2026042105004778,NYADI,13,67,10,401.1,4011.0,Thrive Brokerage House Pvt. Ltd,Property Wiard Limited,2026-04-21 12:22:34.238692
2026042105005644,NYADI,13,89,10,401.1,4011.0,Thrive Brokerage House Pvt. Ltd,Global IME Securities Limited,2026-04-21 12:36:26.987809
2026042105005684,NYADI,13,89,10,401.1,4011.0,Thrive Brokerage House Pvt. Ltd,Global IME Securities Limited,2026-04-21 12:37:44.810327
2026042105006143,NYADI,13,34,10,401.1,4011.0,Thrive Brokerage House Pvt. Ltd,Vision Securities Pvt. Ltd,2026-04-21 12:47:34.056916
2026042105006173,NYADI,13,52,40,401.1,16044.0,Thrive Brokerage House Pvt. Ltd,Sundhara Securities Limited,2026-04-21 12:48:21.391343
2026042105006201,NYADI,4,52,40,401.0,16040.0,Opal Securities Investment (PVT) Ltd.,Sundhara Securities Limited,2026-04-21 12:48:53.961632
2026042105006594,NYADI,4,58,10,401.0,4010.0,Opal Securities Investment (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-21 12:55:27.348742
2026042105006717,NYADI,47,38,10,402.0,4020.0,Neev Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-21 12:57:41.398604
2026042105006718,NYADI,47,58,10,402.0,4020.0,Neev Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-21 12:57:41.398804
2026042105008026,NYADI,74,32,10,402.0,4020.0,KALASH STOCK MARKET PVT. LTD.,Premier Securities Company Ltd.,2026-04-21 13:22:36.174543
2026042105008027,NYADI,74,7,40,402.0,16080.0,KALASH STOCK MARKET PVT. LTD.,J.F. Securites (PVT) Ltd.,2026-04-21 13:22:36.174670
2026042105008047,NYADI,6,7,260,402.0,104520.0,Agrawal Securities (PVT) Ltd.,J.F. Securites (PVT) Ltd.,2026-04-21 13:23:03.027437
2026042105008450,NYADI,6,58,10,402.0,4020.0,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-21 13:28:09.433755
2026042105008701,NYADI,6,44,10,402.0,4020.0,Agrawal Securities (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 13:32:40.244128
2026042105008831,NYADI,6,51,10,402.0,4020.0,Agrawal Securities (PVT) Ltd.,Oxford Securities Pvt. Ltd.,2026-04-21 13:35:27.034802
2026042105008971,NYADI,6,57,10,402.0,4020.0,Agrawal Securities (PVT) Ltd.,Aryatara Investment & Securities,2026-04-21 13:39:07.753336
2026042105009095,NYADI,13,74,180,403.0,72540.0,Thrive Brokerage House Pvt. Ltd,KALASH STOCK MARKET PVT. LTD.,2026-04-21 13:41:26.813795
2026042105009251,NYADI,13,38,10,402.1,4021.0,Thrive Brokerage House Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-21 13:43:51.281521
2026042105009287,NYADI,13,29,10,402.1,4021.0,Thrive Brokerage House Pvt. Ltd,Trisul Securities & Invt. Ltd.,2026-04-21 13:44:21.671741
2026042105009313,NYADI,13,35,10,402.1,4021.0,Thrive Brokerage House Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 13:45:07.172988
2026042105009768,NYADI,13,52,40,402.3,16092.0,Thrive Brokerage House Pvt. Ltd,Sundhara Securities Limited,2026-04-21 13:52:48.478361
