contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042104000427,PMHPL,22,3,42,350.0,14700.0,2026-04-21,187189920,2786,Siprabi Securities Pvt. Ltd.,Arun Securities (PVT) Ltd.,2026-04-21 11:11:11.578723,Panchakanya Mai Hydropower Ltd
2026042104000557,PMHPL,77,6,10,346.0,3460.0,2026-04-21,187192379,2786,Nabil Stock Dealer Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-21 11:14:22.020069,Panchakanya Mai Hydropower Ltd
2026042104000812,PMHPL,1,3,108,350.0,37800.0,2026-04-21,187198588,2786,Kumari Securities Private Limited,Arun Securities (PVT) Ltd.,2026-04-21 11:20:34.759258,Panchakanya Mai Hydropower Ltd
2026042104000916,PMHPL,76,38,10,356.0,3560.0,2026-04-21,187201734,2786,Machhapuchchhre Securities Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-21 11:23:03.548494,Panchakanya Mai Hydropower Ltd
2026042104001002,PMHPL,44,38,30,356.0,10680.0,2026-04-21,187203370,2786,Dynamic Money Managers Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-21 11:24:34.110698,Panchakanya Mai Hydropower Ltd
2026042104001532,PMHPL,7,54,100,355.0,35500.0,2026-04-21,187214669,2786,J.F. Securites (PVT) Ltd.,Sewa Securities Pvt. Ltd.,2026-04-21 11:40:48.601482,Panchakanya Mai Hydropower Ltd
2026042104001655,PMHPL,62,42,95,350.1,33259.5,2026-04-21,187217193,2786,Capital Max Securities Ltd,Sani Securities Company Ltd.,2026-04-21 11:43:43.054130,Panchakanya Mai Hydropower Ltd
2026042104001707,PMHPL,76,33,10,354.9,3549.0,2026-04-21,187217778,2786,Machhapuchchhre Securities Limited,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-21 11:44:29.291216,Panchakanya Mai Hydropower Ltd
2026042104002177,PMHPL,51,29,11,354.0,3894.0,2026-04-21,187224948,2786,Oxford Securities Pvt. Ltd.,Trisul Securities & Invt. Ltd.,2026-04-21 11:53:20.304494,Panchakanya Mai Hydropower Ltd
2026042104002723,PMHPL,58,48,20,351.0,7020.0,2026-04-21,187231674,2786,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-04-21 12:02:10.993327,Panchakanya Mai Hydropower Ltd
2026042104002735,PMHPL,76,48,50,350.1,17505.0,2026-04-21,187231836,2786,Machhapuchchhre Securities Limited,Trishakti Securities Public Limited,2026-04-21 12:02:27.423812,Panchakanya Mai Hydropower Ltd
2026042104002736,PMHPL,38,48,50,350.1,17505.0,2026-04-21,187231838,2786,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trishakti Securities Public Limited,2026-04-21 12:02:27.423952,Panchakanya Mai Hydropower Ltd
