contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042104000892,RURU,58,48,1,655.0,655.0,2026-04-21,187201147,2935,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-04-21 11:22:33.116713,Ru Ru Jalbidhyut Pariyojana Limited
2026042104001208,RURU,49,74,10,667.2,6672.0,2026-04-21,187208021,2935,Online Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-21 11:31:05.799283,Ru Ru Jalbidhyut Pariyojana Limited
2026042104001555,RURU,58,38,1,655.0,655.0,2026-04-21,187215063,2935,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-21 11:41:24.771331,Ru Ru Jalbidhyut Pariyojana Limited
2026042104001584,RURU,57,63,1,655.0,655.0,2026-04-21,187215925,2935,Aryatara Investment & Securities,Himalayan Brokerage Company Limited,2026-04-21 11:42:24.275002,Ru Ru Jalbidhyut Pariyojana Limited
2026042104001601,RURU,58,58,1,655.0,655.0,2026-04-21,187216299,2935,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-21 11:42:45.421559,Ru Ru Jalbidhyut Pariyojana Limited
2026042104001659,RURU,58,58,1,656.0,656.0,2026-04-21,187217229,2935,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-21 11:43:44.688856,Ru Ru Jalbidhyut Pariyojana Limited
2026042104001671,RURU,38,41,10,671.3,6713.0,2026-04-21,187217333,2935,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Linch Stock Market Ltd.,2026-04-21 11:43:50.748125,Ru Ru Jalbidhyut Pariyojana Limited
2026042104001745,RURU,58,48,2,655.0,1310.0,2026-04-21,187218247,2935,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-04-21 11:45:06.439082,Ru Ru Jalbidhyut Pariyojana Limited
2026042104001787,RURU,38,57,10,672.0,6720.0,2026-04-21,187219270,2935,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,2026-04-21 11:46:09.508066,Ru Ru Jalbidhyut Pariyojana Limited
2026042104001863,RURU,47,44,17,670.0,11390.0,2026-04-21,187220279,2935,Neev Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 11:47:26.906696,Ru Ru Jalbidhyut Pariyojana Limited
2026042104001923,RURU,52,57,10,672.0,6720.0,2026-04-21,187221048,2935,Sundhara Securities Limited,Aryatara Investment & Securities,2026-04-21 11:48:18.139219,Ru Ru Jalbidhyut Pariyojana Limited
2026042104002180,RURU,47,11,30,670.0,20100.0,2026-04-21,187225005,2935,Neev Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-21 11:53:24.601250,Ru Ru Jalbidhyut Pariyojana Limited
2026042104002217,RURU,47,58,15,670.0,10050.0,2026-04-21,187225821,2935,Neev Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-21 11:54:02.047079,Ru Ru Jalbidhyut Pariyojana Limited
2026042104002879,RURU,17,57,10,672.0,6720.0,2026-04-21,187233320,2935,ABC Securities Private Limited,Aryatara Investment & Securities,2026-04-21 12:04:50.991203,Ru Ru Jalbidhyut Pariyojana Limited
2026042104002982,RURU,58,94,1,656.0,656.0,2026-04-21,187234985,2935,Naasa Securities Co. Ltd.,K.B.L. Securities Limited ,2026-04-21 12:07:27.835960,Ru Ru Jalbidhyut Pariyojana Limited
2026042104003847,RURU,76,58,4,672.0,2688.0,2026-04-21,187245903,2935,Machhapuchchhre Securities Limited,Naasa Securities Co. Ltd.,2026-04-21 12:29:16.782381,Ru Ru Jalbidhyut Pariyojana Limited
2026042104003857,RURU,58,58,2,660.0,1320.0,2026-04-21,187246001,2935,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-21 12:29:27.307022,Ru Ru Jalbidhyut Pariyojana Limited
2026042104003991,RURU,58,53,1,655.0,655.0,2026-04-21,187247887,2935,Naasa Securities Co. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-21 12:32:13.697673,Ru Ru Jalbidhyut Pariyojana Limited
2026042104004172,RURU,6,59,22,670.2,14744.4,2026-04-21,187249878,2935,Agrawal Securities (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-21 12:35:19.707434,Ru Ru Jalbidhyut Pariyojana Limited
2026042104004173,RURU,17,59,180,670.2,120636.0,2026-04-21,187249879,2935,ABC Securities Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-21 12:35:19.707631,Ru Ru Jalbidhyut Pariyojana Limited
2026042104004195,RURU,17,42,30,670.2,20106.0,2026-04-21,187250213,2935,ABC Securities Private Limited,Sani Securities Company Ltd.,2026-04-21 12:36:01.405205,Ru Ru Jalbidhyut Pariyojana Limited
2026042104004734,RURU,49,42,20,670.4,13408.0,2026-04-21,187256875,2935,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-21 12:49:19.662568,Ru Ru Jalbidhyut Pariyojana Limited
2026042104004773,RURU,34,41,15,670.3,10054.5,2026-04-21,187257351,2935,Vision Securities Pvt. Ltd,Linch Stock Market Ltd.,2026-04-21 12:50:25.514413,Ru Ru Jalbidhyut Pariyojana Limited
2026042104004956,RURU,34,10,300,674.0,202200.0,2026-04-21,187259385,2935,Vision Securities Pvt. Ltd,Pragyan Securities (PVT) Ltd.,2026-04-21 12:53:42.056272,Ru Ru Jalbidhyut Pariyojana Limited
2026042104005003,RURU,34,42,55,674.0,37070.0,2026-04-21,187259777,2935,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-04-21 12:54:25.559232,Ru Ru Jalbidhyut Pariyojana Limited
2026042104005036,RURU,34,17,15,674.0,10110.0,2026-04-21,187260415,2935,Vision Securities Pvt. Ltd,ABC Securities Private Limited,2026-04-21 12:55:25.226719,Ru Ru Jalbidhyut Pariyojana Limited
2026042104005194,RURU,58,38,1,656.0,656.0,2026-04-21,187261921,2935,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-21 12:57:27.228534,Ru Ru Jalbidhyut Pariyojana Limited
2026042104005382,RURU,34,17,115,674.0,77510.0,2026-04-21,187264088,2935,Vision Securities Pvt. Ltd,ABC Securities Private Limited,2026-04-21 13:02:04.810877,Ru Ru Jalbidhyut Pariyojana Limited
2026042104006007,RURU,22,48,30,670.3,20109.0,2026-04-21,187275262,2935,Siprabi Securities Pvt. Ltd.,Trishakti Securities Public Limited,2026-04-21 13:16:23.537032,Ru Ru Jalbidhyut Pariyojana Limited
2026042104006008,RURU,17,48,10,670.2,6702.0,2026-04-21,187275263,2935,ABC Securities Private Limited,Trishakti Securities Public Limited,2026-04-21 13:16:23.537178,Ru Ru Jalbidhyut Pariyojana Limited
2026042104006162,RURU,17,61,80,670.2,53616.0,2026-04-21,187277048,2935,ABC Securities Private Limited,BHOLE GANESH SECURITIES LTD,2026-04-21 13:19:56.401957,Ru Ru Jalbidhyut Pariyojana Limited
2026042104006163,RURU,49,61,100,670.1,67010.0,2026-04-21,187277050,2935,Online Securities Pvt. Ltd.,BHOLE GANESH SECURITIES LTD,2026-04-21 13:19:56.402175,Ru Ru Jalbidhyut Pariyojana Limited
2026042104006164,RURU,47,61,292,670.0,195640.0,2026-04-21,187277051,2935,Neev Securities Pvt. Ltd.,BHOLE GANESH SECURITIES LTD,2026-04-21 13:19:56.402342,Ru Ru Jalbidhyut Pariyojana Limited
2026042104006436,RURU,58,58,2,656.0,1312.0,2026-04-21,187280429,2935,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-21 13:25:59.726239,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007248,RURU,57,22,1,655.0,655.0,2026-04-21,187288901,2935,Aryatara Investment & Securities,Siprabi Securities Pvt. Ltd.,2026-04-21 13:41:19.661796,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007266,RURU,58,22,3,655.0,1965.0,2026-04-21,187289179,2935,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-21 13:41:39.556154,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007292,RURU,13,34,10,672.9,6729.0,2026-04-21,187289622,2935,Thrive Brokerage House Pvt. Ltd,Vision Securities Pvt. Ltd,2026-04-21 13:42:12.158810,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007407,RURU,17,42,15,670.1,10051.5,2026-04-21,187291018,2935,ABC Securities Private Limited,Sani Securities Company Ltd.,2026-04-21 13:45:10.773055,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007542,RURU,17,45,45,670.1,30154.5,2026-04-21,187293051,2935,ABC Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-21 13:49:09.793825,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007806,RURU,17,34,190,670.1,127319.0,2026-04-21,187297216,2935,ABC Securities Private Limited,Vision Securities Pvt. Ltd,2026-04-21 13:56:49.212489,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007807,RURU,47,34,146,670.0,97820.0,2026-04-21,187297218,2935,Neev Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-21 13:56:49.212589,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007808,RURU,68,34,20,670.0,13400.0,2026-04-21,187297220,2935,Elite Stock House Limited,Vision Securities Pvt. Ltd,2026-04-21 13:56:49.212678,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007809,RURU,22,34,70,670.0,46900.0,2026-04-21,187297222,2935,Siprabi Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-21 13:56:49.212744,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007810,RURU,42,34,13,670.0,8710.0,2026-04-21,187297224,2935,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,2026-04-21 13:56:49.212815,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007811,RURU,58,34,100,669.0,66900.0,2026-04-21,187297225,2935,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,2026-04-21 13:56:49.212892,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007842,RURU,49,34,10,668.2,6682.0,2026-04-21,187297470,2935,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-21 13:57:13.647522,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007843,RURU,59,34,10,668.0,6680.0,2026-04-21,187297472,2935,Deevyaa Securities & Stock House Pvt. Ltd,Vision Securities Pvt. Ltd,2026-04-21 13:57:13.647618,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007844,RURU,46,34,18,668.0,12024.0,2026-04-21,187297474,2935,Kalika Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-21 13:57:13.647689,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007845,RURU,49,34,90,667.2,60048.0,2026-04-21,187297476,2935,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-21 13:57:13.647754,Ru Ru Jalbidhyut Pariyojana Limited
2026042104007846,RURU,58,34,218,667.2,145449.6,2026-04-21,187297477,2935,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,2026-04-21 13:57:13.647820,Ru Ru Jalbidhyut Pariyojana Limited
2026042104008894,RURU,34,41,18,668.0,12024.0,2026-04-21,187309764,2935,Vision Securities Pvt. Ltd,Linch Stock Market Ltd.,2026-04-21 14:16:21.641846,Ru Ru Jalbidhyut Pariyojana Limited
2026042104009210,RURU,51,41,15,668.0,10020.0,2026-04-21,187312624,2935,Oxford Securities Pvt. Ltd.,Linch Stock Market Ltd.,2026-04-21 14:19:56.740139,Ru Ru Jalbidhyut Pariyojana Limited
2026042104009513,RURU,58,1,20,672.0,13440.0,2026-04-21,187315180,2935,Naasa Securities Co. Ltd.,Kumari Securities Private Limited,2026-04-21 14:22:19.665970,Ru Ru Jalbidhyut Pariyojana Limited
2026042104009626,RURU,58,65,1,660.0,660.0,2026-04-21,187316197,2935,Naasa Securities Co. Ltd.,Sharepro Securities Private Limited,2026-04-21 14:23:30.537205,Ru Ru Jalbidhyut Pariyojana Limited
2026042104011505,RURU,38,57,15,671.9,10078.5,2026-04-21,187329644,2935,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,2026-04-21 14:35:49.314201,Ru Ru Jalbidhyut Pariyojana Limited
2026042104011800,RURU,57,57,55,670.0,36850.0,2026-04-21,187332281,2935,Aryatara Investment & Securities,Aryatara Investment & Securities,2026-04-21 14:38:21.851949,Ru Ru Jalbidhyut Pariyojana Limited
2026042104012401,RURU,17,34,20,670.1,13402.0,2026-04-21,187337275,2935,ABC Securities Private Limited,Vision Securities Pvt. Ltd,2026-04-21 14:42:35.084151,Ru Ru Jalbidhyut Pariyojana Limited
2026042104013116,RURU,17,10,150,670.1,100515.0,2026-04-21,187342923,2935,ABC Securities Private Limited,Pragyan Securities (PVT) Ltd.,2026-04-21 14:46:16.330302,Ru Ru Jalbidhyut Pariyojana Limited
2026042104014270,RURU,62,36,10,670.1,6701.0,2026-04-21,187351382,2935,Capital Max Securities Ltd,Secured Securities Ltd.,2026-04-21 14:51:12.695799,Ru Ru Jalbidhyut Pariyojana Limited
