contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042101004512,SCB,45,38,10,658.0,6580.0,2026-04-21,187192512,133,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-21 11:14:34.038288,Standard Chartered Bank Limited
2026042101004834,SCB,58,38,20,658.0,13160.0,2026-04-21,187193318,133,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-21 11:15:14.734017,Standard Chartered Bank Limited
2026042101009714,SCB,58,47,35,651.0,22785.0,2026-04-21,187205699,133,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,2026-04-21 11:27:30.219771,Standard Chartered Bank Limited
2026042101010636,SCB,58,44,116,651.0,75516.0,2026-04-21,187208443,133,Naasa Securities Co. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 11:31:49.425039,Standard Chartered Bank Limited
2026042101011223,SCB,76,42,10,655.3,6553.0,2026-04-21,187210284,133,Machhapuchchhre Securities Limited,Sani Securities Company Ltd.,2026-04-21 11:34:32.796659,Standard Chartered Bank Limited
2026042101012657,SCB,34,42,20,655.3,13106.0,2026-04-21,187214342,133,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-04-21 11:40:16.518301,Standard Chartered Bank Limited
2026042101013824,SCB,58,5,25,654.0,16350.0,2026-04-21,187217673,133,Naasa Securities Co. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-21 11:44:18.632911,Standard Chartered Bank Limited
2026042101014120,SCB,4,42,346,655.3,226733.8,2026-04-21,187218541,133,Opal Securities Investment (PVT) Ltd.,Sani Securities Company Ltd.,2026-04-21 11:45:27.929327,Standard Chartered Bank Limited
2026042101014121,SCB,4,35,54,656.9,35472.6,2026-04-21,187218544,133,Opal Securities Investment (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 11:45:27.929405,Standard Chartered Bank Limited
2026042101015527,SCB,49,35,10,656.9,6569.0,2026-04-21,187222656,133,Online Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 11:50:29.085609,Standard Chartered Bank Limited
2026042101015912,SCB,58,58,65,654.0,42510.0,2026-04-21,187223865,133,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-21 11:51:53.821881,Standard Chartered Bank Limited
2026042101016465,SCB,17,56,4,653.0,2612.0,2026-04-21,187225481,133,ABC Securities Private Limited,Sri Hari Securities Pvt. Ltd.,2026-04-21 11:53:41.953169,Standard Chartered Bank Limited
2026042101018049,SCB,76,35,10,656.8,6568.0,2026-04-21,187231608,133,Machhapuchchhre Securities Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 12:02:06.345178,Standard Chartered Bank Limited
2026042101018544,SCB,58,11,1,651.0,651.0,2026-04-21,187233299,133,Naasa Securities Co. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-21 12:04:48.551035,Standard Chartered Bank Limited
2026042101018702,SCB,58,35,150,654.1,98115.0,2026-04-21,187233951,133,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 12:05:47.731467,Standard Chartered Bank Limited
2026042101018753,SCB,58,35,160,654.0,104640.0,2026-04-21,187234088,133,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 12:05:59.513614,Standard Chartered Bank Limited
2026042101018754,SCB,41,35,20,654.0,13080.0,2026-04-21,187234089,133,Linch Stock Market Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 12:05:59.513705,Standard Chartered Bank Limited
