contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042104000172,SHL,56,48,200,505.1,101020.0,Sri Hari Securities Pvt. Ltd.,Trishakti Securities Public Limited,2026-04-21 11:04:53.392782
2026042104000486,SHL,21,8,500,505.0,252500.0,Midas Stock Broking Company Private Limited,Brilliant Securities Pvt. Ltd.,2026-04-21 11:12:32.445782
2026042104000693,SHL,45,52,276,503.1,138855.6,Imperial Securities Company Pvt. Ltd.,Sundhara Securities Limited,2026-04-21 11:18:09.710660
2026042104001892,SHL,43,44,100,509.0,50900.0,South Asian Bulls Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 11:47:54.263492
2026042104001893,SHL,43,44,200,509.5,101900.0,South Asian Bulls Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-21 11:47:54.263745
2026042104001894,SHL,43,35,500,509.9,254950.0,South Asian Bulls Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 11:47:54.263895
2026042104001895,SHL,43,77,200,509.9,101980.0,South Asian Bulls Pvt. Ltd.,Nabil Stock Dealer Ltd.,2026-04-21 11:47:54.264106
2026042104001910,SHL,43,77,300,509.9,152970.0,South Asian Bulls Pvt. Ltd.,Nabil Stock Dealer Ltd.,2026-04-21 11:48:09.919435
2026042104002178,SHL,71,66,250,509.8,127450.0,SHUBHAKAMANA SECURITIES PVT. LTD,Miyo Securities Pvt Ltd,2026-04-21 11:53:20.719989
2026042104002604,SHL,65,26,167,507.1,84685.7,Sharepro Securities Private Limited,Asian Securities Private Ltd.,2026-04-21 11:59:25.293577
2026042104002674,SHL,43,67,109,507.0,55263.0,South Asian Bulls Pvt. Ltd.,Property Wiard Limited,2026-04-21 12:01:01.671110
2026042104002973,SHL,65,43,164,506.2,83016.8,Sharepro Securities Private Limited,South Asian Bulls Pvt. Ltd.,2026-04-21 12:07:11.804905
2026042104003046,SHL,14,49,10,510.0,5100.0,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,2026-04-21 12:09:27.183932
2026042104003113,SHL,65,22,190,506.2,96178.0,Sharepro Securities Private Limited,Siprabi Securities Pvt. Ltd.,2026-04-21 12:11:14.646062
2026042104003292,SHL,71,4,115,507.0,58305.0,SHUBHAKAMANA SECURITIES PVT. LTD,Opal Securities Investment (PVT) Ltd.,2026-04-21 12:16:26.545761
2026042104003300,SHL,71,39,300,507.0,152100.0,SHUBHAKAMANA SECURITIES PVT. LTD,Sumeru Securities Pvt. Ltd.,2026-04-21 12:16:38.232407
2026042104003398,SHL,66,39,7,500.7,3504.9,Miyo Securities Pvt Ltd,Sumeru Securities Pvt. Ltd.,2026-04-21 12:18:52.165950
2026042104003406,SHL,71,6,300,507.0,152100.0,SHUBHAKAMANA SECURITIES PVT. LTD,Agrawal Securities (PVT) Ltd.,2026-04-21 12:19:11.003375
2026042104003448,SHL,1,45,1,500.0,500.0,Kumari Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-21 12:20:42.847439
2026042104003489,SHL,1,48,4,500.0,2000.0,Kumari Securities Private Limited,Trishakti Securities Public Limited,2026-04-21 12:21:39.839443
2026042104003686,SHL,71,35,285,507.0,144495.0,SHUBHAKAMANA SECURITIES PVT. LTD,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 12:25:03.437595
2026042104003687,SHL,65,35,646,506.2,327005.2,Sharepro Securities Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 12:25:03.437852
2026042104003688,SHL,71,35,250,506.1,126525.0,SHUBHAKAMANA SECURITIES PVT. LTD,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 12:25:03.438026
2026042104003689,SHL,17,35,819,506.0,414414.0,ABC Securities Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-21 12:25:03.438186
2026042104003780,SHL,3,60,8,509.8,4078.4,Arun Securities (PVT) Ltd.,Nagarik Stock Dealer ,2026-04-21 12:28:03.422287
2026042104003786,SHL,58,60,8,509.0,4072.0,Naasa Securities Co. Ltd.,Nagarik Stock Dealer ,2026-04-21 12:28:11.997289
2026042104003831,SHL,34,66,100,506.1,50610.0,Vision Securities Pvt. Ltd,Miyo Securities Pvt Ltd,2026-04-21 12:29:04.177057
2026042104003832,SHL,17,66,181,506.0,91586.0,ABC Securities Private Limited,Miyo Securities Pvt Ltd,2026-04-21 12:29:04.177357
2026042104003846,SHL,56,66,500,505.8,252900.0,Sri Hari Securities Pvt. Ltd.,Miyo Securities Pvt Ltd,2026-04-21 12:29:13.406234
