contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042103000005,SIFC,42,22,50,581.7,29085.0,Sani Securities Company Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-21 10:46:00.040015
2026042103000017,SIFC,4,22,10,570.0,5700.0,Opal Securities Investment (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-21 11:00:09.677235
2026042103000025,SIFC,49,40,10,565.0,5650.0,Online Securities Pvt. Ltd.,Creative Securities Pvt Ltd,2026-04-21 11:00:56.271950
2026042103000098,SIFC,35,1,100,552.9,55290.0,Kohinoor Investment & Securities Pvt. Ltd.,Kumari Securities Private Limited,2026-04-21 11:07:57.242837
2026042103000573,SIFC,45,47,22,551.0,12122.0,Imperial Securities Company Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-21 11:40:39.730090
2026042103000651,SIFC,38,47,214,550.0,117700.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Neev Securities Pvt. Ltd.,2026-04-21 11:43:55.719913
2026042103000652,SIFC,21,47,764,550.0,420200.0,Midas Stock Broking Company Private Limited,Neev Securities Pvt. Ltd.,2026-04-21 11:43:55.720037
2026042103001079,SIFC,6,47,100,550.2,55020.0,Agrawal Securities (PVT) Ltd.,Neev Securities Pvt. Ltd.,2026-04-21 12:03:03.683875
2026042103001080,SIFC,58,47,46,550.1,25304.6,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,2026-04-21 12:03:03.684007
2026042103001081,SIFC,58,47,50,550.1,27505.0,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,2026-04-21 12:03:03.684088
2026042103001101,SIFC,21,45,236,550.0,129800.0,Midas Stock Broking Company Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-21 12:04:20.985175
2026042103001102,SIFC,6,45,350,550.0,192500.0,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-21 12:04:20.985295
2026042103001114,SIFC,54,47,10,548.3,5483.0,Sewa Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-21 12:05:02.748606
2026042103001115,SIFC,48,47,100,548.3,54830.0,Trishakti Securities Public Limited,Neev Securities Pvt. Ltd.,2026-04-21 12:05:02.748709
2026042103001116,SIFC,1,47,100,548.2,54820.0,Kumari Securities Private Limited,Neev Securities Pvt. Ltd.,2026-04-21 12:05:02.748752
2026042103001117,SIFC,22,47,590,548.1,323379.0,Siprabi Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-21 12:05:02.748795
2026042103002598,SIFC,54,77,10,548.1,5481.0,Sewa Securities Pvt. Ltd.,Nabil Stock Dealer Ltd.,2026-04-21 13:14:58.831190
2026042103002975,SIFC,89,3,10,550.0,5500.0,Global IME Securities Limited,Arun Securities (PVT) Ltd.,2026-04-21 13:31:46.558392
2026042103003489,SIFC,89,51,10,549.0,5490.0,Global IME Securities Limited,Oxford Securities Pvt. Ltd.,2026-04-21 13:49:08.759098
2026042103003590,SIFC,89,3,10,548.0,5480.0,Global IME Securities Limited,Arun Securities (PVT) Ltd.,2026-04-21 13:51:17.621114
2026042103003591,SIFC,89,3,10,547.2,5472.0,Global IME Securities Limited,Arun Securities (PVT) Ltd.,2026-04-21 13:51:17.621340
2026042103003592,SIFC,89,3,10,547.1,5471.0,Global IME Securities Limited,Arun Securities (PVT) Ltd.,2026-04-21 13:51:17.621500
2026042103003593,SIFC,13,3,170,547.0,92990.0,Thrive Brokerage House Pvt. Ltd,Arun Securities (PVT) Ltd.,2026-04-21 13:51:17.621635
2026042103003613,SIFC,48,3,100,546.2,54620.0,Trishakti Securities Public Limited,Arun Securities (PVT) Ltd.,2026-04-21 13:51:53.868709
2026042103003614,SIFC,22,3,160,546.1,87376.0,Siprabi Securities Pvt. Ltd.,Arun Securities (PVT) Ltd.,2026-04-21 13:51:53.868834
2026042103003990,SIFC,48,51,100,546.2,54620.0,Trishakti Securities Public Limited,Oxford Securities Pvt. Ltd.,2026-04-21 14:05:02.999439
2026042103003991,SIFC,22,51,250,546.1,136525.0,Siprabi Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-21 14:05:02.999661
2026042103003992,SIFC,44,51,300,546.0,163800.0,Dynamic Money Managers Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-21 14:05:02.999799
2026042103003993,SIFC,8,51,300,546.0,163800.0,Brilliant Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-21 14:05:02.999930
2026042103004034,SIFC,44,51,1040,546.0,567840.0,Dynamic Money Managers Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-21 14:06:22.060060
2026042103006575,SIFC,13,45,114,547.0,62358.0,Thrive Brokerage House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-21 14:54:57.119366
2026042103006764,SIFC,13,48,80,547.0,43760.0,Thrive Brokerage House Pvt. Ltd,Trishakti Securities Public Limited,2026-04-21 14:57:06.541631
2026042103007005,SIFC,13,26,50,547.0,27350.0,Thrive Brokerage House Pvt. Ltd,Asian Securities Private Ltd.,2026-04-21 14:58:27.957686
2026042103007317,SIFC,50,48,10,552.9,5529.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Trishakti Securities Public Limited,2026-04-21 14:59:57.585468
2026042103007466,SIFC,34,48,10,552.9,5529.0,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,2026-04-21 14:59:58.685757
