contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042203000008,CORBL,72,13,10,2050.0,20500.0,2026-04-22,187372137,450,Hatemalo Financial Services Private Limited,Thrive Brokerage House Pvt. Ltd,2026-04-22 10:46:00.060883,Corporate Development Bank Limited
2026042203000009,CORBL,3,62,10,2050.0,20500.0,2026-04-22,187372139,450,Arun Securities (PVT) Ltd.,Capital Max Securities Ltd,2026-04-22 10:46:00.060923,Corporate Development Bank Limited
2026042203000022,CORBL,72,62,10,2080.0,20800.0,2026-04-22,187372440,450,Hatemalo Financial Services Private Limited,Capital Max Securities Ltd,2026-04-22 11:00:05.582810,Corporate Development Bank Limited
2026042203000025,CORBL,3,58,10,2060.0,20600.0,2026-04-22,187372455,450,Arun Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:00:11.245407,Corporate Development Bank Limited
2026042203000029,CORBL,70,8,70,2020.0,141400.0,2026-04-22,187372531,450,Infinity Securities Limited,Brilliant Securities Pvt. Ltd.,2026-04-22 11:00:29.161649,Corporate Development Bank Limited
2026042203000030,CORBL,70,8,50,2050.0,102500.0,2026-04-22,187372533,450,Infinity Securities Limited,Brilliant Securities Pvt. Ltd.,2026-04-22 11:00:30.778176,Corporate Development Bank Limited
2026042203000034,CORBL,70,49,10,2050.0,20500.0,2026-04-22,187372543,450,Infinity Securities Limited,Online Securities Pvt. Ltd.,2026-04-22 11:00:33.598980,Corporate Development Bank Limited
2026042203000035,CORBL,72,49,10,2080.0,20800.0,2026-04-22,187372550,450,Hatemalo Financial Services Private Limited,Online Securities Pvt. Ltd.,2026-04-22 11:00:34.357926,Corporate Development Bank Limited
2026042203000037,CORBL,70,88,30,2050.0,61500.0,2026-04-22,187372577,450,Infinity Securities Limited,Blue Chip Securities Ltd,2026-04-22 11:00:37.413131,Corporate Development Bank Limited
2026042203000038,CORBL,72,49,10,2080.0,20800.0,2026-04-22,187372616,450,Hatemalo Financial Services Private Limited,Online Securities Pvt. Ltd.,2026-04-22 11:00:42.419544,Corporate Development Bank Limited
2026042203000039,CORBL,70,59,10,2050.0,20500.0,2026-04-22,187372636,450,Infinity Securities Limited,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-22 11:00:44.876749,Corporate Development Bank Limited
2026042203000045,CORBL,70,17,100,2020.0,202000.0,2026-04-22,187372919,450,Infinity Securities Limited,ABC Securities Private Limited,2026-04-22 11:01:11.643897,Corporate Development Bank Limited
2026042203000046,CORBL,70,26,30,2020.0,60600.0,2026-04-22,187372938,450,Infinity Securities Limited,Asian Securities Private Ltd.,2026-04-22 11:01:13.382006,Corporate Development Bank Limited
2026042203000047,CORBL,72,71,10,2040.0,20400.0,2026-04-22,187372986,450,Hatemalo Financial Services Private Limited,SHUBHAKAMANA SECURITIES PVT. LTD,2026-04-22 11:01:17.209717,Corporate Development Bank Limited
2026042203000052,CORBL,70,64,100,2018.0,201800.0,2026-04-22,187373136,450,Infinity Securities Limited,SUN SECURITIES PVT LTD,2026-04-22 11:01:35.940167,Corporate Development Bank Limited
2026042203000053,CORBL,38,64,105,2017.0,211785.0,2026-04-22,187373137,450,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,SUN SECURITIES PVT LTD,2026-04-22 11:01:35.940302,Corporate Development Bank Limited
