contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042201000602,EBL,7,25,700,695.0,486500.0,J.F. Securites (PVT) Ltd.,Sweta Securities Private Limited,2026-04-22 11:02:52.264889
2026042201001359,EBL,28,58,192,695.1,133459.2,Shree Krishna Securities Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:06:00.389060
2026042201003956,EBL,58,5,30,695.1,20853.0,Naasa Securities Co. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-22 11:13:04.449518
2026042201003957,EBL,35,5,80,695.1,55608.0,Kohinoor Investment & Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-22 11:13:04.449681
2026042201004131,EBL,35,13,20,695.1,13902.0,Kohinoor Investment & Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-22 11:13:35.851626
2026042201004132,EBL,7,13,440,695.0,305800.0,J.F. Securites (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-22 11:13:35.851704
2026042201004471,EBL,7,13,17,695.0,11815.0,J.F. Securites (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-22 11:14:31.635370
2026042201005519,EBL,44,5,10,696.9,6969.0,Dynamic Money Managers Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-22 11:16:48.862077
2026042201005520,EBL,44,53,140,697.0,97580.0,Dynamic Money Managers Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-22 11:16:48.862177
2026042201005649,EBL,43,4,43,696.1,29932.3,South Asian Bulls Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-22 11:17:03.745122
2026042201005650,EBL,34,4,57,696.0,39672.0,Vision Securities Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,2026-04-22 11:17:03.745337
2026042201006561,EBL,34,42,100,696.0,69600.0,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-04-22 11:19:07.679164
2026042201008523,EBL,49,53,20,697.0,13940.0,Online Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-22 11:23:05.383139
2026042201008919,EBL,50,53,20,697.0,13940.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-22 11:23:47.120004
2026042201008961,EBL,42,53,50,697.0,34850.0,Sani Securities Company Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-22 11:23:52.738672
2026042201009580,EBL,58,53,200,697.0,139400.0,Naasa Securities Co. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-22 11:25:59.338081
2026042201010063,EBL,42,53,25,697.0,17425.0,Sani Securities Company Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-22 11:27:56.038742
2026042201010267,EBL,22,53,12,697.0,8364.0,Siprabi Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-22 11:28:41.162857
2026042201010317,EBL,28,53,33,697.0,23001.0,Shree Krishna Securities Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-22 11:28:49.947126
2026042201010318,EBL,28,33,75,697.0,52275.0,Shree Krishna Securities Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-22 11:28:49.947338
2026042201010797,EBL,65,33,40,697.0,27880.0,Sharepro Securities Private Limited,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-22 11:30:17.349870
2026042201010990,EBL,26,33,50,697.0,34850.0,Asian Securities Private Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-22 11:30:56.390733
2026042201011019,EBL,50,33,15,697.0,10455.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-22 11:31:02.353440
2026042201011192,EBL,58,33,20,697.0,13940.0,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-22 11:31:43.441045
2026042201011378,EBL,58,33,10,697.0,6970.0,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-22 11:32:12.620757
2026042201011480,EBL,7,33,290,697.0,202130.0,J.F. Securites (PVT) Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-22 11:32:29.512437
2026042201012259,EBL,29,45,10,696.1,6961.0,Trisul Securities & Invt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-22 11:34:50.008863
2026042201012260,EBL,34,45,490,696.0,341040.0,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-22 11:34:50.009118
2026042201012628,EBL,16,58,12,697.0,8364.0,Primo Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:35:54.945415
2026042201015023,EBL,34,58,853,696.0,593688.0,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-22 11:44:32.289099
2026042201015024,EBL,58,58,20,696.0,13920.0,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:44:32.289325
2026042201015025,EBL,41,58,26,696.0,18096.0,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:44:32.289467
2026042201015026,EBL,41,58,26,696.0,18096.0,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:44:32.289615
2026042201015358,EBL,34,48,20,698.0,13960.0,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,2026-04-22 11:45:39.462545
2026042201016175,EBL,89,58,10,698.0,6980.0,Global IME Securities Limited,Naasa Securities Co. Ltd.,2026-04-22 11:48:29.944361
2026042201017077,EBL,66,29,100,698.8,69880.0,Miyo Securities Pvt Ltd,Trisul Securities & Invt. Ltd.,2026-04-22 11:51:17.317212
2026042201017078,EBL,66,39,100,698.9,69890.0,Miyo Securities Pvt Ltd,Sumeru Securities Pvt. Ltd.,2026-04-22 11:51:17.317339
2026042201017237,EBL,42,13,10,698.8,6988.0,Sani Securities Company Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-22 11:51:38.566918
2026042201017238,EBL,39,13,100,696.0,69600.0,Sumeru Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-22 11:51:38.567047
2026042201017239,EBL,44,13,100,696.0,69600.0,Dynamic Money Managers Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-22 11:51:38.567121
2026042201017240,EBL,35,13,50,695.1,34755.0,Kohinoor Investment & Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-22 11:51:38.567171
2026042201017241,EBL,32,13,100,695.1,69510.0,Premier Securities Company Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-22 11:51:38.567221
2026042201017242,EBL,7,13,1640,695.0,1139800.0,J.F. Securites (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-22 11:51:38.567272
2026042201019815,EBL,13,58,100,696.0,69600.0,Thrive Brokerage House Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-22 11:59:02.076658
2026042201020239,EBL,89,45,50,695.0,34750.0,Global IME Securities Limited,Imperial Securities Company Pvt. Ltd.,2026-04-22 12:00:09.297883
2026042201020240,EBL,35,45,100,695.0,69500.0,Kohinoor Investment & Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-22 12:00:09.298114
2026042201020241,EBL,1,45,100,695.0,69500.0,Kumari Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-22 12:00:09.298272
2026042201020242,EBL,4,45,50,695.0,34750.0,Opal Securities Investment (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-22 12:00:09.298423
2026042201020812,EBL,4,14,91,695.0,63245.0,Opal Securities Investment (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-22 12:01:51.353845
2026042201020813,EBL,25,14,10,695.0,6950.0,Sweta Securities Private Limited,Nepal Stock House (PVT) Ltd.,2026-04-22 12:01:51.354138
2026042201020814,EBL,66,14,418,695.0,290510.0,Miyo Securities Pvt Ltd,Nepal Stock House (PVT) Ltd.,2026-04-22 12:01:51.354331
2026042201022703,EBL,66,7,10,695.0,6950.0,Miyo Securities Pvt Ltd,J.F. Securites (PVT) Ltd.,2026-04-22 12:08:00.292020
2026042201023633,EBL,66,45,70,695.0,48650.0,Miyo Securities Pvt Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-22 12:11:03.518197
