contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042203000109,GRDBL,17,87,10,1050.0,10500.0,2026-04-22,187374799,2744,ABC Securities Private Limited,S.P.S.A. Securities Limited,2026-04-22 11:03:48.399579,Green Development Bank Ltd.
2026042203000292,GRDBL,32,85,110,1051.0,115610.0,2026-04-22,187379077,2744,Premier Securities Company Ltd.,Capital Hub P. Ltd,2026-04-22 11:08:06.005049,Green Development Bank Ltd.
2026042203001880,GRDBL,58,49,200,1054.2,210840.0,2026-04-22,187423520,2744,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,2026-04-22 11:45:51.500676,Green Development Bank Ltd.
2026042203001881,GRDBL,32,49,80,1054.1,84328.0,2026-04-22,187423522,2744,Premier Securities Company Ltd.,Online Securities Pvt. Ltd.,2026-04-22 11:45:51.500910,Green Development Bank Ltd.
2026042203001882,GRDBL,41,49,30,1054.0,31620.0,2026-04-22,187423524,2744,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,2026-04-22 11:45:51.501070,Green Development Bank Ltd.
2026042203001883,GRDBL,28,49,30,1052.2,31566.0,2026-04-22,187423526,2744,Shree Krishna Securities Ltd.,Online Securities Pvt. Ltd.,2026-04-22 11:45:51.501190,Green Development Bank Ltd.
2026042203001884,GRDBL,3,49,100,1052.0,105200.0,2026-04-22,187423528,2744,Arun Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,2026-04-22 11:45:51.501305,Green Development Bank Ltd.
2026042203001885,GRDBL,28,49,20,1051.1,21022.0,2026-04-22,187423530,2744,Shree Krishna Securities Ltd.,Online Securities Pvt. Ltd.,2026-04-22 11:45:51.501419,Green Development Bank Ltd.
2026042203001886,GRDBL,6,49,40,1051.0,42040.0,2026-04-22,187423531,2744,Agrawal Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,2026-04-22 11:45:51.501545,Green Development Bank Ltd.
2026042203001912,GRDBL,58,56,35,1051.0,36785.0,2026-04-22,187423976,2744,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-22 11:46:25.719429,Green Development Bank Ltd.
2026042203001913,GRDBL,58,56,110,1051.0,115610.0,2026-04-22,187423977,2744,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-22 11:46:25.719601,Green Development Bank Ltd.
2026042203001931,GRDBL,58,49,20,1051.0,21020.0,2026-04-22,187424319,2744,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,2026-04-22 11:46:51.081375,Green Development Bank Ltd.
2026042203001932,GRDBL,87,34,10,1065.0,10650.0,2026-04-22,187424362,2744,S.P.S.A. Securities Limited,Vision Securities Pvt. Ltd,2026-04-22 11:46:54.292184,Green Development Bank Ltd.
2026042203002138,GRDBL,44,56,10,1053.0,10530.0,2026-04-22,187432048,2744,Dynamic Money Managers Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-22 11:53:39.500063,Green Development Bank Ltd.
2026042203002139,GRDBL,49,56,76,1052.0,79952.0,2026-04-22,187432049,2744,Online Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-22 11:53:39.500198,Green Development Bank Ltd.
2026042203002178,GRDBL,49,34,90,1052.0,94680.0,2026-04-22,187433155,2744,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-22 11:54:34.844814,Green Development Bank Ltd.
2026042203002289,GRDBL,32,13,50,1052.1,52605.0,2026-04-22,187435988,2744,Premier Securities Company Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-22 11:56:45.104410,Green Development Bank Ltd.
2026042203002333,GRDBL,32,71,15,1052.1,15781.5,2026-04-22,187437271,2744,Premier Securities Company Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,2026-04-22 11:57:52.000660,Green Development Bank Ltd.
2026042203002558,GRDBL,32,47,35,1052.1,36823.5,2026-04-22,187443728,2744,Premier Securities Company Ltd.,Neev Securities Pvt. Ltd.,2026-04-22 12:03:07.671820,Green Development Bank Ltd.
2026042203002579,GRDBL,58,69,200,1052.1,210420.0,2026-04-22,187444150,2744,Naasa Securities Co. Ltd.,INDEX SECURITIES LIMITED,2026-04-22 12:03:32.909374,Green Development Bank Ltd.
2026042203002580,GRDBL,49,69,334,1052.0,351368.0,2026-04-22,187444152,2744,Online Securities Pvt. Ltd.,INDEX SECURITIES LIMITED,2026-04-22 12:03:32.909636,Green Development Bank Ltd.
2026042203002581,GRDBL,58,69,50,1051.0,52550.0,2026-04-22,187444154,2744,Naasa Securities Co. Ltd.,INDEX SECURITIES LIMITED,2026-04-22 12:03:32.909790,Green Development Bank Ltd.
2026042203002582,GRDBL,17,69,24,1050.0,25200.0,2026-04-22,187444156,2744,ABC Securities Private Limited,INDEX SECURITIES LIMITED,2026-04-22 12:03:32.909937,Green Development Bank Ltd.
2026042203002583,GRDBL,58,69,30,1050.0,31500.0,2026-04-22,187444158,2744,Naasa Securities Co. Ltd.,INDEX SECURITIES LIMITED,2026-04-22 12:03:32.910105,Green Development Bank Ltd.
2026042203002584,GRDBL,42,69,50,1050.0,52500.0,2026-04-22,187444160,2744,Sani Securities Company Ltd.,INDEX SECURITIES LIMITED,2026-04-22 12:03:32.910260,Green Development Bank Ltd.
2026042203002585,GRDBL,22,69,12,1050.0,12600.0,2026-04-22,187444161,2744,Siprabi Securities Pvt. Ltd.,INDEX SECURITIES LIMITED,2026-04-22 12:03:32.910399,Green Development Bank Ltd.
2026042203002595,GRDBL,87,13,10,1054.9,10549.0,2026-04-22,187444450,2744,S.P.S.A. Securities Limited,Thrive Brokerage House Pvt. Ltd,2026-04-22 12:03:48.911332,Green Development Bank Ltd.
2026042203002743,GRDBL,58,32,20,1051.0,21020.0,2026-04-22,187449346,2744,Naasa Securities Co. Ltd.,Premier Securities Company Ltd.,2026-04-22 12:08:00.317144,Green Development Bank Ltd.
2026042203002751,GRDBL,87,13,10,1054.9,10549.0,2026-04-22,187449524,2744,S.P.S.A. Securities Limited,Thrive Brokerage House Pvt. Ltd,2026-04-22 12:08:12.013468,Green Development Bank Ltd.
2026042203002886,GRDBL,32,57,100,1051.1,105110.0,2026-04-22,187453392,2744,Premier Securities Company Ltd.,Aryatara Investment & Securities,2026-04-22 12:11:33.173968,Green Development Bank Ltd.
2026042203002887,GRDBL,58,57,102,1051.0,107202.0,2026-04-22,187453393,2744,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-22 12:11:33.174244,Green Development Bank Ltd.
2026042203003043,GRDBL,58,1,20,1054.8,21096.0,2026-04-22,187457556,2744,Naasa Securities Co. Ltd.,Kumari Securities Private Limited,2026-04-22 12:15:15.821276,Green Development Bank Ltd.
2026042203003062,GRDBL,34,1,30,1054.8,31644.0,2026-04-22,187457931,2744,Vision Securities Pvt. Ltd,Kumari Securities Private Limited,2026-04-22 12:15:36.371955,Green Development Bank Ltd.
2026042203003063,GRDBL,34,13,20,1054.9,21098.0,2026-04-22,187457933,2744,Vision Securities Pvt. Ltd,Thrive Brokerage House Pvt. Ltd,2026-04-22 12:15:36.372211,Green Development Bank Ltd.
2026042203003064,GRDBL,34,74,50,1054.9,52745.0,2026-04-22,187457935,2744,Vision Securities Pvt. Ltd,KALASH STOCK MARKET PVT. LTD.,2026-04-22 12:15:36.372360,Green Development Bank Ltd.
2026042203003065,GRDBL,34,42,200,1055.0,211000.0,2026-04-22,187457938,2744,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-04-22 12:15:36.372505,Green Development Bank Ltd.
2026042203003073,GRDBL,34,42,50,1055.0,52750.0,2026-04-22,187458116,2744,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-04-22 12:15:47.847599,Green Development Bank Ltd.
2026042203003074,GRDBL,26,33,19,1052.0,19988.0,2026-04-22,187458117,2744,Asian Securities Private Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-22 12:15:48.409164,Green Development Bank Ltd.
2026042203003078,GRDBL,34,42,20,1055.0,21100.0,2026-04-22,187458258,2744,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-04-22 12:15:57.424804,Green Development Bank Ltd.
2026042203003094,GRDBL,34,42,10,1055.0,10550.0,2026-04-22,187458438,2744,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-04-22 12:16:07.458912,Green Development Bank Ltd.
2026042203003121,GRDBL,87,42,11,1055.0,11605.0,2026-04-22,187458846,2744,S.P.S.A. Securities Limited,Sani Securities Company Ltd.,2026-04-22 12:16:28.009691,Green Development Bank Ltd.
2026042203003127,GRDBL,87,13,10,1059.9,10599.0,2026-04-22,187458912,2744,S.P.S.A. Securities Limited,Thrive Brokerage House Pvt. Ltd,2026-04-22 12:16:32.117485,Green Development Bank Ltd.
2026042203003210,GRDBL,34,45,60,1059.8,63588.0,2026-04-22,187460688,2744,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-22 12:18:11.917663,Green Development Bank Ltd.
2026042203003549,GRDBL,38,45,70,1059.6,74172.0,2026-04-22,187468548,2744,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-22 12:25:08.718299,Green Development Bank Ltd.
2026042203003554,GRDBL,25,85,70,1054.1,73787.0,2026-04-22,187468740,2744,Sweta Securities Private Limited,Capital Hub P. Ltd,2026-04-22 12:25:22.432218,Green Development Bank Ltd.
2026042203003555,GRDBL,58,85,208,1054.0,219232.0,2026-04-22,187468742,2744,Naasa Securities Co. Ltd.,Capital Hub P. Ltd,2026-04-22 12:25:22.432367,Green Development Bank Ltd.
2026042203003619,GRDBL,26,85,31,1053.0,32643.0,2026-04-22,187470364,2744,Asian Securities Private Ltd.,Capital Hub P. Ltd,2026-04-22 12:26:42.606651,Green Development Bank Ltd.
2026042203003620,GRDBL,32,85,100,1052.1,105210.0,2026-04-22,187470366,2744,Premier Securities Company Ltd.,Capital Hub P. Ltd,2026-04-22 12:26:42.606770,Green Development Bank Ltd.
2026042203003621,GRDBL,58,85,500,1052.0,526000.0,2026-04-22,187470368,2744,Naasa Securities Co. Ltd.,Capital Hub P. Ltd,2026-04-22 12:26:42.606823,Green Development Bank Ltd.
2026042203003622,GRDBL,58,85,731,1051.6,768719.6,2026-04-22,187470369,2744,Naasa Securities Co. Ltd.,Capital Hub P. Ltd,2026-04-22 12:26:42.606871,Green Development Bank Ltd.
2026042203003647,GRDBL,58,85,269,1051.6,282880.4,2026-04-22,187470678,2744,Naasa Securities Co. Ltd.,Capital Hub P. Ltd,2026-04-22 12:27:03.136330,Green Development Bank Ltd.
2026042203003648,GRDBL,58,85,231,1051.5,242896.5,2026-04-22,187470679,2744,Naasa Securities Co. Ltd.,Capital Hub P. Ltd,2026-04-22 12:27:03.136641,Green Development Bank Ltd.
2026042203003837,GRDBL,58,57,100,1051.5,105150.0,2026-04-22,187474853,2744,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-22 12:30:34.474904,Green Development Bank Ltd.
2026042203003898,GRDBL,87,45,10,1057.0,10570.0,2026-04-22,187477260,2744,S.P.S.A. Securities Limited,Imperial Securities Company Pvt. Ltd.,2026-04-22 12:32:24.282877,Green Development Bank Ltd.
2026042203004161,GRDBL,34,45,60,1055.9,63354.0,2026-04-22,187485289,2744,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-22 12:40:04.112726,Green Development Bank Ltd.
2026042203004162,GRDBL,34,39,41,1056.0,43296.0,2026-04-22,187485292,2744,Vision Securities Pvt. Ltd,Sumeru Securities Pvt. Ltd.,2026-04-22 12:40:04.112863,Green Development Bank Ltd.
2026042203004216,GRDBL,59,35,115,1055.9,121428.5,2026-04-22,187487212,2744,Deevyaa Securities & Stock House Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-22 12:42:38.513827,Green Development Bank Ltd.
2026042203004303,GRDBL,64,39,50,1056.0,52800.0,2026-04-22,187488706,2744,SUN SECURITIES PVT LTD,Sumeru Securities Pvt. Ltd.,2026-04-22 12:44:08.801297,Green Development Bank Ltd.
2026042203004350,GRDBL,28,84,10,1052.0,10520.0,2026-04-22,187489766,2744,Shree Krishna Securities Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,2026-04-22 12:45:12.029934,Green Development Bank Ltd.
2026042203004351,GRDBL,62,84,50,1052.0,52600.0,2026-04-22,187489768,2744,Capital Max Securities Ltd,MILKY WAY SHARE BROKER COMPANY LTD ,2026-04-22 12:45:12.030182,Green Development Bank Ltd.
2026042203004352,GRDBL,45,84,40,1052.0,42080.0,2026-04-22,187489770,2744,Imperial Securities Company Pvt. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,2026-04-22 12:45:12.030326,Green Development Bank Ltd.
2026042203004353,GRDBL,58,84,169,1051.5,177703.5,2026-04-22,187489772,2744,Naasa Securities Co. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,2026-04-22 12:45:12.030465,Green Development Bank Ltd.
