contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042203000056,JBBL,46,49,200,369.0,73800.0,Kalika Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-22 11:01:51.714544
2026042203000068,JBBL,25,58,500,367.7,183850.0,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-22 11:02:16.997895
2026042203000069,JBBL,48,58,100,365.0,36500.0,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,2026-04-22 11:02:16.997935
2026042203000070,JBBL,38,58,200,362.1,72420.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:02:16.997962
2026042203000071,JBBL,16,58,200,361.1,72220.0,Primo Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:02:16.997987
2026042203000108,JBBL,48,16,30,365.0,10950.0,Trishakti Securities Public Limited,Primo Securities (PVT) Ltd.,2026-04-22 11:03:44.469458
2026042203000126,JBBL,48,49,70,365.0,25550.0,Trishakti Securities Public Limited,Online Securities Pvt. Ltd.,2026-04-22 11:04:29.149194
2026042203000129,JBBL,35,49,35,363.0,12705.0,Kohinoor Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-22 11:04:39.770760
2026042203000149,JBBL,35,58,85,365.0,31025.0,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:05:11.194835
2026042203000150,JBBL,35,58,100,363.0,36300.0,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:05:11.194880
2026042203000151,JBBL,58,58,50,362.1,18105.0,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:05:11.194911
2026042203000152,JBBL,26,58,415,362.0,150230.0,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:05:11.194949
2026042203000177,JBBL,48,42,510,362.1,184671.0,Trishakti Securities Public Limited,Sani Securities Company Ltd.,2026-04-22 11:05:56.225240
2026042203000178,JBBL,26,42,85,362.0,30770.0,Asian Securities Private Ltd.,Sani Securities Company Ltd.,2026-04-22 11:05:56.225310
2026042203000179,JBBL,35,42,200,362.0,72400.0,Kohinoor Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-22 11:05:56.225345
2026042203000180,JBBL,38,42,200,362.0,72400.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sani Securities Company Ltd.,2026-04-22 11:05:56.225377
2026042203000181,JBBL,35,42,25,361.7,9042.5,Kohinoor Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-22 11:05:56.225412
2026042203000182,JBBL,44,42,250,361.6,90400.0,Dynamic Money Managers Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-22 11:05:56.225445
2026042203000183,JBBL,58,42,50,361.5,18075.0,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-22 11:05:56.225479
2026042203000184,JBBL,34,42,100,361.5,36150.0,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-04-22 11:05:56.225511
2026042203000185,JBBL,35,42,1280,361.5,462720.0,Kohinoor Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-22 11:05:56.225543
2026042203000224,JBBL,44,57,200,361.7,72340.0,Dynamic Money Managers Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-22 11:06:46.279124
2026042203000225,JBBL,57,57,500,361.7,180850.0,Aryatara Investment & Securities,Aryatara Investment & Securities,2026-04-22 11:06:46.279210
2026042203000226,JBBL,40,57,200,361.6,72320.0,Creative Securities Pvt Ltd,Aryatara Investment & Securities,2026-04-22 11:06:46.279247
2026042203000227,JBBL,33,57,3950,361.6,1428320.0,Dakshinkali Investment & Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-22 11:06:46.279294
2026042203000228,JBBL,35,57,50,361.5,18075.0,Kohinoor Investment & Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-22 11:06:46.279329
2026042203000244,JBBL,75,45,200,368.0,73600.0,N.I.M.B. Stock Markets Limited,Imperial Securities Company Pvt. Ltd.,2026-04-22 11:07:18.411172
2026042203000297,JBBL,48,42,510,362.1,184671.0,Trishakti Securities Public Limited,Sani Securities Company Ltd.,2026-04-22 11:08:07.719539
2026042203000298,JBBL,26,42,260,362.0,94120.0,Asian Securities Private Ltd.,Sani Securities Company Ltd.,2026-04-22 11:08:07.719614
2026042203000299,JBBL,46,42,300,362.0,108600.0,Kalika Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-22 11:08:10.009800
2026042203000308,JBBL,46,42,200,362.0,72400.0,Kalika Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-22 11:08:19.662373
2026042203000323,JBBL,35,42,1000,362.0,362000.0,Kohinoor Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-22 11:08:39.690606
2026042203000328,JBBL,16,42,330,362.0,119460.0,Primo Securities (PVT) Ltd.,Sani Securities Company Ltd.,2026-04-22 11:08:49.087797
2026042203000329,JBBL,16,48,149,362.0,53938.0,Primo Securities (PVT) Ltd.,Trishakti Securities Public Limited,2026-04-22 11:08:49.087880
2026042203000374,JBBL,58,19,600,362.3,217380.0,Naasa Securities Co. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-22 11:10:21.599050
2026042203000375,JBBL,13,19,100,362.2,36220.0,Thrive Brokerage House Pvt. Ltd,Nepal Investment And Securities Trading Private Limited,2026-04-22 11:10:21.599140
2026042203000376,JBBL,77,19,50,362.1,18105.0,Nabil Stock Dealer Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-22 11:10:21.599181
2026042203000377,JBBL,59,19,200,362.1,72420.0,Deevyaa Securities & Stock House Pvt. Ltd,Nepal Investment And Securities Trading Private Limited,2026-04-22 11:10:21.599218
2026042203000378,JBBL,36,19,50,362.1,18105.0,Secured Securities Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-22 11:10:21.599260
2026042203000384,JBBL,36,58,150,362.1,54315.0,Secured Securities Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:10:31.320652
2026042203000385,JBBL,35,58,100,362.0,36200.0,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:10:31.320690
2026042203000386,JBBL,16,58,21,361.8,7597.8,Primo Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:10:31.320718
2026042203000387,JBBL,38,58,220,361.7,79574.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:10:31.320762
2026042203000388,JBBL,13,58,48,361.7,17361.6,Thrive Brokerage House Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-22 11:10:31.320783
2026042203000460,JBBL,8,42,30,363.2,10896.0,Brilliant Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-22 11:12:50.974306
2026042203000467,JBBL,48,42,70,363.0,25410.0,Trishakti Securities Public Limited,Sani Securities Company Ltd.,2026-04-22 11:13:02.313081
2026042203000480,JBBL,32,32,500,363.1,181550.0,Premier Securities Company Ltd.,Premier Securities Company Ltd.,2026-04-22 11:13:21.964588
2026042203000495,JBBL,48,42,30,363.0,10890.0,Trishakti Securities Public Limited,Sani Securities Company Ltd.,2026-04-22 11:13:46.041701
2026042203000508,JBBL,34,49,50,362.2,18110.0,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,2026-04-22 11:14:02.119440
2026042203000509,JBBL,45,49,30,362.2,10866.0,Imperial Securities Company Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-22 11:14:02.119533
2026042203000510,JBBL,44,49,120,362.1,43452.0,Dynamic Money Managers Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-22 11:14:02.119644
