contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042204000886,KPCL,34,13,11,502.0,5522.0,2026-04-22,187381797,2787,Vision Securities Pvt. Ltd,Thrive Brokerage House Pvt. Ltd,2026-04-22 11:10:07.430577,Kalika power Company Ltd
2026042204001314,KPCL,26,45,151,502.1,75817.1,2026-04-22,187387340,2787,Asian Securities Private Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-22 11:14:30.736390,Kalika power Company Ltd
2026042204001315,KPCL,34,45,149,502.0,74798.0,2026-04-22,187387341,2787,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-22 11:14:30.736482,Kalika power Company Ltd
2026042204001566,KPCL,34,10,25,502.0,12550.0,2026-04-22,187390531,2787,Vision Securities Pvt. Ltd,Pragyan Securities (PVT) Ltd.,2026-04-22 11:16:45.848222,Kalika power Company Ltd
2026042204001776,KPCL,42,42,290,502.1,145609.0,2026-04-22,187392794,2787,Sani Securities Company Ltd.,Sani Securities Company Ltd.,2026-04-22 11:18:16.966424,Kalika power Company Ltd
2026042204001777,KPCL,34,42,210,502.0,105420.0,2026-04-22,187392795,2787,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-04-22 11:18:16.966529,Kalika power Company Ltd
2026042204002174,KPCL,66,75,50,503.0,25150.0,2026-04-22,187398482,2787,Miyo Securities Pvt Ltd,N.I.M.B. Stock Markets Limited,2026-04-22 11:21:53.773192,Kalika power Company Ltd
2026042204002175,KPCL,34,75,105,502.0,52710.0,2026-04-22,187398484,2787,Vision Securities Pvt. Ltd,N.I.M.B. Stock Markets Limited,2026-04-22 11:21:53.773306,Kalika power Company Ltd
2026042204002176,KPCL,34,75,100,502.0,50200.0,2026-04-22,187398486,2787,Vision Securities Pvt. Ltd,N.I.M.B. Stock Markets Limited,2026-04-22 11:21:53.773360,Kalika power Company Ltd
2026042204002177,KPCL,14,75,50,502.0,25100.0,2026-04-22,187398488,2787,Nepal Stock House (PVT) Ltd.,N.I.M.B. Stock Markets Limited,2026-04-22 11:21:53.773393,Kalika power Company Ltd
2026042204002178,KPCL,44,75,100,502.0,50200.0,2026-04-22,187398490,2787,Dynamic Money Managers Securities Pvt. Ltd.,N.I.M.B. Stock Markets Limited,2026-04-22 11:21:53.773428,Kalika power Company Ltd
