contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042204000224,RHPL,34,58,50,285.0,14250.0,2026-04-22,187375493,2841,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-22 11:04:38.235091,RASUWAGADHI HYDROPOWER COMPANY LIMITED
2026042204000688,RHPL,34,36,30,285.0,8550.0,2026-04-22,187379641,2841,Vision Securities Pvt. Ltd,Secured Securities Ltd.,2026-04-22 11:08:30.578420,RASUWAGADHI HYDROPOWER COMPANY LIMITED
2026042204000798,RHPL,34,58,20,285.0,5700.0,2026-04-22,187380608,2841,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-22 11:09:13.618515,RASUWAGADHI HYDROPOWER COMPANY LIMITED
2026042204000799,RHPL,1,58,100,285.0,28500.0,2026-04-22,187380610,2841,Kumari Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-22 11:09:13.618579,RASUWAGADHI HYDROPOWER COMPANY LIMITED
2026042204001237,RHPL,49,58,40,285.0,11400.0,2026-04-22,187386104,2841,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-22 11:13:28.380032,RASUWAGADHI HYDROPOWER COMPANY LIMITED
2026042204002084,RHPL,80,41,20,284.0,5680.0,2026-04-22,187397134,2841,Indira securities pvt. ltd,Linch Stock Market Ltd.,2026-04-22 11:20:56.671731,RASUWAGADHI HYDROPOWER COMPANY LIMITED
2026042204002127,RHPL,51,32,400,282.2,112880.0,2026-04-22,187397810,2841,Oxford Securities Pvt. Ltd.,Premier Securities Company Ltd.,2026-04-22 11:21:27.961142,RASUWAGADHI HYDROPOWER COMPANY LIMITED
2026042204002167,RHPL,26,29,10,282.1,2821.0,2026-04-22,187398389,2841,Asian Securities Private Ltd.,Trisul Securities & Invt. Ltd.,2026-04-22 11:21:50.052846,RASUWAGADHI HYDROPOWER COMPANY LIMITED
2026042204002280,RHPL,51,32,100,282.2,28220.0,2026-04-22,187399919,2841,Oxford Securities Pvt. Ltd.,Premier Securities Company Ltd.,2026-04-22 11:23:05.742729,RASUWAGADHI HYDROPOWER COMPANY LIMITED
2026042204002289,RHPL,51,45,30,282.2,8466.0,2026-04-22,187400067,2841,Oxford Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-22 11:23:10.123584,RASUWAGADHI HYDROPOWER COMPANY LIMITED
