contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042304000017,AKJCL,32,50,10,402.0,4020.0,Premier Securities Company Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-23 10:46:00.106512
2026042304000030,AKJCL,71,3,10,390.0,3900.0,SHUBHAKAMANA SECURITIES PVT. LTD,Arun Securities (PVT) Ltd.,2026-04-23 11:00:45.999285
2026042304000103,AKJCL,63,38,10,380.2,3802.0,Himalayan Brokerage Company Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 11:04:04.543169
2026042304000111,AKJCL,57,3,80,385.0,30800.0,Aryatara Investment & Securities,Arun Securities (PVT) Ltd.,2026-04-23 11:04:15.344087
2026042304000127,AKJCL,63,38,10,380.2,3802.0,Himalayan Brokerage Company Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 11:04:33.184431
2026042304000128,AKJCL,63,34,10,380.2,3802.0,Himalayan Brokerage Company Limited,Vision Securities Pvt. Ltd,2026-04-23 11:04:35.017264
2026042304000141,AKJCL,8,58,30,385.0,11550.0,Brilliant Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-23 11:04:46.699957
2026042304000153,AKJCL,58,14,20,380.3,7606.0,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-23 11:05:03.936050
2026042304000154,AKJCL,63,14,470,380.2,178694.0,Himalayan Brokerage Company Limited,Nepal Stock House (PVT) Ltd.,2026-04-23 11:05:03.936232
2026042304000155,AKJCL,47,14,10,380.2,3802.0,Neev Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-23 11:05:03.936342
2026042304000238,AKJCL,47,50,390,380.0,148200.0,Neev Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-23 11:06:12.664148
2026042304000346,AKJCL,60,3,1000,379.1,379100.0,Nagarik Stock Dealer ,Arun Securities (PVT) Ltd.,2026-04-23 11:07:29.083262
