contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042303000307,EDBL,7,49,21,572.2,12016.2,J.F. Securites (PVT) Ltd.,Online Securities Pvt. Ltd.,2026-04-23 11:14:35.729257
2026042303000697,EDBL,49,58,1310,576.0,754560.0,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-23 11:30:12.288375
2026042303001178,EDBL,35,38,10,577.0,5770.0,Kohinoor Investment & Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 11:48:16.273815
2026042303001251,EDBL,35,38,10,577.0,5770.0,Kohinoor Investment & Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 11:52:02.043370
2026042303001276,EDBL,35,38,60,577.0,34620.0,Kohinoor Investment & Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 11:53:18.287749
2026042303001733,EDBL,35,34,24,577.0,13848.0,Kohinoor Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-23 12:15:02.489003
2026042303001734,EDBL,42,34,76,577.0,43852.0,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,2026-04-23 12:15:02.489200
2026042303002271,EDBL,14,38,1000,577.5,577500.0,Nepal Stock House (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 12:42:12.441892
2026042303002916,EDBL,17,8,80,583.0,46640.0,ABC Securities Private Limited,Brilliant Securities Pvt. Ltd.,2026-04-23 13:04:38.775370
2026042303002917,EDBL,17,48,100,583.9,58390.0,ABC Securities Private Limited,Trishakti Securities Public Limited,2026-04-23 13:04:38.775571
2026042303002918,EDBL,17,58,85,584.0,49640.0,ABC Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-23 13:04:38.775703
2026042303002919,EDBL,17,38,150,585.0,87750.0,ABC Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 13:04:38.775831
2026042303002920,EDBL,17,38,385,585.0,225225.0,ABC Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 13:04:38.775935
2026042303003278,EDBL,44,62,50,585.0,29250.0,Dynamic Money Managers Securities Pvt. Ltd.,Capital Max Securities Ltd,2026-04-23 13:18:12.656122
2026042303003293,EDBL,44,58,200,585.0,117000.0,Dynamic Money Managers Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-23 13:18:39.079505
2026042303003415,EDBL,49,58,31,586.0,18166.0,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-23 13:23:56.317541
2026042303003806,EDBL,44,59,328,578.0,189584.0,Dynamic Money Managers Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 13:39:11.054197
2026042303003807,EDBL,44,59,180,577.9,104022.0,Dynamic Money Managers Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 13:39:11.054402
2026042303003808,EDBL,42,59,200,577.8,115560.0,Sani Securities Company Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 13:39:11.054526
2026042303003809,EDBL,44,59,200,577.7,115540.0,Dynamic Money Managers Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 13:39:11.054651
2026042303003810,EDBL,44,59,250,577.6,144400.0,Dynamic Money Managers Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 13:39:11.054760
2026042303003811,EDBL,34,59,100,577.5,57750.0,Vision Securities Pvt. Ltd,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 13:39:11.054886
2026042303003812,EDBL,44,59,200,577.5,115500.0,Dynamic Money Managers Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 13:39:11.055009
2026042303003813,EDBL,58,59,10,577.4,5774.0,Naasa Securities Co. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 13:39:11.055150
2026042303003814,EDBL,44,59,300,577.4,173220.0,Dynamic Money Managers Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 13:39:11.055267
2026042303003815,EDBL,69,59,200,577.3,115460.0,INDEX SECURITIES LIMITED,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 13:39:11.055388
2026042303003816,EDBL,69,59,32,577.2,18470.4,INDEX SECURITIES LIMITED,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 13:39:11.055508
2026042303004382,EDBL,57,29,86,580.0,49880.0,Aryatara Investment & Securities,Trisul Securities & Invt. Ltd.,2026-04-23 14:05:28.865133
2026042303004778,EDBL,17,59,100,578.0,57800.0,ABC Securities Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 14:21:32.601432
2026042303004779,EDBL,21,59,250,578.0,144500.0,Midas Stock Broking Company Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 14:21:32.601551
2026042303004780,EDBL,44,59,200,577.3,115460.0,Dynamic Money Managers Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 14:21:32.601599
2026042303004781,EDBL,69,59,168,577.2,96969.6,INDEX SECURITIES LIMITED,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 14:21:32.601643
2026042303004782,EDBL,13,59,50,577.1,28855.0,Thrive Brokerage House Pvt. Ltd,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 14:21:32.601686
2026042303004783,EDBL,69,59,200,577.1,115420.0,INDEX SECURITIES LIMITED,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 14:21:32.601725
2026042303004784,EDBL,52,59,520,577.1,300092.0,Sundhara Securities Limited,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 14:21:32.601764
2026042303004785,EDBL,101,59,90,577.0,51930.0,APPLE SECURITIES PRIVATE LIMITED,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-23 14:21:32.601801
