contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042303000183,LICN,17,58,10,814.0,8140.0,2026-04-23,187623307,188,ABC Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-23 11:08:30.815732,Life Insurance Corporation (Nepal) Limited
2026042303001075,LICN,17,36,40,814.0,32560.0,2026-04-23,187660842,188,ABC Securities Private Limited,Secured Securities Ltd.,2026-04-23 11:45:26.474277,Life Insurance Corporation (Nepal) Limited
2026042303001076,LICN,58,36,50,814.0,40700.0,2026-04-23,187660844,188,Naasa Securities Co. Ltd.,Secured Securities Ltd.,2026-04-23 11:45:26.474492,Life Insurance Corporation (Nepal) Limited
2026042303001077,LICN,13,36,30,814.0,24420.0,2026-04-23,187660846,188,Thrive Brokerage House Pvt. Ltd,Secured Securities Ltd.,2026-04-23 11:45:26.474631,Life Insurance Corporation (Nepal) Limited
2026042303001110,LICN,45,36,50,813.0,40650.0,2026-04-23,187661504,188,Imperial Securities Company Pvt. Ltd.,Secured Securities Ltd.,2026-04-23 11:46:11.153699,Life Insurance Corporation (Nepal) Limited
2026042303001279,LICN,72,8,26,811.3,21093.8,2026-04-23,187667138,188,Hatemalo Financial Services Private Limited,Brilliant Securities Pvt. Ltd.,2026-04-23 11:53:26.882014,Life Insurance Corporation (Nepal) Limited
2026042303001280,LICN,43,8,50,811.2,40560.0,2026-04-23,187667140,188,South Asian Bulls Pvt. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-23 11:53:26.882147,Life Insurance Corporation (Nepal) Limited
2026042303001281,LICN,34,8,150,811.0,121650.0,2026-04-23,187667142,188,Vision Securities Pvt. Ltd,Brilliant Securities Pvt. Ltd.,2026-04-23 11:53:26.882234,Life Insurance Corporation (Nepal) Limited
2026042303001282,LICN,37,8,54,811.0,43794.0,2026-04-23,187667143,188,Swarna Laxmi Securities Pvt. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-23 11:53:26.882301,Life Insurance Corporation (Nepal) Limited
2026042303001778,LICN,51,58,11,811.3,8924.3,2026-04-23,187685945,188,Oxford Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-23 12:17:28.757213,Life Insurance Corporation (Nepal) Limited
2026042303002830,LICN,58,8,10,829.0,8290.0,2026-04-23,187714710,188,Naasa Securities Co. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-23 13:02:36.503296,Life Insurance Corporation (Nepal) Limited
2026042303003255,LICN,32,36,4,810.0,3240.0,2026-04-23,187724259,188,Premier Securities Company Ltd.,Secured Securities Ltd.,2026-04-23 13:17:03.431673,Life Insurance Corporation (Nepal) Limited
2026042303003502,LICN,58,20,10,822.0,8220.0,2026-04-23,187731296,188,Naasa Securities Co. Ltd.,Sipla Securities Private Limited,2026-04-23 13:28:17.747132,Life Insurance Corporation (Nepal) Limited
2026042303003618,LICN,39,49,100,820.0,82000.0,2026-04-23,187733810,188,Sumeru Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-23 13:31:07.390148,Life Insurance Corporation (Nepal) Limited
2026042303003669,LICN,7,6,100,815.1,81510.0,2026-04-23,187734857,188,J.F. Securites (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-23 13:32:40.304644,Life Insurance Corporation (Nepal) Limited
2026042303003741,LICN,65,49,90,820.0,73800.0,2026-04-23,187736778,188,Sharepro Securities Private Limited,Online Securities Pvt. Ltd.,2026-04-23 13:35:50.420224,Life Insurance Corporation (Nepal) Limited
2026042303003892,LICN,7,8,200,815.1,163020.0,2026-04-23,187740149,188,J.F. Securites (PVT) Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-23 13:42:13.511455,Life Insurance Corporation (Nepal) Limited
2026042303004141,LICN,34,6,14,820.0,11480.0,2026-04-23,187744866,188,Vision Securities Pvt. Ltd,Agrawal Securities (PVT) Ltd.,2026-04-23 13:52:58.597330,Life Insurance Corporation (Nepal) Limited
2026042303004374,LICN,58,52,2,810.0,1620.0,2026-04-23,187750283,188,Naasa Securities Co. Ltd.,Sundhara Securities Limited,2026-04-23 14:04:50.925617,Life Insurance Corporation (Nepal) Limited
2026042303004877,LICN,58,20,10,815.2,8152.0,2026-04-23,187761936,188,Naasa Securities Co. Ltd.,Sipla Securities Private Limited,2026-04-23 14:25:35.767275,Life Insurance Corporation (Nepal) Limited
2026042303004878,LICN,14,20,100,815.1,81510.0,2026-04-23,187761938,188,Nepal Stock House (PVT) Ltd.,Sipla Securities Private Limited,2026-04-23 14:25:35.767603,Life Insurance Corporation (Nepal) Limited
2026042303004879,LICN,36,20,200,815.0,163000.0,2026-04-23,187761940,188,Secured Securities Ltd.,Sipla Securities Private Limited,2026-04-23 14:25:35.767800,Life Insurance Corporation (Nepal) Limited
2026042303004970,LICN,6,44,50,814.7,40735.0,2026-04-23,187763734,188,Agrawal Securities (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-23 14:28:24.371303,Life Insurance Corporation (Nepal) Limited
2026042303004971,LICN,38,44,20,814.6,16292.0,2026-04-23,187763736,188,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-23 14:28:24.371476,Life Insurance Corporation (Nepal) Limited
2026042303004972,LICN,32,44,50,814.5,40725.0,2026-04-23,187763738,188,Premier Securities Company Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-23 14:28:24.371544,Life Insurance Corporation (Nepal) Limited
2026042303004973,LICN,42,44,63,814.5,51313.5,2026-04-23,187763740,188,Sani Securities Company Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-23 14:28:24.371610,Life Insurance Corporation (Nepal) Limited
2026042303004974,LICN,7,44,130,814.2,105846.0,2026-04-23,187763742,188,J.F. Securites (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-23 14:28:24.371673,Life Insurance Corporation (Nepal) Limited
2026042303004975,LICN,42,44,100,814.0,81400.0,2026-04-23,187763744,188,Sani Securities Company Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-23 14:28:24.371736,Life Insurance Corporation (Nepal) Limited
2026042303004976,LICN,59,44,137,814.0,111518.0,2026-04-23,187763745,188,Deevyaa Securities & Stock House Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-23 14:28:24.371797,Life Insurance Corporation (Nepal) Limited
2026042303005025,LICN,10,20,880,815.0,717200.0,2026-04-23,187765008,188,Pragyan Securities (PVT) Ltd.,Sipla Securities Private Limited,2026-04-23 14:30:13.749390,Life Insurance Corporation (Nepal) Limited
2026042303005243,LICN,42,79,10,814.0,8140.0,2026-04-23,187769652,188,Sani Securities Company Ltd.,pahiinvestment,2026-04-23 14:36:46.627253,Life Insurance Corporation (Nepal) Limited
2026042303005246,LICN,58,79,10,814.0,8140.0,2026-04-23,187769776,188,Naasa Securities Co. Ltd.,pahiinvestment,2026-04-23 14:36:56.209020,Life Insurance Corporation (Nepal) Limited
2026042303005247,LICN,58,42,10,818.0,8180.0,2026-04-23,187769798,188,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-23 14:36:57.605526,Life Insurance Corporation (Nepal) Limited
2026042303005322,LICN,58,3,41,815.0,33415.0,2026-04-23,187772053,188,Naasa Securities Co. Ltd.,Arun Securities (PVT) Ltd.,2026-04-23 14:40:01.252818,Life Insurance Corporation (Nepal) Limited
2026042303005367,LICN,34,42,10,818.0,8180.0,2026-04-23,187773380,188,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-04-23 14:41:36.889468,Life Insurance Corporation (Nepal) Limited
2026042303005659,LICN,58,4,38,815.0,30970.0,2026-04-23,187780287,188,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-23 14:48:36.736773,Life Insurance Corporation (Nepal) Limited
