contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042305000045,SAHAS,58,62,12,625.0,7500.0,2026-04-23,187616312,8021,Naasa Securities Co. Ltd.,Capital Max Securities Ltd,2026-04-23 11:01:32.442098,Sahas Urja Limited
2026042305000085,SAHAS,6,50,25,624.0,15600.0,2026-04-23,187617792,8021,Agrawal Securities (PVT) Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-23 11:03:08.694221,Sahas Urja Limited
2026042305000491,SAHAS,78,48,9,613.0,5517.0,2026-04-23,187625853,8021,Garima Securities Limited,Trishakti Securities Public Limited,2026-04-23 11:11:11.820203,Sahas Urja Limited
2026042305000685,SAHAS,21,1,40,621.0,24840.0,2026-04-23,187629720,8021,Midas Stock Broking Company Private Limited,Kumari Securities Private Limited,2026-04-23 11:15:14.916217,Sahas Urja Limited
2026042305000724,SAHAS,91,4,10,620.0,6200.0,2026-04-23,187630141,8021,Citizens Share Broker Limited,Opal Securities Investment (PVT) Ltd.,2026-04-23 11:15:34.774582,Sahas Urja Limited
2026042305000751,SAHAS,91,8,40,620.0,24800.0,2026-04-23,187630345,8021,Citizens Share Broker Limited,Brilliant Securities Pvt. Ltd.,2026-04-23 11:15:46.428387,Sahas Urja Limited
2026042305000865,SAHAS,58,1,14,620.0,8680.0,2026-04-23,187632382,8021,Naasa Securities Co. Ltd.,Kumari Securities Private Limited,2026-04-23 11:17:32.835760,Sahas Urja Limited
2026042305000893,SAHAS,58,44,20,617.0,12340.0,2026-04-23,187632878,8021,Naasa Securities Co. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-23 11:18:01.654152,Sahas Urja Limited
2026042305000894,SAHAS,5,44,50,616.6,30830.0,2026-04-23,187632880,8021,Market Securities & Exchange (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-23 11:18:01.654326,Sahas Urja Limited
2026042305000895,SAHAS,57,44,295,616.5,181867.5,2026-04-23,187632881,8021,Aryatara Investment & Securities,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-23 11:18:01.654400,Sahas Urja Limited
2026042305000928,SAHAS,34,50,50,619.0,30950.0,2026-04-23,187633660,8021,Vision Securities Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-23 11:18:35.301592,Sahas Urja Limited
2026042305000968,SAHAS,57,62,13,616.5,8014.5,2026-04-23,187634557,8021,Aryatara Investment & Securities,Capital Max Securities Ltd,2026-04-23 11:19:22.787928,Sahas Urja Limited
2026042305001041,SAHAS,57,58,240,616.5,147960.0,2026-04-23,187635555,8021,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-23 11:20:27.257986,Sahas Urja Limited
2026042305001220,SAHAS,57,49,13,616.5,8014.5,2026-04-23,187637879,8021,Aryatara Investment & Securities,Online Securities Pvt. Ltd.,2026-04-23 11:22:02.226697,Sahas Urja Limited
2026042305001297,SAHAS,35,28,20,618.0,12360.0,2026-04-23,187639028,8021,Kohinoor Investment & Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,2026-04-23 11:23:04.102179,Sahas Urja Limited
2026042305001338,SAHAS,57,38,13,616.5,8014.5,2026-04-23,187639509,8021,Aryatara Investment & Securities,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 11:23:36.651230,Sahas Urja Limited
2026042305001414,SAHAS,17,29,25,617.9,15447.5,2026-04-23,187640938,8021,ABC Securities Private Limited,Trisul Securities & Invt. Ltd.,2026-04-23 11:24:47.034713,Sahas Urja Limited
2026042305001416,SAHAS,58,29,10,617.9,6179.0,2026-04-23,187640994,8021,Naasa Securities Co. Ltd.,Trisul Securities & Invt. Ltd.,2026-04-23 11:24:51.504587,Sahas Urja Limited
2026042305001486,SAHAS,57,22,13,616.5,8014.5,2026-04-23,187642083,8021,Aryatara Investment & Securities,Siprabi Securities Pvt. Ltd.,2026-04-23 11:25:52.281932,Sahas Urja Limited
2026042305001568,SAHAS,14,49,4,620.0,2480.0,2026-04-23,187643037,8021,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,2026-04-23 11:26:54.220942,Sahas Urja Limited
2026042305001638,SAHAS,5,91,250,617.0,154250.0,2026-04-23,187644624,8021,Market Securities & Exchange (PVT) Ltd.,Citizens Share Broker Limited,2026-04-23 11:27:53.643713,Sahas Urja Limited
2026042305001749,SAHAS,57,57,13,616.5,8014.5,2026-04-23,187646687,8021,Aryatara Investment & Securities,Aryatara Investment & Securities,2026-04-23 11:29:22.876855,Sahas Urja Limited
2026042305001750,SAHAS,78,57,4,605.3,2421.2,2026-04-23,187646713,8021,Garima Securities Limited,Aryatara Investment & Securities,2026-04-23 11:29:23.381778,Sahas Urja Limited
2026042305001768,SAHAS,57,57,13,616.5,8014.5,2026-04-23,187646941,8021,Aryatara Investment & Securities,Aryatara Investment & Securities,2026-04-23 11:29:38.050039,Sahas Urja Limited
2026042305001770,SAHAS,34,38,10,617.0,6170.0,2026-04-23,187646964,8021,Vision Securities Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 11:29:39.766462,Sahas Urja Limited
2026042305001778,SAHAS,78,58,3,613.0,1839.0,2026-04-23,187647087,8021,Garima Securities Limited,Naasa Securities Co. Ltd.,2026-04-23 11:29:50.116250,Sahas Urja Limited
2026042305001796,SAHAS,57,38,90,616.5,55485.0,2026-04-23,187647445,8021,Aryatara Investment & Securities,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 11:30:15.668716,Sahas Urja Limited
2026042305001810,SAHAS,57,40,27,616.5,16645.5,2026-04-23,187647618,8021,Aryatara Investment & Securities,Creative Securities Pvt Ltd,2026-04-23 11:30:24.992159,Sahas Urja Limited
2026042305001811,SAHAS,58,40,20,616.5,12330.0,2026-04-23,187647620,8021,Naasa Securities Co. Ltd.,Creative Securities Pvt Ltd,2026-04-23 11:30:24.992409,Sahas Urja Limited
2026042305001812,SAHAS,42,40,490,616.0,301840.0,2026-04-23,187647622,8021,Sani Securities Company Ltd.,Creative Securities Pvt Ltd,2026-04-23 11:30:24.992523,Sahas Urja Limited
2026042305001813,SAHAS,48,40,586,616.0,360976.0,2026-04-23,187647623,8021,Trishakti Securities Public Limited,Creative Securities Pvt Ltd,2026-04-23 11:30:24.992609,Sahas Urja Limited
2026042305001918,SAHAS,45,28,10,617.0,6170.0,2026-04-23,187649288,8021,Imperial Securities Company Pvt. Ltd.,Shree Krishna Securities Ltd.,2026-04-23 11:32:00.112158,Sahas Urja Limited
2026042305001950,SAHAS,17,28,15,617.0,9255.0,2026-04-23,187649762,8021,ABC Securities Private Limited,Shree Krishna Securities Ltd.,2026-04-23 11:32:25.861240,Sahas Urja Limited
2026042305001967,SAHAS,45,28,10,617.0,6170.0,2026-04-23,187650088,8021,Imperial Securities Company Pvt. Ltd.,Shree Krishna Securities Ltd.,2026-04-23 11:32:41.251470,Sahas Urja Limited
2026042305002019,SAHAS,48,34,13,616.0,8008.0,2026-04-23,187650795,8021,Trishakti Securities Public Limited,Vision Securities Pvt. Ltd,2026-04-23 11:33:22.543758,Sahas Urja Limited
2026042305002154,SAHAS,48,13,401,616.0,247016.0,2026-04-23,187652846,8021,Trishakti Securities Public Limited,Thrive Brokerage House Pvt. Ltd,2026-04-23 11:35:36.303570,Sahas Urja Limited
2026042305002236,SAHAS,34,13,50,616.0,30800.0,2026-04-23,187654118,8021,Vision Securities Pvt. Ltd,Thrive Brokerage House Pvt. Ltd,2026-04-23 11:37:03.164994,Sahas Urja Limited
2026042305002237,SAHAS,58,38,10,615.0,6150.0,2026-04-23,187654168,8021,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 11:37:05.627296,Sahas Urja Limited
2026042305002262,SAHAS,78,56,3,600.0,1800.0,2026-04-23,187654445,8021,Garima Securities Limited,Sri Hari Securities Pvt. Ltd.,2026-04-23 11:37:27.866823,Sahas Urja Limited
2026042305002375,SAHAS,47,58,13,615.0,7995.0,2026-04-23,187656135,8021,Neev Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-23 11:39:43.540298,Sahas Urja Limited
2026042305002411,SAHAS,47,53,87,615.0,53505.0,2026-04-23,187656748,8021,Neev Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-23 11:40:14.548755,Sahas Urja Limited
2026042305002412,SAHAS,91,53,50,615.0,30750.0,2026-04-23,187656750,8021,Citizens Share Broker Limited,Investment Management Nepal Pvt. Ltd.,2026-04-23 11:40:14.549252,Sahas Urja Limited
2026042305002413,SAHAS,58,53,18,615.0,11070.0,2026-04-23,187656752,8021,Naasa Securities Co. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-23 11:40:14.549573,Sahas Urja Limited
2026042305002414,SAHAS,48,53,100,615.0,61500.0,2026-04-23,187656754,8021,Trishakti Securities Public Limited,Investment Management Nepal Pvt. Ltd.,2026-04-23 11:40:14.549878,Sahas Urja Limited
2026042305002415,SAHAS,49,53,45,615.0,27675.0,2026-04-23,187656755,8021,Online Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-23 11:40:14.550180,Sahas Urja Limited
2026042305002549,SAHAS,44,38,13,615.1,7996.3,2026-04-23,187658388,8021,Dynamic Money Managers Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 11:42:19.802644,Sahas Urja Limited
2026042305002550,SAHAS,58,38,37,615.1,22758.7,2026-04-23,187658389,8021,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-23 11:42:19.803109,Sahas Urja Limited
2026042305002583,SAHAS,49,57,13,615.0,7995.0,2026-04-23,187658857,8021,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-23 11:42:52.821444,Sahas Urja Limited
2026042305002687,SAHAS,48,81,1000,615.1,615100.0,2026-04-23,187659919,8021,Trishakti Securities Public Limited,Aakashbhairab Securities Ltd.,2026-04-23 11:44:13.089184,Sahas Urja Limited
2026042305002703,SAHAS,49,29,82,615.0,50430.0,2026-04-23,187660180,8021,Online Securities Pvt. Ltd.,Trisul Securities & Invt. Ltd.,2026-04-23 11:44:35.647851,Sahas Urja Limited
