contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042404000055,AHPC,38,39,100,276.0,27600.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-24 11:00:44.147428
2026042404000073,AHPC,11,100,200,274.6,54920.0,Malla & Malla Stock Broking Company Pvt. Limited,Sunrise Securities Limited,2026-04-24 11:01:00.784260
2026042404000082,AHPC,53,39,50,276.0,13800.0,Investment Management Nepal Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-24 11:01:16.239236
2026042404000093,AHPC,58,100,200,274.5,54900.0,Naasa Securities Co. Ltd.,Sunrise Securities Limited,2026-04-24 11:01:23.515792
2026042404000097,AHPC,38,39,50,276.0,13800.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-24 11:01:30.961523
2026042404000105,AHPC,84,39,10,276.0,2760.0,MILKY WAY SHARE BROKER COMPANY LTD ,Sumeru Securities Pvt. Ltd.,2026-04-24 11:01:40.865748
2026042404000156,AHPC,57,39,180,275.0,49500.0,Aryatara Investment & Securities,Sumeru Securities Pvt. Ltd.,2026-04-24 11:02:15.734777
2026042404000157,AHPC,17,39,200,275.0,55000.0,ABC Securities Private Limited,Sumeru Securities Pvt. Ltd.,2026-04-24 11:02:15.734848
2026042404000158,AHPC,8,39,475,274.6,130435.0,Brilliant Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-24 11:02:15.734878
2026042404000206,AHPC,52,65,200,275.1,55020.0,Sundhara Securities Limited,Sharepro Securities Private Limited,2026-04-24 11:03:19.816799
2026042404000207,AHPC,42,65,50,275.1,13755.0,Sani Securities Company Ltd.,Sharepro Securities Private Limited,2026-04-24 11:03:19.816857
2026042404000301,AHPC,32,47,971,275.2,267219.2,Premier Securities Company Ltd.,Neev Securities Pvt. Ltd.,2026-04-24 11:05:09.480053
2026042404000332,AHPC,32,51,29,275.2,7980.8,Premier Securities Company Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.578683
2026042404000333,AHPC,39,51,229,275.2,63020.8,Sumeru Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.578771
2026042404000334,AHPC,8,51,700,275.2,192640.0,Brilliant Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.578812
2026042404000335,AHPC,42,51,650,275.1,178815.0,Sani Securities Company Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.578877
2026042404000336,AHPC,26,51,1000,275.1,275100.0,Asian Securities Private Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.578913
2026042404000337,AHPC,16,51,1000,275.0,275000.0,Primo Securities (PVT) Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.578945
2026042404000338,AHPC,1,51,500,275.0,137500.0,Kumari Securities Private Limited,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.578980
2026042404000339,AHPC,26,51,300,275.0,82500.0,Asian Securities Private Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.579013
2026042404000340,AHPC,53,51,50,274.7,13735.0,Investment Management Nepal Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.579048
2026042404000341,AHPC,40,51,250,274.7,68675.0,Creative Securities Pvt Ltd,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.579081
2026042404000342,AHPC,8,51,25,274.6,6865.0,Brilliant Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.579113
2026042404000343,AHPC,58,51,100,274.5,27450.0,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.579145
2026042404000344,AHPC,45,51,200,274.5,54900.0,Imperial Securities Company Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.579176
2026042404000345,AHPC,41,51,50,274.0,13700.0,Linch Stock Market Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.579207
2026042404000346,AHPC,26,51,10,274.0,2740.0,Asian Securities Private Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.579241
2026042404000347,AHPC,51,51,200,274.0,54800.0,Oxford Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.579279
2026042404000348,AHPC,7,51,50,274.0,13700.0,J.F. Securites (PVT) Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.579337
2026042404000349,AHPC,41,51,100,274.0,27400.0,Linch Stock Market Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:35.894504
2026042404000380,AHPC,17,51,200,274.0,54800.0,ABC Securities Private Limited,Oxford Securities Pvt. Ltd.,2026-04-24 11:05:56.917307
2026042404000383,AHPC,52,51,100,274.0,27400.0,Sundhara Securities Limited,Oxford Securities Pvt. Ltd.,2026-04-24 11:06:01.437709
2026042404000389,AHPC,42,49,365,273.0,99645.0,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,2026-04-24 11:06:09.605559
2026042404000390,AHPC,11,49,135,273.0,36855.0,Malla & Malla Stock Broking Company Pvt. Limited,Online Securities Pvt. Ltd.,2026-04-24 11:06:09.605652
2026042404000529,AHPC,63,51,557,274.0,152618.0,Himalayan Brokerage Company Limited,Oxford Securities Pvt. Ltd.,2026-04-24 11:08:31.924761
2026042404000530,AHPC,63,32,10,274.0,2740.0,Himalayan Brokerage Company Limited,Premier Securities Company Ltd.,2026-04-24 11:08:31.924854
2026042404000587,AHPC,14,26,200,275.0,55000.0,Nepal Stock House (PVT) Ltd.,Asian Securities Private Ltd.,2026-04-24 11:09:01.719916
