contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042404000014,AKJCL,29,6,10,390.0,3900.0,2026-04-24,187802880,2788,Trisul Securities & Invt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-24 10:46:00.089156,Ankhu Khola Jalvidhyut Company Ltd
2026042404000015,AKJCL,7,6,10,390.0,3900.0,2026-04-24,187802882,2788,J.F. Securites (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-24 10:46:00.089184,Ankhu Khola Jalvidhyut Company Ltd
2026042404000016,AKJCL,7,6,10,390.0,3900.0,2026-04-24,187802884,2788,J.F. Securites (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-24 10:46:00.089204,Ankhu Khola Jalvidhyut Company Ltd
2026042404000017,AKJCL,7,6,10,390.0,3900.0,2026-04-24,187802886,2788,J.F. Securites (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-24 10:46:00.089225,Ankhu Khola Jalvidhyut Company Ltd
2026042404000018,AKJCL,32,6,10,390.0,3900.0,2026-04-24,187802888,2788,Premier Securities Company Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-24 10:46:00.089248,Ankhu Khola Jalvidhyut Company Ltd
2026042404000019,AKJCL,32,6,10,390.0,3900.0,2026-04-24,187802890,2788,Premier Securities Company Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-24 10:46:00.089269,Ankhu Khola Jalvidhyut Company Ltd
2026042404000020,AKJCL,7,6,10,390.0,3900.0,2026-04-24,187802892,2788,J.F. Securites (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-24 10:46:00.089297,Ankhu Khola Jalvidhyut Company Ltd
2026042404000021,AKJCL,7,6,10,390.0,3900.0,2026-04-24,187802894,2788,J.F. Securites (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-24 10:46:00.089322,Ankhu Khola Jalvidhyut Company Ltd
2026042404000022,AKJCL,43,6,10,390.0,3900.0,2026-04-24,187802897,2788,South Asian Bulls Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-24 10:46:00.089342,Ankhu Khola Jalvidhyut Company Ltd
2026042404000023,AKJCL,57,6,210,390.0,81900.0,2026-04-24,187802899,2788,Aryatara Investment & Securities,Agrawal Securities (PVT) Ltd.,2026-04-24 10:46:00.089359,Ankhu Khola Jalvidhyut Company Ltd
2026042404000024,AKJCL,57,56,290,390.0,113100.0,2026-04-24,187802904,2788,Aryatara Investment & Securities,Sri Hari Securities Pvt. Ltd.,2026-04-24 10:46:00.089383,Ankhu Khola Jalvidhyut Company Ltd
2026042404000037,AKJCL,7,56,800,385.0,308000.0,2026-04-24,187803267,2788,J.F. Securites (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-24 11:00:06.420414,Ankhu Khola Jalvidhyut Company Ltd
2026042404000044,AKJCL,7,56,200,385.0,77000.0,2026-04-24,187803302,2788,J.F. Securites (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-24 11:00:20.415230,Ankhu Khola Jalvidhyut Company Ltd
2026042404000045,AKJCL,58,56,20,385.0,7700.0,2026-04-24,187803304,2788,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-24 11:00:20.415389,Ankhu Khola Jalvidhyut Company Ltd
2026042404000077,AKJCL,60,72,2500,387.0,967500.0,2026-04-24,187803648,2788,Nagarik Stock Dealer ,Hatemalo Financial Services Private Limited,2026-04-24 11:01:03.068054,Ankhu Khola Jalvidhyut Company Ltd
2026042404000078,AKJCL,66,77,1000,388.9,388900.0,2026-04-24,187803697,2788,Miyo Securities Pvt Ltd,Nabil Stock Dealer Ltd.,2026-04-24 11:01:09.791683,Ankhu Khola Jalvidhyut Company Ltd
2026042404000079,AKJCL,66,56,490,389.0,190610.0,2026-04-24,187803699,2788,Miyo Securities Pvt Ltd,Sri Hari Securities Pvt. Ltd.,2026-04-24 11:01:09.791851,Ankhu Khola Jalvidhyut Company Ltd
2026042404000080,AKJCL,66,26,1000,389.0,389000.0,2026-04-24,187803701,2788,Miyo Securities Pvt Ltd,Asian Securities Private Ltd.,2026-04-24 11:01:09.791958,Ankhu Khola Jalvidhyut Company Ltd
2026042404000081,AKJCL,66,34,510,390.0,198900.0,2026-04-24,187803704,2788,Miyo Securities Pvt Ltd,Vision Securities Pvt. Ltd,2026-04-24 11:01:09.792071,Ankhu Khola Jalvidhyut Company Ltd
2026042404000083,AKJCL,60,34,490,390.0,191100.0,2026-04-24,187803761,2788,Nagarik Stock Dealer ,Vision Securities Pvt. Ltd,2026-04-24 11:01:16.883913,Ankhu Khola Jalvidhyut Company Ltd
2026042404000084,AKJCL,60,56,1000,390.0,390000.0,2026-04-24,187803763,2788,Nagarik Stock Dealer ,Sri Hari Securities Pvt. Ltd.,2026-04-24 11:01:16.884008,Ankhu Khola Jalvidhyut Company Ltd
2026042404000085,AKJCL,60,64,1000,390.0,390000.0,2026-04-24,187803765,2788,Nagarik Stock Dealer ,SUN SECURITIES PVT LTD,2026-04-24 11:01:16.884047,Ankhu Khola Jalvidhyut Company Ltd
2026042404000103,AKJCL,6,38,1000,390.0,390000.0,2026-04-24,187804058,2788,Agrawal Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-24 11:01:39.061197,Ankhu Khola Jalvidhyut Company Ltd
2026042404000116,AKJCL,60,26,2000,389.0,778000.0,2026-04-24,187804289,2788,Nagarik Stock Dealer ,Asian Securities Private Ltd.,2026-04-24 11:01:55.636669,Ankhu Khola Jalvidhyut Company Ltd
2026042404000117,AKJCL,60,38,1000,390.0,390000.0,2026-04-24,187804292,2788,Nagarik Stock Dealer ,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-24 11:01:55.636888,Ankhu Khola Jalvidhyut Company Ltd
2026042404000130,AKJCL,64,56,500,385.0,192500.0,2026-04-24,187804466,2788,SUN SECURITIES PVT LTD,Sri Hari Securities Pvt. Ltd.,2026-04-24 11:02:04.424439,Ankhu Khola Jalvidhyut Company Ltd
