contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042404000203,API,66,50,50,338.0,16900.0,Miyo Securities Pvt Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-24 11:03:11.746964
2026042404000204,API,66,28,8950,338.0,3025100.0,Miyo Securities Pvt Ltd,Shree Krishna Securities Ltd.,2026-04-24 11:03:17.786214
2026042404000205,API,66,28,50,337.0,16850.0,Miyo Securities Pvt Ltd,Shree Krishna Securities Ltd.,2026-04-24 11:03:17.786275
2026042404000218,API,66,41,1000,338.0,338000.0,Miyo Securities Pvt Ltd,Linch Stock Market Ltd.,2026-04-24 11:03:38.793604
2026042404000221,API,66,58,724,338.0,244712.0,Miyo Securities Pvt Ltd,Naasa Securities Co. Ltd.,2026-04-24 11:03:45.142563
2026042404000240,API,66,28,4000,338.0,1352000.0,Miyo Securities Pvt Ltd,Shree Krishna Securities Ltd.,2026-04-24 11:03:59.007826
2026042404000242,API,66,42,276,338.0,93288.0,Miyo Securities Pvt Ltd,Sani Securities Company Ltd.,2026-04-24 11:04:03.028496
2026042404000252,API,66,57,10,337.0,3370.0,Miyo Securities Pvt Ltd,Aryatara Investment & Securities,2026-04-24 11:04:13.905355
2026042404000293,API,49,57,10,337.0,3370.0,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-24 11:04:58.868609
2026042404000320,API,26,57,100,337.0,33700.0,Asian Securities Private Ltd.,Aryatara Investment & Securities,2026-04-24 11:05:33.769286
2026042404000351,API,22,67,50,336.1,16805.0,Siprabi Securities Pvt. Ltd.,Property Wiard Limited,2026-04-24 11:05:37.480779
2026042404000352,API,58,67,14,336.0,4704.0,Naasa Securities Co. Ltd.,Property Wiard Limited,2026-04-24 11:05:37.480861
2026042404000353,API,26,67,49,335.0,16415.0,Asian Securities Private Ltd.,Property Wiard Limited,2026-04-24 11:05:37.480907
2026042404000384,API,1,57,85,337.0,28645.0,Kumari Securities Private Limited,Aryatara Investment & Securities,2026-04-24 11:06:03.394335
2026042404000392,API,1,51,15,337.0,5055.0,Kumari Securities Private Limited,Oxford Securities Pvt. Ltd.,2026-04-24 11:06:09.838952
2026042404000393,API,22,51,50,336.5,16825.0,Siprabi Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:06:09.839042
2026042404000394,API,26,51,51,335.0,17085.0,Asian Securities Private Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:06:09.839090
2026042404000395,API,53,51,20,335.0,6700.0,Investment Management Nepal Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:06:09.839154
2026042404000396,API,28,51,200,333.0,66600.0,Shree Krishna Securities Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:06:09.839199
2026042404000397,API,44,51,1000,333.0,333000.0,Dynamic Money Managers Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:06:09.839241
2026042404000398,API,47,51,764,332.0,253648.0,Neev Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-24 11:06:09.839286
2026042404000467,API,58,56,200,335.0,67000.0,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-24 11:07:23.958345
2026042404000495,API,58,56,500,335.0,167500.0,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-24 11:08:00.928802
2026042404000522,API,6,56,30,335.0,10050.0,Agrawal Securities (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-24 11:08:29.077808
2026042404000523,API,50,42,50,333.2,16660.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-24 11:08:30.094158
2026042404000524,API,85,42,333,333.0,110889.0,Capital Hub P. Ltd,Sani Securities Company Ltd.,2026-04-24 11:08:30.094286
2026042404000525,API,29,42,100,333.0,33300.0,Trisul Securities & Invt. Ltd.,Sani Securities Company Ltd.,2026-04-24 11:08:30.094349
2026042404000526,API,48,42,200,333.0,66600.0,Trishakti Securities Public Limited,Sani Securities Company Ltd.,2026-04-24 11:08:30.094401
2026042404000527,API,39,42,317,333.0,105561.0,Sumeru Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-24 11:08:30.094449
2026042404000528,API,58,56,203,335.0,68005.0,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-24 11:08:30.576619
2026042404000561,API,5,56,100,335.0,33500.0,Market Securities & Exchange (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-24 11:08:45.799442
2026042404000663,API,6,35,1000,334.0,334000.0,Agrawal Securities (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-24 11:10:08.234321
2026042404000758,API,26,35,100,334.0,33400.0,Asian Securities Private Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-24 11:11:40.347047
2026042404000807,API,59,35,371,334.0,123914.0,Deevyaa Securities & Stock House Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-24 11:12:17.205978
2026042404000815,API,18,35,100,334.0,33400.0,Sagarmatha Securities Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-24 11:12:27.427869
2026042404000818,API,39,38,83,333.0,27639.0,Sumeru Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-24 11:12:29.726509
2026042404000819,API,41,38,300,333.0,99900.0,Linch Stock Market Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-24 11:12:29.726642
2026042404000820,API,72,38,1000,333.0,333000.0,Hatemalo Financial Services Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-24 11:12:29.726707
2026042404000821,API,44,38,617,332.3,205029.1,Dynamic Money Managers Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-24 11:12:29.726783
2026042404000901,API,98,8,1000,332.5,332500.0,Trademow Securities Private Limited,Brilliant Securities Pvt. Ltd.,2026-04-24 11:13:42.596368
2026042404000913,API,44,36,500,332.4,166200.0,Dynamic Money Managers Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-24 11:13:58.481335
2026042404000930,API,6,36,250,332.4,83100.0,Agrawal Securities (PVT) Ltd.,Secured Securities Ltd.,2026-04-24 11:14:17.686923
2026042404000960,API,41,45,150,332.4,49860.0,Linch Stock Market Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:14:42.217586
2026042404000961,API,44,45,383,332.3,127270.9,Dynamic Money Managers Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:14:42.217733
2026042404000962,API,64,45,196,332.2,65111.2,SUN SECURITIES PVT LTD,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:14:42.217801
2026042404000963,API,26,45,100,332.1,33210.0,Asian Securities Private Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:14:42.217871
2026042404000964,API,44,45,500,332.1,166050.0,Dynamic Money Managers Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:14:42.217940
2026042404000965,API,41,45,71,332.1,23579.1,Linch Stock Market Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:14:42.218010
2026042404001029,API,6,65,250,332.2,83050.0,Agrawal Securities (PVT) Ltd.,Sharepro Securities Private Limited,2026-04-24 11:15:32.364628
2026042404001033,API,6,33,750,332.2,249150.0,Agrawal Securities (PVT) Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-24 11:15:35.742289
2026042404001034,API,53,33,200,332.2,66440.0,Investment Management Nepal Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-24 11:15:35.742661
2026042404001035,API,41,33,229,332.1,76050.9,Linch Stock Market Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-24 11:15:35.742893
2026042404001036,API,72,33,1000,332.1,332100.0,Hatemalo Financial Services Private Limited,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-24 11:15:35.743149
2026042404001037,API,7,33,100,332.1,33210.0,J.F. Securites (PVT) Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-24 11:15:35.743228
2026042404001038,API,47,33,236,332.0,78352.0,Neev Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-24 11:15:35.743305
2026042404001039,API,44,33,500,332.0,166000.0,Dynamic Money Managers Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-24 11:15:35.743383
2026042404001040,API,57,33,2000,332.0,664000.0,Aryatara Investment & Securities,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-24 11:15:35.743480
2026042404001041,API,38,33,50,332.0,16600.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-24 11:15:35.743553
