contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042405000147,CIT,49,13,30,1780.0,53400.0,Online Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-24 11:01:55.997669
2026042405000148,CIT,49,44,22,1785.0,39270.0,Online Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-24 11:01:55.997734
2026042405000205,CIT,49,29,20,1785.0,35700.0,Online Securities Pvt. Ltd.,Trisul Securities & Invt. Ltd.,2026-04-24 11:02:35.655831
2026042405000207,CIT,49,8,10,1785.0,17850.0,Online Securities Pvt. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-24 11:02:37.533834
2026042405000264,CIT,49,45,78,1785.0,139230.0,Online Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:03:28.618173
2026042405000309,CIT,61,67,30,1770.0,53100.0,BHOLE GANESH SECURITIES LTD,Property Wiard Limited,2026-04-24 11:04:03.102381
2026042405000385,CIT,61,58,11,1770.0,19470.0,BHOLE GANESH SECURITIES LTD,Naasa Securities Co. Ltd.,2026-04-24 11:05:11.382651
2026042405000544,CIT,42,40,10,1770.1,17701.0,Sani Securities Company Ltd.,Creative Securities Pvt Ltd,2026-04-24 11:07:25.235489
2026042405000545,CIT,61,40,59,1770.0,104430.0,BHOLE GANESH SECURITIES LTD,Creative Securities Pvt Ltd,2026-04-24 11:07:25.235582
2026042405000606,CIT,49,59,10,1780.0,17800.0,Online Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 11:08:13.382534
2026042405001154,CIT,68,57,10,1779.7,17797.0,Elite Stock House Limited,Aryatara Investment & Securities,2026-04-24 11:15:43.937148
2026042405001155,CIT,68,38,10,1779.8,17798.0,Elite Stock House Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-24 11:15:43.937244
2026042405001198,CIT,58,29,37,1770.0,65490.0,Naasa Securities Co. Ltd.,Trisul Securities & Invt. Ltd.,2026-04-24 11:16:43.771059
2026042405001199,CIT,42,29,13,1770.0,23010.0,Sani Securities Company Ltd.,Trisul Securities & Invt. Ltd.,2026-04-24 11:16:43.771216
2026042405002160,CIT,52,58,20,1772.0,35440.0,Sundhara Securities Limited,Naasa Securities Co. Ltd.,2026-04-24 11:30:42.524142
2026042405002185,CIT,25,58,215,1770.3,380614.5,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-24 11:31:08.563085
2026042405002215,CIT,6,58,300,1770.2,531060.0,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-24 11:31:29.998355
2026042405002225,CIT,58,58,10,1770.1,17701.0,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-24 11:31:50.901456
2026042405002226,CIT,41,58,10,1770.0,17700.0,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,2026-04-24 11:31:50.901620
2026042405002227,CIT,58,58,20,1770.0,35400.0,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-24 11:31:50.901680
2026042405002282,CIT,38,29,50,1779.6,88980.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trisul Securities & Invt. Ltd.,2026-04-24 11:33:27.537828
2026042405002283,CIT,38,59,50,1780.0,89000.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 11:33:27.537940
2026042405002741,CIT,34,22,14,1778.0,24892.0,Vision Securities Pvt. Ltd,Siprabi Securities Pvt. Ltd.,2026-04-24 11:42:06.163544
2026042405002863,CIT,1,16,20,1771.1,35422.0,Kumari Securities Private Limited,Primo Securities (PVT) Ltd.,2026-04-24 11:44:36.317794
2026042405003009,CIT,38,57,200,1771.0,354200.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,2026-04-24 11:46:53.334536
2026042405003181,CIT,35,45,20,1770.0,35400.0,Kohinoor Investment & Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:51:07.560099
2026042405003182,CIT,25,45,10,1770.0,17700.0,Sweta Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:51:07.560383
2026042405003183,CIT,59,45,15,1770.0,26550.0,Deevyaa Securities & Stock House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:51:07.560540
2026042405003184,CIT,22,45,10,1770.0,17700.0,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:51:07.560681
2026042405003185,CIT,17,45,20,1770.0,35400.0,ABC Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:51:07.560884
2026042405003186,CIT,62,45,10,1770.0,17700.0,Capital Max Securities Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:51:07.561099
2026042405003187,CIT,45,45,10,1770.0,17700.0,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:51:07.561308
2026042405003188,CIT,58,45,10,1770.0,17700.0,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:51:07.561508
2026042405003223,CIT,14,22,50,1770.0,88500.0,Nepal Stock House (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-24 11:51:38.224550
2026042405003399,CIT,41,45,10,1769.0,17690.0,Linch Stock Market Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:53:40.001256
2026042405003400,CIT,32,45,40,1769.0,70760.0,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:53:40.001425
2026042405003453,CIT,57,45,10,1768.2,17682.0,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:54:33.774558
2026042405003454,CIT,41,45,10,1768.0,17680.0,Linch Stock Market Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:54:33.774694
2026042405003455,CIT,49,45,28,1768.0,49504.0,Online Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:54:33.774745
2026042405003456,CIT,32,45,42,1768.0,74256.0,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:54:33.774806
2026042405003457,CIT,6,45,190,1768.0,335920.0,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:54:33.774851
2026042405003501,CIT,6,45,110,1768.0,194480.0,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:55:31.087873
2026042405003570,CIT,29,45,30,1770.0,53100.0,Trisul Securities & Invt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:57:17.820406
2026042405003620,CIT,29,45,60,1770.0,106200.0,Trisul Securities & Invt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:58:23.783381
2026042405003621,CIT,4,45,20,1770.0,35400.0,Opal Securities Investment (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:58:23.783523
