contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042403000726,GFCL,58,33,20,624.0,12480.0,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-24 11:33:08.338012
2026042403001142,GFCL,42,44,100,620.0,62000.0,Sani Securities Company Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-24 11:52:44.874856
2026042403001143,GFCL,45,44,80,620.0,49600.0,Imperial Securities Company Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-24 11:52:44.874933
2026042403001227,GFCL,4,44,20,620.0,12400.0,Opal Securities Investment (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-24 11:57:58.634890
2026042403001337,GFCL,4,47,120,620.0,74400.0,Opal Securities Investment (PVT) Ltd.,Neev Securities Pvt. Ltd.,2026-04-24 12:01:33.696694
2026042403002191,GFCL,62,42,100,622.0,62200.0,Capital Max Securities Ltd,Sani Securities Company Ltd.,2026-04-24 12:45:57.311538
2026042403002202,GFCL,48,58,160,627.0,100320.0,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,2026-04-24 12:46:42.481283
2026042403002203,GFCL,48,39,90,628.0,56520.0,Trishakti Securities Public Limited,Sumeru Securities Pvt. Ltd.,2026-04-24 12:46:42.481378
2026042403002399,GFCL,4,39,10,620.0,6200.0,Opal Securities Investment (PVT) Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-24 12:54:40.597504
2026042403002400,GFCL,32,39,25,620.0,15500.0,Premier Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-24 12:54:40.597687
2026042403002401,GFCL,45,39,29,620.0,17980.0,Imperial Securities Company Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-24 12:54:40.597795
2026042403002561,GFCL,45,25,21,620.0,13020.0,Imperial Securities Company Pvt. Ltd.,Sweta Securities Private Limited,2026-04-24 12:58:48.900787
2026042403002958,GFCL,6,59,50,620.3,31015.0,Agrawal Securities (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 13:22:19.370292
2026042403002959,GFCL,56,59,200,620.2,124040.0,Sri Hari Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 13:22:19.370514
2026042403002960,GFCL,35,59,10,620.1,6201.0,Kohinoor Investment & Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 13:22:19.370636
2026042403002961,GFCL,87,59,300,620.1,186030.0,S.P.S.A. Securities Limited,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 13:22:19.370744
2026042403002962,GFCL,6,59,100,620.0,62000.0,Agrawal Securities (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 13:22:19.370858
2026042403002963,GFCL,39,59,135,620.0,83700.0,Sumeru Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 13:22:19.370968
2026042403003004,GFCL,39,39,100,620.0,62000.0,Sumeru Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-24 13:24:57.924414
2026042403003016,GFCL,39,39,10,620.0,6200.0,Sumeru Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-24 13:25:36.026616
2026042403003111,GFCL,39,59,255,620.0,158100.0,Sumeru Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 13:29:44.627109
2026042403003112,GFCL,45,59,130,620.0,80600.0,Imperial Securities Company Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 13:29:44.627292
2026042403003113,GFCL,53,59,10,620.0,6200.0,Investment Management Nepal Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 13:29:44.627394
2026042403003114,GFCL,57,59,100,620.0,62000.0,Aryatara Investment & Securities,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 13:29:44.627508
2026042403003292,GFCL,56,59,140,620.0,86800.0,Sri Hari Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 13:43:26.320911
2026042403003300,GFCL,39,59,50,620.0,31000.0,Sumeru Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 13:43:56.987342
2026042403003319,GFCL,42,59,10,620.0,6200.0,Sani Securities Company Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 13:45:30.557804
2026042403003635,GFCL,88,59,300,620.0,186000.0,Blue Chip Securities Ltd,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 14:02:48.485126
2026042403003636,GFCL,88,59,425,620.0,263500.0,Blue Chip Securities Ltd,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-24 14:02:48.485211
2026042403003665,GFCL,58,17,11,619.0,6809.0,Naasa Securities Co. Ltd.,ABC Securities Private Limited,2026-04-24 14:03:35.376773
2026042403003828,GFCL,58,57,39,619.0,24141.0,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-24 14:08:20.900642
2026042403003829,GFCL,39,57,10,618.6,6186.0,Sumeru Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-24 14:08:20.900770
2026042403003830,GFCL,56,57,200,618.5,123700.0,Sri Hari Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-24 14:08:20.900815
2026042403003831,GFCL,45,57,50,618.0,30900.0,Imperial Securities Company Pvt. Ltd.,Aryatara Investment & Securities,2026-04-24 14:08:20.900853
2026042403003832,GFCL,29,57,25,618.0,15450.0,Trisul Securities & Invt. Ltd.,Aryatara Investment & Securities,2026-04-24 14:08:20.900894
