contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042404000086,NGPL,94,39,500,441.0,220500.0,2026-04-24,187803767,2743,K.B.L. Securities Limited ,Sumeru Securities Pvt. Ltd.,2026-04-24 11:01:17.130488,Ngadi Group Power Ltd.
2026042404000135,NGPL,65,94,100,441.0,44100.0,2026-04-24,187804518,2743,Sharepro Securities Private Limited,K.B.L. Securities Limited ,2026-04-24 11:02:07.005721,Ngadi Group Power Ltd.
2026042404000136,NGPL,17,94,200,438.0,87600.0,2026-04-24,187804520,2743,ABC Securities Private Limited,K.B.L. Securities Limited ,2026-04-24 11:02:07.005780,Ngadi Group Power Ltd.
2026042404000137,NGPL,94,94,500,437.0,218500.0,2026-04-24,187804522,2743,K.B.L. Securities Limited ,K.B.L. Securities Limited ,2026-04-24 11:02:07.005814,Ngadi Group Power Ltd.
2026042404000138,NGPL,94,94,500,437.0,218500.0,2026-04-24,187804524,2743,K.B.L. Securities Limited ,K.B.L. Securities Limited ,2026-04-24 11:02:07.005836,Ngadi Group Power Ltd.
2026042404000139,NGPL,46,94,1000,437.0,437000.0,2026-04-24,187804526,2743,Kalika Securities Pvt. Ltd.,K.B.L. Securities Limited ,2026-04-24 11:02:07.005858,Ngadi Group Power Ltd.
2026042404000140,NGPL,57,94,500,436.2,218100.0,2026-04-24,187804528,2743,Aryatara Investment & Securities,K.B.L. Securities Limited ,2026-04-24 11:02:07.005881,Ngadi Group Power Ltd.
2026042404000141,NGPL,14,94,100,436.1,43610.0,2026-04-24,187804530,2743,Nepal Stock House (PVT) Ltd.,K.B.L. Securities Limited ,2026-04-24 11:02:07.005904,Ngadi Group Power Ltd.
2026042404000142,NGPL,58,94,100,436.0,43600.0,2026-04-24,187804532,2743,Naasa Securities Co. Ltd.,K.B.L. Securities Limited ,2026-04-24 11:02:07.005948,Ngadi Group Power Ltd.
2026042404000143,NGPL,5,94,3000,435.2,1305600.0,2026-04-24,187804534,2743,Market Securities & Exchange (PVT) Ltd.,K.B.L. Securities Limited ,2026-04-24 11:02:07.005971,Ngadi Group Power Ltd.
2026042404000144,NGPL,82,94,2500,435.1,1087750.0,2026-04-24,187804536,2743,N.M.B. SECURITIES LIMITED,K.B.L. Securities Limited ,2026-04-24 11:02:07.005995,Ngadi Group Power Ltd.
2026042404000145,NGPL,14,94,425,435.0,184875.0,2026-04-24,187804537,2743,Nepal Stock House (PVT) Ltd.,K.B.L. Securities Limited ,2026-04-24 11:02:07.006019,Ngadi Group Power Ltd.
2026042404000153,NGPL,14,58,75,435.0,32625.0,2026-04-24,187804664,2743,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-24 11:02:13.353844,Ngadi Group Power Ltd.
2026042404000154,NGPL,39,58,250,435.0,108750.0,2026-04-24,187804666,2743,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-24 11:02:13.353934,Ngadi Group Power Ltd.
2026042404000166,NGPL,65,58,255,435.0,110925.0,2026-04-24,187804793,2743,Sharepro Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-24 11:02:21.356569,Ngadi Group Power Ltd.
2026042404000169,NGPL,65,29,154,436.1,67159.4,2026-04-24,187804833,2743,Sharepro Securities Private Limited,Trisul Securities & Invt. Ltd.,2026-04-24 11:02:24.330091,Ngadi Group Power Ltd.
