contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042404000001,SHL,33,20,100,484.0,48400.0,2026-04-24,187802775,147,Dakshinkali Investment & Securities Pvt. Ltd.,Sipla Securities Private Limited,2026-04-24 10:46:00.006490,Soaltee Hotel Limited
2026042404000042,SHL,20,20,100,498.5,49850.0,2026-04-24,187803294,147,Sipla Securities Private Limited,Sipla Securities Private Limited,2026-04-24 11:00:15.640054,Soaltee Hotel Limited
2026042404000050,SHL,20,20,100,513.4,51340.0,2026-04-24,187803344,147,Sipla Securities Private Limited,Sipla Securities Private Limited,2026-04-24 11:00:26.220192,Soaltee Hotel Limited
2026042404000057,SHL,20,39,900,510.0,459000.0,2026-04-24,187803457,147,Sipla Securities Private Limited,Sumeru Securities Pvt. Ltd.,2026-04-24 11:00:45.557582,Soaltee Hotel Limited
2026042404000058,SHL,20,58,100,512.0,51200.0,2026-04-24,187803459,147,Sipla Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-24 11:00:45.557624,Soaltee Hotel Limited
2026042404000059,SHL,20,71,1500,523.0,784500.0,2026-04-24,187803461,147,Sipla Securities Private Limited,SHUBHAKAMANA SECURITIES PVT. LTD,2026-04-24 11:00:45.557648,Soaltee Hotel Limited
2026042404000060,SHL,20,20,100,528.8,52880.0,2026-04-24,187803463,147,Sipla Securities Private Limited,Sipla Securities Private Limited,2026-04-24 11:00:45.557669,Soaltee Hotel Limited
2026042404000061,SHL,20,20,3400,528.8,1797920.0,2026-04-24,187803466,147,Sipla Securities Private Limited,Sipla Securities Private Limited,2026-04-24 11:00:45.557691,Soaltee Hotel Limited
2026042404000065,SHL,20,20,8100,528.8,4283280.0,2026-04-24,187803533,147,Sipla Securities Private Limited,Sipla Securities Private Limited,2026-04-24 11:00:52.417999,Soaltee Hotel Limited
2026042404000489,SHL,45,20,100,495.2,49520.0,2026-04-24,187809355,147,Imperial Securities Company Pvt. Ltd.,Sipla Securities Private Limited,2026-04-24 11:07:59.194540,Soaltee Hotel Limited
2026042404000503,SHL,45,67,195,495.2,96564.0,2026-04-24,187809487,147,Imperial Securities Company Pvt. Ltd.,Property Wiard Limited,2026-04-24 11:08:10.777796,Soaltee Hotel Limited
