contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042404000031,SSHL,42,58,10,218.5,2185.0,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-24 10:46:00.115742
2026042404000052,SSHL,58,58,10,218.5,2185.0,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-24 11:00:36.812341
2026042404000091,SSHL,58,33,2000,216.0,432000.0,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-24 11:01:19.720603
2026042404000146,SSHL,58,17,100,216.0,21600.0,Naasa Securities Co. Ltd.,ABC Securities Private Limited,2026-04-24 11:02:09.004303
2026042404000176,SSHL,50,94,500,215.1,107550.0,Cristal Kanchanjanga Securites Pvt. Ltd.,K.B.L. Securities Limited ,2026-04-24 11:02:27.979065
2026042404000210,SSHL,34,74,200,215.0,43000.0,Vision Securities Pvt. Ltd,KALASH STOCK MARKET PVT. LTD.,2026-04-24 11:03:23.074122
2026042404000211,SSHL,50,44,166,215.1,35706.6,Cristal Kanchanjanga Securites Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-24 11:03:27.332888
2026042404000325,SSHL,50,45,334,215.4,71943.6,Cristal Kanchanjanga Securites Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:05:35.465603
2026042404000326,SSHL,5,45,500,215.3,107650.0,Market Securities & Exchange (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:05:35.465815
2026042404000327,SSHL,28,45,520,215.2,111904.0,Shree Krishna Securities Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:05:35.465962
2026042404000328,SSHL,43,45,50,215.2,10760.0,South Asian Bulls Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:05:35.466107
2026042404000329,SSHL,18,45,200,215.1,43020.0,Sagarmatha Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:05:35.466236
2026042404000330,SSHL,58,45,1000,215.1,215100.0,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:05:35.466383
2026042404000331,SSHL,16,45,866,215.1,186276.6,Primo Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:05:35.466515
2026042404000387,SSHL,41,45,25,215.9,5397.5,Linch Stock Market Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:06:06.743335
2026042404000403,SSHL,8,58,130,215.6,28028.0,Brilliant Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-24 11:06:09.973496
