contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042405000425,TPC,58,45,15,375.0,5625.0,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:05:43.356391
2026042405000700,TPC,52,58,100,370.1,37010.0,Sundhara Securities Limited,Naasa Securities Co. Ltd.,2026-04-24 11:09:30.482140
2026042405000719,TPC,52,56,20,370.1,7402.0,Sundhara Securities Limited,Sri Hari Securities Pvt. Ltd.,2026-04-24 11:09:49.558505
2026042405000792,TPC,52,48,150,370.1,55515.0,Sundhara Securities Limited,Trishakti Securities Public Limited,2026-04-24 11:10:39.285076
2026042405000886,TPC,62,58,12,370.1,4441.2,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,2026-04-24 11:11:43.341596
2026042405001173,TPC,49,78,123,370.2,45534.6,Online Securities Pvt. Ltd.,Garima Securities Limited,2026-04-24 11:16:23.356515
2026042405001174,TPC,62,78,488,370.1,180608.8,Capital Max Securities Ltd,Garima Securities Limited,2026-04-24 11:16:23.356611
2026042405001175,TPC,6,78,50,370.0,18500.0,Agrawal Securities (PVT) Ltd.,Garima Securities Limited,2026-04-24 11:16:23.356653
2026042405001176,TPC,51,78,810,370.0,299700.0,Oxford Securities Pvt. Ltd.,Garima Securities Limited,2026-04-24 11:16:23.356688
2026042405001177,TPC,58,78,22,370.0,8140.0,Naasa Securities Co. Ltd.,Garima Securities Limited,2026-04-24 11:16:23.356747
2026042405001178,TPC,14,78,200,370.0,74000.0,Nepal Stock House (PVT) Ltd.,Garima Securities Limited,2026-04-24 11:16:23.356777
2026042405001179,TPC,14,78,100,370.0,37000.0,Nepal Stock House (PVT) Ltd.,Garima Securities Limited,2026-04-24 11:16:23.356810
2026042405001185,TPC,19,45,20,369.0,7380.0,Nepal Investment And Securities Trading Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:16:33.579357
2026042405001186,TPC,51,45,10,369.0,3690.0,Oxford Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-24 11:16:33.579460
