contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042704000327,DHPL,4,14,24,300.0,7200.0,Opal Securities Investment (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-27 11:09:01.637873
2026042704000418,DHPL,34,38,30,305.0,9150.0,Vision Securities Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-27 11:11:20.372328
2026042704000419,DHPL,34,38,10,309.0,3090.0,Vision Securities Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-27 11:11:20.372412
2026042704000852,DHPL,42,52,10,308.5,3085.0,Sani Securities Company Ltd.,Sundhara Securities Limited,2026-04-27 11:20:49.145930
2026042704001305,DHPL,58,57,10,308.0,3080.0,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-27 11:29:28.122638
2026042704001771,DHPL,49,32,10,307.0,3070.0,Online Securities Pvt. Ltd.,Premier Securities Company Ltd.,2026-04-27 11:36:41.192360
2026042704001887,DHPL,41,57,10,306.8,3068.0,Linch Stock Market Ltd.,Aryatara Investment & Securities,2026-04-27 11:40:59.836034
2026042704001968,DHPL,58,57,75,306.8,23010.0,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-27 11:42:44.942175
2026042704001978,DHPL,42,57,15,306.8,4602.0,Sani Securities Company Ltd.,Aryatara Investment & Securities,2026-04-27 11:43:01.645169
2026042704001985,DHPL,58,52,120,306.9,36828.0,Naasa Securities Co. Ltd.,Sundhara Securities Limited,2026-04-27 11:43:13.727885
2026042704002141,DHPL,58,90,100,305.0,30500.0,Naasa Securities Co. Ltd.,Sajilo Broker Limited,2026-04-27 11:45:56.500745
2026042704002165,DHPL,28,51,12,305.0,3660.0,Shree Krishna Securities Ltd.,Oxford Securities Pvt. Ltd.,2026-04-27 11:46:30.813075
2026042704002166,DHPL,58,51,10,305.0,3050.0,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-27 11:46:30.813157
2026042704002479,DHPL,58,51,10,305.0,3050.0,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-27 11:54:43.426884
2026042704003854,DHPL,32,51,18,305.0,5490.0,Premier Securities Company Ltd.,Oxford Securities Pvt. Ltd.,2026-04-27 12:35:06.473796
2026042704003855,DHPL,32,52,482,305.9,147443.8,Premier Securities Company Ltd.,Sundhara Securities Limited,2026-04-27 12:35:06.473883
2026042704004044,DHPL,89,28,10,302.0,3020.0,Global IME Securities Limited,Shree Krishna Securities Ltd.,2026-04-27 12:39:55.708514
2026042704004045,DHPL,49,28,10,302.0,3020.0,Online Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,2026-04-27 12:39:55.708621
2026042704004046,DHPL,58,28,10,302.0,3020.0,Naasa Securities Co. Ltd.,Shree Krishna Securities Ltd.,2026-04-27 12:39:55.708642
2026042704004047,DHPL,45,28,20,301.0,6020.0,Imperial Securities Company Pvt. Ltd.,Shree Krishna Securities Ltd.,2026-04-27 12:39:55.708666
2026042704004612,DHPL,32,58,50,301.1,15055.0,Premier Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-27 12:53:52.751409
2026042704004623,DHPL,45,58,30,301.0,9030.0,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-27 12:54:13.911435
2026042704004626,DHPL,4,58,81,300.0,24300.0,Opal Securities Investment (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-27 12:54:25.664620
2026042704005095,DHPL,25,35,50,300.3,15015.0,Sweta Securities Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-27 13:06:53.991863
2026042704005534,DHPL,45,14,10,301.0,3010.0,Imperial Securities Company Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-27 13:17:54.237542
2026042704006912,DHPL,39,62,1000,304.0,304000.0,Sumeru Securities Pvt. Ltd.,Capital Max Securities Ltd,2026-04-27 13:47:51.732997
2026042704007873,DHPL,52,43,125,302.0,37750.0,Sundhara Securities Limited,South Asian Bulls Pvt. Ltd.,2026-04-27 14:10:14.395987
2026042704007874,DHPL,59,43,175,301.6,52780.0,Deevyaa Securities & Stock House Pvt. Ltd,South Asian Bulls Pvt. Ltd.,2026-04-27 14:10:14.396185
2026042704009238,DHPL,59,58,10,301.6,3016.0,Deevyaa Securities & Stock House Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-27 14:30:59.349149
2026042704009287,DHPL,59,65,30,301.6,9048.0,Deevyaa Securities & Stock House Pvt. Ltd,Sharepro Securities Private Limited,2026-04-27 14:31:59.917778
2026042704009863,DHPL,59,13,30,301.6,9048.0,Deevyaa Securities & Stock House Pvt. Ltd,Thrive Brokerage House Pvt. Ltd,2026-04-27 14:41:38.750100
2026042704009905,DHPL,59,14,180,301.6,54288.0,Deevyaa Securities & Stock House Pvt. Ltd,Nepal Stock House (PVT) Ltd.,2026-04-27 14:42:21.792105
2026042704009912,DHPL,59,49,50,301.6,15080.0,Deevyaa Securities & Stock House Pvt. Ltd,Online Securities Pvt. Ltd.,2026-04-27 14:42:29.466954
2026042704010435,DHPL,42,34,50,302.0,15100.0,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,2026-04-27 14:49:10.160584
2026042704010476,DHPL,59,62,419,304.0,127376.0,Deevyaa Securities & Stock House Pvt. Ltd,Capital Max Securities Ltd,2026-04-27 14:49:47.363515
2026042704010776,DHPL,42,44,20,302.0,6040.0,Sani Securities Company Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-27 14:52:42.141397
2026042704011063,DHPL,42,57,30,302.0,9060.0,Sani Securities Company Ltd.,Aryatara Investment & Securities,2026-04-27 14:54:42.459570
2026042704011064,DHPL,57,57,270,301.8,81486.0,Aryatara Investment & Securities,Aryatara Investment & Securities,2026-04-27 14:54:42.459699
2026042704011539,DHPL,44,74,140,302.0,42280.0,Dynamic Money Managers Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-27 14:57:07.291178
