contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042701001089,GBIME,42,41,10,232.5,2325.0,2026-04-27,187956209,341,Sani Securities Company Ltd.,Linch Stock Market Ltd.,2026-04-27 11:03:58.478563,Global IME Bank Limited
2026042701001941,GBIME,43,62,26,234.0,6084.0,2026-04-27,187958546,341,South Asian Bulls Pvt. Ltd.,Capital Max Securities Ltd,2026-04-27 11:07:14.901954,Global IME Bank Limited
2026042701001962,GBIME,76,62,10,234.0,2340.0,2026-04-27,187958624,341,Machhapuchchhre Securities Limited,Capital Max Securities Ltd,2026-04-27 11:07:20.048065,Global IME Bank Limited
2026042701002382,GBIME,58,37,122,233.9,28535.8,2026-04-27,187959611,341,Naasa Securities Co. Ltd.,Swarna Laxmi Securities Pvt. Ltd.,2026-04-27 11:08:17.903895,Global IME Bank Limited
2026042701002383,GBIME,58,62,178,234.0,41652.0,2026-04-27,187959614,341,Naasa Securities Co. Ltd.,Capital Max Securities Ltd,2026-04-27 11:08:17.903964,Global IME Bank Limited
2026042701002746,GBIME,48,62,50,234.0,11700.0,2026-04-27,187960532,341,Trishakti Securities Public Limited,Capital Max Securities Ltd,2026-04-27 11:09:06.205789,Global IME Bank Limited
2026042701002838,GBIME,51,62,10,234.0,2340.0,2026-04-27,187960748,341,Oxford Securities Pvt. Ltd.,Capital Max Securities Ltd,2026-04-27 11:09:17.258509,Global IME Bank Limited
2026042701003712,GBIME,4,62,115,234.0,26910.0,2026-04-27,187962932,341,Opal Securities Investment (PVT) Ltd.,Capital Max Securities Ltd,2026-04-27 11:11:20.130284,Global IME Bank Limited
2026042701003802,GBIME,14,62,50,234.0,11700.0,2026-04-27,187963184,341,Nepal Stock House (PVT) Ltd.,Capital Max Securities Ltd,2026-04-27 11:11:36.008186,Global IME Bank Limited
2026042701004310,GBIME,14,62,20,234.0,4680.0,2026-04-27,187964642,341,Nepal Stock House (PVT) Ltd.,Capital Max Securities Ltd,2026-04-27 11:13:23.203916,Global IME Bank Limited
2026042701004657,GBIME,4,62,40,234.0,9360.0,2026-04-27,187965586,341,Opal Securities Investment (PVT) Ltd.,Capital Max Securities Ltd,2026-04-27 11:14:36.536675,Global IME Bank Limited
2026042701004986,GBIME,57,53,40,234.0,9360.0,2026-04-27,187966634,341,Aryatara Investment & Securities,Investment Management Nepal Pvt. Ltd.,2026-04-27 11:15:44.201776,Global IME Bank Limited
2026042701005038,GBIME,3,42,14,233.5,3269.0,2026-04-27,187966759,341,Arun Securities (PVT) Ltd.,Sani Securities Company Ltd.,2026-04-27 11:15:52.316123,Global IME Bank Limited
2026042701005130,GBIME,34,53,160,234.0,37440.0,2026-04-27,187967033,341,Vision Securities Pvt. Ltd,Investment Management Nepal Pvt. Ltd.,2026-04-27 11:16:12.430170,Global IME Bank Limited
2026042701005613,GBIME,18,16,200,234.5,46900.0,2026-04-27,187968480,341,Sagarmatha Securities Private Limited,Primo Securities (PVT) Ltd.,2026-04-27 11:17:53.290579,Global IME Bank Limited
2026042701006729,GBIME,58,58,200,234.8,46960.0,2026-04-27,187972129,341,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-27 11:22:12.536877,Global IME Bank Limited
2026042701006730,GBIME,58,36,60,234.9,14094.0,2026-04-27,187972132,341,Naasa Securities Co. Ltd.,Secured Securities Ltd.,2026-04-27 11:22:12.537132,Global IME Bank Limited
2026042701006970,GBIME,58,7,1,228.0,228.0,2026-04-27,187972899,341,Naasa Securities Co. Ltd.,J.F. Securites (PVT) Ltd.,2026-04-27 11:23:06.628730,Global IME Bank Limited
2026042701007075,GBIME,72,36,30,234.9,7047.0,2026-04-27,187973230,341,Hatemalo Financial Services Private Limited,Secured Securities Ltd.,2026-04-27 11:23:34.651140,Global IME Bank Limited
2026042701007472,GBIME,3,36,10,234.9,2349.0,2026-04-27,187974433,341,Arun Securities (PVT) Ltd.,Secured Securities Ltd.,2026-04-27 11:25:10.272505,Global IME Bank Limited
2026042701007475,GBIME,3,49,65,234.9,15268.5,2026-04-27,187974460,341,Arun Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,2026-04-27 11:25:11.027957,Global IME Bank Limited
2026042701007476,GBIME,6,49,55,234.5,12897.5,2026-04-27,187974462,341,Agrawal Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,2026-04-27 11:25:11.028124,Global IME Bank Limited
2026042701007477,GBIME,62,49,10,234.5,2345.0,2026-04-27,187974464,341,Capital Max Securities Ltd,Online Securities Pvt. Ltd.,2026-04-27 11:25:11.028181,Global IME Bank Limited
2026042701007478,GBIME,22,49,47,234.5,11021.5,2026-04-27,187974466,341,Siprabi Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-27 11:25:11.028253,Global IME Bank Limited
2026042701007479,GBIME,48,49,340,234.1,79594.0,2026-04-27,187974467,341,Trishakti Securities Public Limited,Online Securities Pvt. Ltd.,2026-04-27 11:25:11.028311,Global IME Bank Limited
2026042701007610,GBIME,48,35,124,234.1,29028.4,2026-04-27,187974927,341,Trishakti Securities Public Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-27 11:25:47.443030,Global IME Bank Limited
2026042701007908,GBIME,34,49,10,234.2,2342.0,2026-04-27,187975953,341,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,2026-04-27 11:27:07.668882,Global IME Bank Limited
2026042701008034,GBIME,34,45,10,234.2,2342.0,2026-04-27,187976417,341,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-27 11:27:43.715512,Global IME Bank Limited
2026042701008451,GBIME,34,94,10,234.2,2342.0,2026-04-27,187977807,341,Vision Securities Pvt. Ltd,K.B.L. Securities Limited ,2026-04-27 11:29:27.379986,Global IME Bank Limited
2026042701008591,GBIME,34,14,10,234.2,2342.0,2026-04-27,187978384,341,Vision Securities Pvt. Ltd,Nepal Stock House (PVT) Ltd.,2026-04-27 11:30:11.405960,Global IME Bank Limited
2026042701008592,GBIME,48,14,536,234.1,125477.6,2026-04-27,187978386,341,Trishakti Securities Public Limited,Nepal Stock House (PVT) Ltd.,2026-04-27 11:30:11.406254,Global IME Bank Limited
