contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042703000062,ICFC,7,43,10,630.0,6300.0,J.F. Securites (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,2026-04-27 11:02:14.213106
2026042703000975,ICFC,21,57,100,622.1,62210.0,Midas Stock Broking Company Private Limited,Aryatara Investment & Securities,2026-04-27 11:38:08.807534
2026042703000976,ICFC,41,57,77,622.0,47894.0,Linch Stock Market Ltd.,Aryatara Investment & Securities,2026-04-27 11:38:08.807593
2026042703001252,ICFC,14,77,10,622.9,6229.0,Nepal Stock House (PVT) Ltd.,Nabil Stock Dealer Ltd.,2026-04-27 11:48:12.375989
2026042703001697,ICFC,34,41,20,629.0,12580.0,Vision Securities Pvt. Ltd,Linch Stock Market Ltd.,2026-04-27 12:08:56.899903
2026042703001761,ICFC,14,41,30,629.0,18870.0,Nepal Stock House (PVT) Ltd.,Linch Stock Market Ltd.,2026-04-27 12:12:34.559128
2026042703001784,ICFC,14,43,30,629.5,18885.0,Nepal Stock House (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,2026-04-27 12:13:41.287882
2026042703001809,ICFC,17,43,60,629.5,37770.0,ABC Securities Private Limited,South Asian Bulls Pvt. Ltd.,2026-04-27 12:14:26.121939
2026042703001871,ICFC,35,42,46,625.0,28750.0,Kohinoor Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-27 12:17:59.036479
2026042703002190,ICFC,41,26,100,629.8,62980.0,Linch Stock Market Ltd.,Asian Securities Private Ltd.,2026-04-27 12:33:51.312984
2026042703002199,ICFC,43,34,5,620.0,3100.0,South Asian Bulls Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-27 12:34:44.632048
2026042703002575,ICFC,99,45,100,625.1,62510.0,Prabhu Stock Market Limited,Imperial Securities Company Pvt. Ltd.,2026-04-27 12:46:59.409198
2026042703002867,ICFC,99,26,100,625.1,62510.0,Prabhu Stock Market Limited,Asian Securities Private Ltd.,2026-04-27 12:55:42.424651
2026042703002875,ICFC,35,26,14,625.0,8750.0,Kohinoor Investment & Securities Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-27 12:55:58.878009
2026042703002876,ICFC,43,26,36,625.0,22500.0,South Asian Bulls Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-27 12:55:58.878161
2026042703003615,ICFC,58,38,52,625.1,32505.2,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-27 13:20:00.352078
2026042703003689,ICFC,58,47,15,625.2,9378.0,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,2026-04-27 13:22:16.295750
2026042703003690,ICFC,58,47,35,625.1,21878.5,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,2026-04-27 13:22:16.295897
2026042703004332,ICFC,22,28,40,629.0,25160.0,Siprabi Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,2026-04-27 13:46:48.269352
2026042703004951,ICFC,58,58,10,628.9,6289.0,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-27 14:08:43.736146
2026042703005006,ICFC,57,58,100,628.9,62890.0,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-27 14:10:24.134981
2026042703005773,ICFC,57,45,50,628.0,31400.0,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,2026-04-27 14:31:29.587982
2026042703005774,ICFC,57,45,50,628.0,31400.0,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,2026-04-27 14:31:29.588230
2026042703006235,ICFC,57,45,20,627.0,12540.0,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,2026-04-27 14:44:53.489513
2026042703006509,ICFC,57,45,30,627.0,18810.0,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,2026-04-27 14:49:26.926744
2026042703006510,ICFC,57,38,100,627.0,62700.0,Aryatara Investment & Securities,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-27 14:49:26.926950
2026042703006511,ICFC,57,42,70,627.0,43890.0,Aryatara Investment & Securities,Sani Securities Company Ltd.,2026-04-27 14:49:26.927088
2026042703006635,ICFC,59,45,100,625.8,62580.0,Deevyaa Securities & Stock House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-27 14:51:22.205483
2026042703006726,ICFC,59,46,100,625.8,62580.0,Deevyaa Securities & Stock House Pvt. Ltd,Kalika Securities Pvt. Ltd.,2026-04-27 14:52:49.643402
2026042703006794,ICFC,57,47,100,625.5,62550.0,Aryatara Investment & Securities,Neev Securities Pvt. Ltd.,2026-04-27 14:54:13.981701
2026042703006795,ICFC,43,47,100,625.3,62530.0,South Asian Bulls Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-27 14:54:13.981880
2026042703006796,ICFC,20,47,800,625.3,500240.0,Sipla Securities Private Limited,Neev Securities Pvt. Ltd.,2026-04-27 14:54:13.981932
2026042703006944,ICFC,20,42,200,625.3,125060.0,Sipla Securities Private Limited,Sani Securities Company Ltd.,2026-04-27 14:56:47.842847
2026042703006945,ICFC,21,42,100,625.3,62530.0,Midas Stock Broking Company Private Limited,Sani Securities Company Ltd.,2026-04-27 14:56:47.842985
2026042703006946,ICFC,58,42,10,625.1,6251.0,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-27 14:56:47.843068
2026042703007050,ICFC,58,28,250,625.1,156275.0,Naasa Securities Co. Ltd.,Shree Krishna Securities Ltd.,2026-04-27 14:58:04.880977
2026042703007123,ICFC,72,46,100,625.8,62580.0,Hatemalo Financial Services Private Limited,Kalika Securities Pvt. Ltd.,2026-04-27 14:58:38.069398
