contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042703000005,JBBL,89,58,10,380.0,3800.0,2026-04-27,187953273,418,Global IME Securities Limited,Naasa Securities Co. Ltd.,2026-04-27 10:46:00.059906,Jyoti Bikas Bank Limited
2026042703000006,JBBL,89,62,30,380.0,11400.0,2026-04-27,187953276,418,Global IME Securities Limited,Capital Max Securities Ltd,2026-04-27 10:46:00.059944,Jyoti Bikas Bank Limited
2026042703000044,JBBL,42,85,10,370.0,3700.0,2026-04-27,187954140,418,Sani Securities Company Ltd.,Capital Hub P. Ltd,2026-04-27 11:01:02.934508,Jyoti Bikas Bank Limited
2026042703000045,JBBL,20,85,10,370.0,3700.0,2026-04-27,187954144,418,Sipla Securities Private Limited,Capital Hub P. Ltd,2026-04-27 11:01:03.194429,Jyoti Bikas Bank Limited
2026042703000047,JBBL,58,85,16,370.0,5920.0,2026-04-27,187954336,418,Naasa Securities Co. Ltd.,Capital Hub P. Ltd,2026-04-27 11:01:20.038247,Jyoti Bikas Bank Limited
2026042703000088,JBBL,32,85,50,370.0,18500.0,2026-04-27,187956096,418,Premier Securities Company Ltd.,Capital Hub P. Ltd,2026-04-27 11:03:49.406135,Jyoti Bikas Bank Limited
2026042703000142,JBBL,74,58,90,369.9,33291.0,2026-04-27,187958877,418,KALASH STOCK MARKET PVT. LTD.,Naasa Securities Co. Ltd.,2026-04-27 11:07:37.235564,Jyoti Bikas Bank Limited
2026042703000143,JBBL,74,85,1410,370.0,521700.0,2026-04-27,187958880,418,KALASH STOCK MARKET PVT. LTD.,Capital Hub P. Ltd,2026-04-27 11:07:37.235741,Jyoti Bikas Bank Limited
2026042703000144,JBBL,22,85,800,370.0,296000.0,2026-04-27,187958892,418,Siprabi Securities Pvt. Ltd.,Capital Hub P. Ltd,2026-04-27 11:07:38.410263,Jyoti Bikas Bank Limited
2026042703000145,JBBL,50,85,1000,370.0,370000.0,2026-04-27,187958936,418,Cristal Kanchanjanga Securites Pvt. Ltd.,Capital Hub P. Ltd,2026-04-27 11:07:40.457067,Jyoti Bikas Bank Limited
2026042703000150,JBBL,48,85,945,370.0,349650.0,2026-04-27,187959203,418,Trishakti Securities Public Limited,Capital Hub P. Ltd,2026-04-27 11:07:54.428916,Jyoti Bikas Bank Limited
2026042703000151,JBBL,48,58,10,370.0,3700.0,2026-04-27,187959235,418,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,2026-04-27 11:07:56.648225,Jyoti Bikas Bank Limited
2026042703000183,JBBL,48,59,45,370.0,16650.0,2026-04-27,187961244,418,Trishakti Securities Public Limited,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-27 11:09:44.891198,Jyoti Bikas Bank Limited
2026042703000184,JBBL,74,59,78,370.0,28860.0,2026-04-27,187961245,418,KALASH STOCK MARKET PVT. LTD.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-27 11:09:44.891380,Jyoti Bikas Bank Limited
2026042703000204,JBBL,58,42,10,372.0,3720.0,2026-04-27,187962559,418,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-27 11:10:58.293082,Jyoti Bikas Bank Limited
2026042703000216,JBBL,48,49,1000,374.0,374000.0,2026-04-27,187963490,418,Trishakti Securities Public Limited,Online Securities Pvt. Ltd.,2026-04-27 11:11:57.651084,Jyoti Bikas Bank Limited
2026042703000250,JBBL,48,62,270,375.0,101250.0,2026-04-27,187964296,418,Trishakti Securities Public Limited,Capital Max Securities Ltd,2026-04-27 11:12:57.055826,Jyoti Bikas Bank Limited
2026042703000271,JBBL,36,17,100,375.5,37550.0,2026-04-27,187964722,418,Secured Securities Ltd.,ABC Securities Private Limited,2026-04-27 11:13:29.868943,Jyoti Bikas Bank Limited
2026042703000278,JBBL,48,42,103,376.0,38728.0,2026-04-27,187965003,418,Trishakti Securities Public Limited,Sani Securities Company Ltd.,2026-04-27 11:13:53.689447,Jyoti Bikas Bank Limited
2026042703000279,JBBL,48,88,897,376.0,337272.0,2026-04-27,187965009,418,Trishakti Securities Public Limited,Blue Chip Securities Ltd,2026-04-27 11:13:53.689596,Jyoti Bikas Bank Limited
2026042703000307,JBBL,58,33,28,375.9,10525.2,2026-04-27,187965980,418,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-27 11:14:57.857212,Jyoti Bikas Bank Limited
2026042703000368,JBBL,45,8,200,372.2,74440.0,2026-04-27,187967622,418,Imperial Securities Company Pvt. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-27 11:16:50.257709,Jyoti Bikas Bank Limited
2026042703000369,JBBL,17,8,200,372.1,74420.0,2026-04-27,187967624,418,ABC Securities Private Limited,Brilliant Securities Pvt. Ltd.,2026-04-27 11:16:50.257803,Jyoti Bikas Bank Limited
2026042703000370,JBBL,49,8,200,372.1,74420.0,2026-04-27,187967626,418,Online Securities Pvt. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-27 11:16:50.257868,Jyoti Bikas Bank Limited
2026042703000371,JBBL,58,8,190,372.0,70680.0,2026-04-27,187967628,418,Naasa Securities Co. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-27 11:16:50.257933,Jyoti Bikas Bank Limited
2026042703000372,JBBL,49,8,500,372.0,186000.0,2026-04-27,187967630,418,Online Securities Pvt. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-27 11:16:50.257991,Jyoti Bikas Bank Limited
2026042703000373,JBBL,49,8,1000,371.0,371000.0,2026-04-27,187967632,418,Online Securities Pvt. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-27 11:16:50.258075,Jyoti Bikas Bank Limited
2026042703000374,JBBL,58,8,1000,371.0,371000.0,2026-04-27,187967634,418,Naasa Securities Co. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-27 11:16:50.258136,Jyoti Bikas Bank Limited
2026042703000375,JBBL,45,8,200,370.2,74040.0,2026-04-27,187967636,418,Imperial Securities Company Pvt. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-27 11:16:50.258227,Jyoti Bikas Bank Limited
2026042703000376,JBBL,74,8,922,370.1,341232.2,2026-04-27,187967638,418,KALASH STOCK MARKET PVT. LTD.,Brilliant Securities Pvt. Ltd.,2026-04-27 11:16:50.258292,Jyoti Bikas Bank Limited
