contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042701000004,KBL,7,58,10,232.0,2320.0,2026-04-27,187953264,142,J.F. Securites (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-27 10:46:00.049231,Kumari Bank Limited
2026042701000427,KBL,58,47,50,225.1,11255.0,2026-04-27,187954490,142,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,2026-04-27 11:01:31.428111,Kumari Bank Limited
2026042701000432,KBL,42,47,50,225.1,11255.0,2026-04-27,187954502,142,Sani Securities Company Ltd.,Neev Securities Pvt. Ltd.,2026-04-27 11:01:32.617270,Kumari Bank Limited
2026042701000497,KBL,58,47,20,225.1,4502.0,2026-04-27,187954670,142,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,2026-04-27 11:01:45.766334,Kumari Bank Limited
2026042701000762,KBL,1,41,500,219.0,109500.0,2026-04-27,187955361,142,Kumari Securities Private Limited,Linch Stock Market Ltd.,2026-04-27 11:02:47.146011,Kumari Bank Limited
2026042701001155,KBL,7,96,10,225.0,2250.0,2026-04-27,187956376,142,J.F. Securites (PVT) Ltd.,Himalayan Securities Limited,2026-04-27 11:04:11.830805,Kumari Bank Limited
2026042701001417,KBL,34,39,100,224.9,22490.0,2026-04-27,187957109,142,Vision Securities Pvt. Ltd,Sumeru Securities Pvt. Ltd.,2026-04-27 11:05:16.797507,Kumari Bank Limited
2026042701001418,KBL,34,96,1990,225.0,447750.0,2026-04-27,187957111,142,Vision Securities Pvt. Ltd,Himalayan Securities Limited,2026-04-27 11:05:16.797619,Kumari Bank Limited
2026042701001419,KBL,34,34,4000,225.0,900000.0,2026-04-27,187957113,142,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,2026-04-27 11:05:16.797712,Kumari Bank Limited
2026042701001420,KBL,34,21,910,225.0,204750.0,2026-04-27,187957116,142,Vision Securities Pvt. Ltd,Midas Stock Broking Company Private Limited,2026-04-27 11:05:16.797785,Kumari Bank Limited
2026042701001761,KBL,21,58,50,223.0,11150.0,2026-04-27,187958087,142,Midas Stock Broking Company Private Limited,Naasa Securities Co. Ltd.,2026-04-27 11:06:39.822875,Kumari Bank Limited
2026042701001946,KBL,1,21,17,225.0,3825.0,2026-04-27,187958560,142,Kumari Securities Private Limited,Midas Stock Broking Company Private Limited,2026-04-27 11:07:15.951585,Kumari Bank Limited
2026042701002343,KBL,39,44,100,223.9,22390.0,2026-04-27,187959517,142,Sumeru Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-27 11:08:13.172998,Kumari Bank Limited
2026042701002344,KBL,39,58,520,223.9,116428.0,2026-04-27,187959520,142,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-27 11:08:13.173220,Kumari Bank Limited
2026042701002489,KBL,34,58,480,223.9,107472.0,2026-04-27,187959883,142,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-27 11:08:30.819162,Kumari Bank Limited
2026042701002490,KBL,34,16,500,224.0,112000.0,2026-04-27,187959885,142,Vision Securities Pvt. Ltd,Primo Securities (PVT) Ltd.,2026-04-27 11:08:30.819205,Kumari Bank Limited
2026042701002491,KBL,34,80,50,224.5,11225.0,2026-04-27,187959887,142,Vision Securities Pvt. Ltd,Indira securities pvt. ltd,2026-04-27 11:08:30.819233,Kumari Bank Limited
2026042701002492,KBL,34,21,1073,225.0,241425.0,2026-04-27,187959889,142,Vision Securities Pvt. Ltd,Midas Stock Broking Company Private Limited,2026-04-27 11:08:30.819262,Kumari Bank Limited
2026042701002493,KBL,34,17,1000,225.0,225000.0,2026-04-27,187959891,142,Vision Securities Pvt. Ltd,ABC Securities Private Limited,2026-04-27 11:08:30.819287,Kumari Bank Limited
2026042701002494,KBL,34,58,30,225.0,6750.0,2026-04-27,187959893,142,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-27 11:08:30.819311,Kumari Bank Limited
2026042701002495,KBL,34,16,3000,225.0,675000.0,2026-04-27,187959895,142,Vision Securities Pvt. Ltd,Primo Securities (PVT) Ltd.,2026-04-27 11:08:30.819334,Kumari Bank Limited
2026042701002496,KBL,34,34,867,225.0,195075.0,2026-04-27,187959898,142,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,2026-04-27 11:08:30.819359,Kumari Bank Limited
2026042701002955,KBL,21,50,50,223.0,11150.0,2026-04-27,187961032,142,Midas Stock Broking Company Private Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-27 11:09:34.716530,Kumari Bank Limited
2026042701002956,KBL,74,50,50,223.0,11150.0,2026-04-27,187961033,142,KALASH STOCK MARKET PVT. LTD.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-27 11:09:34.716704,Kumari Bank Limited
2026042701003177,KBL,76,28,10,224.0,2240.0,2026-04-27,187961576,142,Machhapuchchhre Securities Limited,Shree Krishna Securities Ltd.,2026-04-27 11:10:04.292094,Kumari Bank Limited
2026042701003566,KBL,74,28,300,223.0,66900.0,2026-04-27,187962573,142,KALASH STOCK MARKET PVT. LTD.,Shree Krishna Securities Ltd.,2026-04-27 11:10:59.707134,Kumari Bank Limited
2026042701003733,KBL,74,14,650,223.0,144950.0,2026-04-27,187962990,142,KALASH STOCK MARKET PVT. LTD.,Nepal Stock House (PVT) Ltd.,2026-04-27 11:11:23.541618,Kumari Bank Limited
2026042701003804,KBL,3,14,51,223.0,11373.0,2026-04-27,187963188,142,Arun Securities (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-27 11:11:36.620338,Kumari Bank Limited
2026042701003810,KBL,29,14,299,223.0,66677.0,2026-04-27,187963201,142,Trisul Securities & Invt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-27 11:11:37.886714,Kumari Bank Limited
2026042701003941,KBL,76,68,10,224.0,2240.0,2026-04-27,187963552,142,Machhapuchchhre Securities Limited,Elite Stock House Limited,2026-04-27 11:12:02.266449,Kumari Bank Limited
2026042701003953,KBL,29,34,231,223.0,51513.0,2026-04-27,187963579,142,Trisul Securities & Invt. Ltd.,Vision Securities Pvt. Ltd,2026-04-27 11:12:04.415805,Kumari Bank Limited
2026042701004107,KBL,56,68,50,224.0,11200.0,2026-04-27,187964026,142,Sri Hari Securities Pvt. Ltd.,Elite Stock House Limited,2026-04-27 11:12:37.203484,Kumari Bank Limited
2026042701004484,KBL,29,42,470,223.0,104810.0,2026-04-27,187965102,142,Trisul Securities & Invt. Ltd.,Sani Securities Company Ltd.,2026-04-27 11:14:00.374737,Kumari Bank Limited
2026042701005184,KBL,58,42,50,223.0,11150.0,2026-04-27,187967166,142,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-27 11:16:19.538617,Kumari Bank Limited
2026042701005328,KBL,57,44,150,222.5,33375.0,2026-04-27,187967655,142,Aryatara Investment & Securities,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-27 11:16:51.154505,Kumari Bank Limited
2026042701005700,KBL,45,42,80,223.0,17840.0,2026-04-27,187968751,142,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-27 11:18:11.000355,Kumari Bank Limited
