contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042704000027,PPCL,38,38,10,383.0,3830.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-27 10:46:00.079611
2026042704000034,PPCL,38,1,30,393.4,11802.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kumari Securities Private Limited,2026-04-27 11:00:25.280239
2026042704000090,PPCL,38,46,15,394.4,5916.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kalika Securities Pvt. Ltd.,2026-04-27 11:01:52.067807
2026042704000104,PPCL,38,4,10,403.9,4039.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-27 11:02:27.987799
2026042704000223,PPCL,58,53,20,395.0,7900.0,Naasa Securities Co. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-27 11:05:47.201456
2026042704000332,PPCL,36,42,10,384.0,3840.0,Secured Securities Ltd.,Sani Securities Company Ltd.,2026-04-27 11:09:15.760107
2026042704000399,PPCL,38,42,20,384.0,7680.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sani Securities Company Ltd.,2026-04-27 11:10:49.825008
2026042704000400,PPCL,38,26,10,394.8,3948.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Asian Securities Private Ltd.,2026-04-27 11:10:49.825104
2026042704000522,PPCL,49,25,20,394.0,7880.0,Online Securities Pvt. Ltd.,Sweta Securities Private Limited,2026-04-27 11:14:42.117936
2026042704001367,PPCL,28,26,10,392.0,3920.0,Shree Krishna Securities Ltd.,Asian Securities Private Ltd.,2026-04-27 11:30:39.097290
2026042704001406,PPCL,17,53,288,390.0,112320.0,ABC Securities Private Limited,Investment Management Nepal Pvt. Ltd.,2026-04-27 11:31:06.243995
2026042704001420,PPCL,17,26,712,390.0,277680.0,ABC Securities Private Limited,Asian Securities Private Ltd.,2026-04-27 11:31:19.968258
2026042704001923,PPCL,49,58,18,389.0,7002.0,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-27 11:41:48.531042
2026042704002044,PPCL,49,14,20,390.0,7800.0,Online Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-27 11:44:10.769657
2026042704002045,PPCL,49,35,62,390.0,24180.0,Online Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-27 11:44:10.769778
2026042704002234,PPCL,4,52,251,389.9,97864.9,Opal Securities Investment (PVT) Ltd.,Sundhara Securities Limited,2026-04-27 11:48:28.492838
2026042704002256,PPCL,4,52,374,389.9,145822.6,Opal Securities Investment (PVT) Ltd.,Sundhara Securities Limited,2026-04-27 11:49:08.898147
2026042704002459,PPCL,58,26,30,389.9,11697.0,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,2026-04-27 11:54:12.974953
2026042704002966,PPCL,1,51,10,388.0,3880.0,Kumari Securities Private Limited,Oxford Securities Pvt. Ltd.,2026-04-27 12:08:18.900605
2026042704003394,PPCL,1,58,40,388.0,15520.0,Kumari Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-27 12:20:19.440680
2026042704003727,PPCL,60,58,20,386.1,7722.0,Nagarik Stock Dealer ,Naasa Securities Co. Ltd.,2026-04-27 12:30:35.064081
2026042704003728,PPCL,8,58,40,386.0,15440.0,Brilliant Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-27 12:30:35.064182
2026042704003778,PPCL,8,44,30,386.0,11580.0,Brilliant Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-27 12:32:14.576110
2026042704004901,PPCL,38,44,10,389.0,3890.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-27 13:01:50.265331
2026042704005705,PPCL,44,44,400,388.9,155560.0,Dynamic Money Managers Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-27 13:20:53.642505
2026042704005706,PPCL,44,44,10,389.0,3890.0,Dynamic Money Managers Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-27 13:20:53.642652
2026042704005707,PPCL,44,4,90,389.0,35010.0,Dynamic Money Managers Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-27 13:20:53.642702
2026042704006247,PPCL,38,4,42,389.0,16338.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-27 13:32:23.466414
2026042704006248,PPCL,38,16,30,389.0,11670.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Primo Securities (PVT) Ltd.,2026-04-27 13:32:23.466594
2026042704006249,PPCL,38,34,228,389.0,88692.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Vision Securities Pvt. Ltd,2026-04-27 13:32:23.466701
2026042704006577,PPCL,42,34,18,389.0,7002.0,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,2026-04-27 13:40:42.491578
2026042704007099,PPCL,49,79,10,388.0,3880.0,Online Securities Pvt. Ltd.,pahiinvestment,2026-04-27 13:50:43.281300
2026042704007822,PPCL,60,20,4,380.0,1520.0,Nagarik Stock Dealer ,Sipla Securities Private Limited,2026-04-27 14:09:06.516811
2026042704008449,PPCL,25,19,50,387.1,19355.0,Sweta Securities Private Limited,Nepal Investment And Securities Trading Private Limited,2026-04-27 14:19:24.934923
2026042704008576,PPCL,45,44,50,387.0,19350.0,Imperial Securities Company Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-27 14:21:45.288725
2026042704008577,PPCL,57,44,10,387.0,3870.0,Aryatara Investment & Securities,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-27 14:21:45.288940
2026042704008578,PPCL,51,44,25,386.5,9662.5,Oxford Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-27 14:21:45.289079
