contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042703000034,SAPDBL,62,6,10,795.0,7950.0,2026-04-27,187953786,2860,Capital Max Securities Ltd,Agrawal Securities (PVT) Ltd.,2026-04-27 11:00:32.502626,Saptakoshi Development Bank Ltd
2026042703000035,SAPDBL,58,6,190,795.0,151050.0,2026-04-27,187953787,2860,Naasa Securities Co. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-27 11:00:32.502711,Saptakoshi Development Bank Ltd
2026042703000049,SAPDBL,14,50,42,810.0,34020.0,2026-04-27,187954564,2860,Nepal Stock House (PVT) Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-27 11:01:38.037205,Saptakoshi Development Bank Ltd
2026042703000060,SAPDBL,17,50,40,810.0,32400.0,2026-04-27,187954968,2860,ABC Securities Private Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-27 11:02:10.229158,Saptakoshi Development Bank Ltd
2026042703000063,SAPDBL,28,87,10,800.0,8000.0,2026-04-27,187955005,2860,Shree Krishna Securities Ltd.,S.P.S.A. Securities Limited,2026-04-27 11:02:14.581836,Saptakoshi Development Bank Ltd
2026042703000075,SAPDBL,28,58,20,800.0,16000.0,2026-04-27,187955564,2860,Shree Krishna Securities Ltd.,Naasa Securities Co. Ltd.,2026-04-27 11:03:08.066386,Saptakoshi Development Bank Ltd
2026042703000076,SAPDBL,34,58,10,800.0,8000.0,2026-04-27,187955566,2860,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-27 11:03:08.066530,Saptakoshi Development Bank Ltd
2026042703000077,SAPDBL,34,58,50,800.0,40000.0,2026-04-27,187955568,2860,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-27 11:03:08.066626,Saptakoshi Development Bank Ltd
2026042703000079,SAPDBL,58,58,20,800.0,16000.0,2026-04-27,187955583,2860,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-27 11:03:08.870187,Saptakoshi Development Bank Ltd
2026042703000089,SAPDBL,57,34,300,800.0,240000.0,2026-04-27,187956394,2860,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,2026-04-27 11:04:14.203302,Saptakoshi Development Bank Ltd
