contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042701003014,SBL,35,14,20,392.9,7858.0,2026-04-27,187961166,145,Kohinoor Investment & Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-27 11:09:40.774389,Siddhartha Bank Limited
2026042701006205,SBL,14,45,10,390.0,3900.0,2026-04-27,187970413,145,Nepal Stock House (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-27 11:19:56.107293,Siddhartha Bank Limited
2026042701006517,SBL,14,39,500,390.0,195000.0,2026-04-27,187971389,145,Nepal Stock House (PVT) Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-27 11:21:14.244974,Siddhartha Bank Limited
2026042701006758,SBL,14,14,1990,390.0,776100.0,2026-04-27,187972228,145,Nepal Stock House (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-27 11:22:21.647047,Siddhartha Bank Limited
2026042701006759,SBL,49,14,990,390.0,386100.0,2026-04-27,187972229,145,Online Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-27 11:22:21.647216,Siddhartha Bank Limited
2026042701006805,SBL,58,22,10,390.5,3905.0,2026-04-27,187972423,145,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-27 11:22:34.427954,Siddhartha Bank Limited
2026042701006806,SBL,58,5,10,392.0,3920.0,2026-04-27,187972426,145,Naasa Securities Co. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-27 11:22:34.428084,Siddhartha Bank Limited
2026042701007147,SBL,44,47,10,390.5,3905.0,2026-04-27,187973426,145,Dynamic Money Managers Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-27 11:23:47.199102,Siddhartha Bank Limited
2026042701007148,SBL,49,47,567,390.0,221130.0,2026-04-27,187973427,145,Online Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-27 11:23:47.199272,Siddhartha Bank Limited
2026042701007295,SBL,49,41,50,390.0,19500.0,2026-04-27,187973899,145,Online Securities Pvt. Ltd.,Linch Stock Market Ltd.,2026-04-27 11:24:24.179473,Siddhartha Bank Limited
2026042701007326,SBL,37,5,20,392.0,7840.0,2026-04-27,187973996,145,Swarna Laxmi Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-27 11:24:32.075007,Siddhartha Bank Limited
2026042701007502,SBL,61,5,10,392.0,3920.0,2026-04-27,187974544,145,BHOLE GANESH SECURITIES LTD,Market Securities & Exchange (PVT) Ltd.,2026-04-27 11:25:17.962243,Siddhartha Bank Limited
2026042701008325,SBL,49,37,390,390.0,152100.0,2026-04-27,187977443,145,Online Securities Pvt. Ltd.,Swarna Laxmi Securities Pvt. Ltd.,2026-04-27 11:29:02.581656,Siddhartha Bank Limited
