contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042704000026,UPPER,40,62,10,217.8,2178.0,Creative Securities Pvt Ltd,Capital Max Securities Ltd,2026-04-27 10:46:00.073794
2026042704000044,UPPER,58,56,10,212.0,2120.0,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-27 11:00:42.763860
2026042704000058,UPPER,58,57,50,211.5,10575.0,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-27 11:01:04.593647
2026042704000132,UPPER,58,57,10,210.0,2100.0,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-27 11:03:43.706867
2026042704000139,UPPER,28,57,300,210.0,63000.0,Shree Krishna Securities Ltd.,Aryatara Investment & Securities,2026-04-27 11:03:52.462193
2026042704000209,UPPER,42,58,400,209.9,83960.0,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-27 11:05:33.234274
2026042704000224,UPPER,49,57,190,210.0,39900.0,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-27 11:05:49.418663
2026042704000225,UPPER,49,57,10,210.0,2100.0,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-27 11:05:49.418849
2026042704000233,UPPER,7,95,15,209.0,3135.0,J.F. Securites (PVT) Ltd.,Magnet Securities and Investment Company Private Limited,2026-04-27 11:06:12.169670
2026042704000240,UPPER,7,56,46,208.1,9572.6,J.F. Securites (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-27 11:06:17.530377
2026042704000249,UPPER,7,58,24,208.1,4994.4,J.F. Securites (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-27 11:06:43.183994
2026042704000251,UPPER,58,58,20,208.1,4162.0,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-27 11:06:45.539100
2026042704000264,UPPER,49,95,15,209.0,3135.0,Online Securities Pvt. Ltd.,Magnet Securities and Investment Company Private Limited,2026-04-27 11:07:10.169820
2026042704000287,UPPER,25,95,270,209.0,56430.0,Sweta Securities Private Limited,Magnet Securities and Investment Company Private Limited,2026-04-27 11:08:00.234056
2026042704000288,UPPER,25,57,90,210.0,18900.0,Sweta Securities Private Limited,Aryatara Investment & Securities,2026-04-27 11:08:00.234239
2026042704000289,UPPER,25,51,100,210.0,21000.0,Sweta Securities Private Limited,Oxford Securities Pvt. Ltd.,2026-04-27 11:08:00.234361
2026042704000290,UPPER,25,21,40,210.0,8400.0,Sweta Securities Private Limited,Midas Stock Broking Company Private Limited,2026-04-27 11:08:00.234441
2026042704000301,UPPER,58,21,20,210.0,4200.0,Naasa Securities Co. Ltd.,Midas Stock Broking Company Private Limited,2026-04-27 11:08:27.466502
2026042704000310,UPPER,58,21,19,210.0,3990.0,Naasa Securities Co. Ltd.,Midas Stock Broking Company Private Limited,2026-04-27 11:08:36.931066
2026042704000328,UPPER,4,21,18,210.0,3780.0,Opal Securities Investment (PVT) Ltd.,Midas Stock Broking Company Private Limited,2026-04-27 11:09:06.135192
2026042704000355,UPPER,22,21,17,210.0,3570.0,Siprabi Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,2026-04-27 11:09:52.476558
2026042704000389,UPPER,4,41,10,209.0,2090.0,Opal Securities Investment (PVT) Ltd.,Linch Stock Market Ltd.,2026-04-27 11:10:35.194134
2026042704000397,UPPER,66,41,40,209.0,8360.0,Miyo Securities Pvt Ltd,Linch Stock Market Ltd.,2026-04-27 11:10:47.090420
2026042704000409,UPPER,4,42,54,209.9,11334.6,Opal Securities Investment (PVT) Ltd.,Sani Securities Company Ltd.,2026-04-27 11:11:06.870219
2026042704000417,UPPER,66,42,10,209.9,2099.0,Miyo Securities Pvt Ltd,Sani Securities Company Ltd.,2026-04-27 11:11:16.441847
2026042704000446,UPPER,11,42,20,209.9,4198.0,Malla & Malla Stock Broking Company Pvt. Limited,Sani Securities Company Ltd.,2026-04-27 11:11:50.998524
2026042704000460,UPPER,11,42,20,209.0,4180.0,Malla & Malla Stock Broking Company Pvt. Limited,Sani Securities Company Ltd.,2026-04-27 11:12:24.071475
2026042704000468,UPPER,48,42,400,209.9,83960.0,Trishakti Securities Public Limited,Sani Securities Company Ltd.,2026-04-27 11:12:41.110098
2026042704000492,UPPER,14,42,150,209.9,31485.0,Nepal Stock House (PVT) Ltd.,Sani Securities Company Ltd.,2026-04-27 11:13:35.476636
2026042704000508,UPPER,50,25,293,208.3,61031.9,Cristal Kanchanjanga Securites Pvt. Ltd.,Sweta Securities Private Limited,2026-04-27 11:14:11.317164
2026042704000515,UPPER,50,63,207,208.3,43118.1,Cristal Kanchanjanga Securites Pvt. Ltd.,Himalayan Brokerage Company Limited,2026-04-27 11:14:33.083347
2026042704000516,UPPER,44,63,23,208.3,4790.9,Dynamic Money Managers Securities Pvt. Ltd.,Himalayan Brokerage Company Limited,2026-04-27 11:14:33.083401
2026042704000517,UPPER,42,63,50,208.1,10405.0,Sani Securities Company Ltd.,Himalayan Brokerage Company Limited,2026-04-27 11:14:33.083431
2026042704000518,UPPER,42,63,50,208.1,10405.0,Sani Securities Company Ltd.,Himalayan Brokerage Company Limited,2026-04-27 11:14:33.083457
2026042704000519,UPPER,58,63,50,208.0,10400.0,Naasa Securities Co. Ltd.,Himalayan Brokerage Company Limited,2026-04-27 11:14:33.083482
2026042704000520,UPPER,6,63,470,208.0,97760.0,Agrawal Securities (PVT) Ltd.,Himalayan Brokerage Company Limited,2026-04-27 11:14:33.083511
2026042704000643,UPPER,4,34,100,209.0,20900.0,Opal Securities Investment (PVT) Ltd.,Vision Securities Pvt. Ltd,2026-04-27 11:17:21.196042
2026042704000646,UPPER,58,42,10,209.9,2099.0,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-27 11:17:25.228606
2026042704000726,UPPER,45,42,56,209.9,11754.4,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-27 11:18:44.277032
2026042704000727,UPPER,45,21,386,210.0,81060.0,Imperial Securities Company Pvt. Ltd.,Midas Stock Broking Company Private Limited,2026-04-27 11:18:44.277580
2026042704000728,UPPER,45,25,250,210.0,52500.0,Imperial Securities Company Pvt. Ltd.,Sweta Securities Private Limited,2026-04-27 11:18:44.277926
2026042704000729,UPPER,45,96,308,210.0,64680.0,Imperial Securities Company Pvt. Ltd.,Himalayan Securities Limited,2026-04-27 11:18:44.278259
2026042704000744,UPPER,6,96,24,210.0,5040.0,Agrawal Securities (PVT) Ltd.,Himalayan Securities Limited,2026-04-27 11:19:12.698504
2026042704000745,UPPER,6,4,500,210.0,105000.0,Agrawal Securities (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-27 11:19:12.698788
2026042704000746,UPPER,6,58,10,210.0,2100.0,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-27 11:19:12.698915
2026042704000747,UPPER,6,45,700,210.0,147000.0,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-27 11:19:12.699033
2026042704000748,UPPER,6,57,200,210.0,42000.0,Agrawal Securities (PVT) Ltd.,Aryatara Investment & Securities,2026-04-27 11:19:12.699162
2026042704000772,UPPER,49,32,70,210.9,14763.0,Online Securities Pvt. Ltd.,Premier Securities Company Ltd.,2026-04-27 11:19:31.834047
2026042704000773,UPPER,6,58,125,210.0,26250.0,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-27 11:19:31.986464
2026042704000825,UPPER,6,81,425,210.0,89250.0,Agrawal Securities (PVT) Ltd.,Aakashbhairab Securities Ltd.,2026-04-27 11:20:22.200526
2026042704000855,UPPER,6,32,16,210.0,3360.0,Agrawal Securities (PVT) Ltd.,Premier Securities Company Ltd.,2026-04-27 11:20:53.219585
2026042704000856,UPPER,45,32,84,210.0,17640.0,Imperial Securities Company Pvt. Ltd.,Premier Securities Company Ltd.,2026-04-27 11:20:53.219843
2026042704000859,UPPER,45,90,16,210.0,3360.0,Imperial Securities Company Pvt. Ltd.,Sajilo Broker Limited,2026-04-27 11:21:04.623209
2026042704000860,UPPER,21,90,48,210.0,10080.0,Midas Stock Broking Company Private Limited,Sajilo Broker Limited,2026-04-27 11:21:04.623265
2026042704000861,UPPER,42,90,10,210.0,2100.0,Sani Securities Company Ltd.,Sajilo Broker Limited,2026-04-27 11:21:04.623292
2026042704000862,UPPER,58,90,10,210.0,2100.0,Naasa Securities Co. Ltd.,Sajilo Broker Limited,2026-04-27 11:21:04.623322
2026042704000863,UPPER,38,90,50,209.5,10475.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sajilo Broker Limited,2026-04-27 11:21:04.623344
2026042704000864,UPPER,4,90,366,209.0,76494.0,Opal Securities Investment (PVT) Ltd.,Sajilo Broker Limited,2026-04-27 11:21:04.623375
2026042704000866,UPPER,1,7,30,210.5,6315.0,Kumari Securities Private Limited,J.F. Securites (PVT) Ltd.,2026-04-27 11:21:08.119108
2026042704000867,UPPER,1,32,240,210.9,50616.0,Kumari Securities Private Limited,Premier Securities Company Ltd.,2026-04-27 11:21:08.119371
2026042704000868,UPPER,1,4,37,210.9,7803.3,Kumari Securities Private Limited,Opal Securities Investment (PVT) Ltd.,2026-04-27 11:21:08.119490
2026042704000893,UPPER,25,25,500,211.0,105500.0,Sweta Securities Private Limited,Sweta Securities Private Limited,2026-04-27 11:21:34.094024
2026042704000894,UPPER,25,34,30,211.0,6330.0,Sweta Securities Private Limited,Vision Securities Pvt. Ltd,2026-04-27 11:21:34.094277
2026042704000895,UPPER,25,57,100,211.0,21100.0,Sweta Securities Private Limited,Aryatara Investment & Securities,2026-04-27 11:21:34.094414
2026042704000896,UPPER,25,58,80,211.0,16880.0,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-27 11:21:34.094534
2026042704000897,UPPER,25,77,72,211.0,15192.0,Sweta Securities Private Limited,Nabil Stock Dealer Ltd.,2026-04-27 11:21:34.094648
2026042704000898,UPPER,25,58,218,211.0,45998.0,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-27 11:21:34.094760
2026042704000901,UPPER,1,34,50,210.9,10545.0,Kumari Securities Private Limited,Vision Securities Pvt. Ltd,2026-04-27 11:21:36.495726
2026042704000924,UPPER,58,58,13,211.0,2743.0,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-27 11:22:22.641401
2026042704000944,UPPER,1,41,50,210.9,10545.0,Kumari Securities Private Limited,Linch Stock Market Ltd.,2026-04-27 11:22:32.185596
2026042704001089,UPPER,45,36,10,211.0,2110.0,Imperial Securities Company Pvt. Ltd.,Secured Securities Ltd.,2026-04-27 11:25:44.512193
2026042704001090,UPPER,45,58,90,211.0,18990.0,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-27 11:25:44.512479
2026042704001113,UPPER,1,54,80,210.9,16872.0,Kumari Securities Private Limited,Sewa Securities Pvt. Ltd.,2026-04-27 11:26:10.320750
2026042704001132,UPPER,22,74,27,211.0,5697.0,Siprabi Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-27 11:26:38.554756
2026042704001133,UPPER,22,53,100,211.0,21100.0,Siprabi Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-27 11:26:38.555047
2026042704001153,UPPER,22,49,173,211.0,36503.0,Siprabi Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-27 11:27:05.894282
2026042704001155,UPPER,74,49,100,211.0,21100.0,KALASH STOCK MARKET PVT. LTD.,Online Securities Pvt. Ltd.,2026-04-27 11:27:10.458578
2026042704001174,UPPER,1,57,13,210.9,2741.7,Kumari Securities Private Limited,Aryatara Investment & Securities,2026-04-27 11:27:26.538221
2026042704001175,UPPER,58,57,10,210.9,2109.0,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-27 11:27:26.538550
2026042704001179,UPPER,58,32,40,210.9,8436.0,Naasa Securities Co. Ltd.,Premier Securities Company Ltd.,2026-04-27 11:27:34.007083
2026042704001192,UPPER,42,49,15,211.0,3165.0,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,2026-04-27 11:27:44.008648
2026042704001222,UPPER,58,49,50,210.9,10545.0,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,2026-04-27 11:28:07.955442
2026042704001234,UPPER,58,62,50,210.9,10545.0,Naasa Securities Co. Ltd.,Capital Max Securities Ltd,2026-04-27 11:28:16.349929
2026042704001250,UPPER,58,49,10,210.9,2109.0,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,2026-04-27 11:28:32.129429
2026042704001251,UPPER,42,49,70,210.9,14763.0,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,2026-04-27 11:28:32.129705
2026042704001252,UPPER,49,49,48,210.0,10080.0,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-27 11:28:32.129842
2026042704001253,UPPER,58,49,237,210.0,49770.0,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,2026-04-27 11:28:32.129972
2026042704001260,UPPER,49,57,30,211.0,6330.0,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-27 11:28:34.281371
2026042704001339,UPPER,58,38,763,210.0,160230.0,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-27 11:30:06.020461
2026042704001340,UPPER,42,38,50,210.0,10500.0,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-27 11:30:06.020775
2026042704001341,UPPER,58,38,47,210.0,9870.0,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-27 11:30:06.020919
2026042704001386,UPPER,4,35,59,209.0,12331.0,Opal Securities Investment (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-27 11:30:46.557109
2026042704001387,UPPER,46,35,50,209.0,10450.0,Kalika Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-27 11:30:46.557723
2026042704001388,UPPER,38,25,38,209.0,7942.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sweta Securities Private Limited,2026-04-27 11:30:47.193837
2026042704001430,UPPER,58,42,10,209.0,2090.0,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-27 11:31:24.555998
2026042704001431,UPPER,4,42,50,209.0,10450.0,Opal Securities Investment (PVT) Ltd.,Sani Securities Company Ltd.,2026-04-27 11:31:24.556354
2026042704001432,UPPER,4,42,10,209.0,2090.0,Opal Securities Investment (PVT) Ltd.,Sani Securities Company Ltd.,2026-04-27 11:31:24.556493
2026042704001433,UPPER,42,42,30,209.0,6270.0,Sani Securities Company Ltd.,Sani Securities Company Ltd.,2026-04-27 11:31:24.556631
