stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,transaction_time,contractId
ACLBSL,58,36,50,960.1,48005.0,2026-04-28 14:59:49.693,2026042803008439
ACLBSL,58,45,10,960.0,9600.0,2026-04-28 14:52:42.869,2026042803007579
ACLBSL,42,45,40,960.0,38400.0,2026-04-28 14:52:38.985,2026042803007553
ACLBSL,47,11,5,929.0,4645.0,2026-04-28 14:52:13.694,2026042803007517
ACLBSL,49,38,13,956.0,12428.0,2026-04-28 14:40:34.000,2026042803006915
ACLBSL,49,11,21,956.0,20076.0,2026-04-28 14:39:24.826,2026042803006861
ACLBSL,25,48,170,955.0,162350.0,2026-04-28 14:26:12.409,2026042803006307
ACLBSL,39,48,10,960.0,9600.0,2026-04-28 14:26:12.409,2026042803006306
ACLBSL,38,48,20,960.0,19200.0,2026-04-28 14:26:12.409,2026042803006305
ACLBSL,35,36,10,965.5,9655.0,2026-04-28 14:13:35.484,2026042803005755
ACLBSL,51,36,20,965.2,19304.0,2026-04-28 14:13:12.213,2026042803005741
ACLBSL,25,36,20,965.2,19304.0,2026-04-28 14:13:12.213,2026042803005740
ACLBSL,16,49,12,965.5,11586.0,2026-04-28 14:07:36.194,2026042803005431
ACLBSL,16,56,13,965.5,12551.5,2026-04-28 13:52:57.835,2026042803004879
ACLBSL,16,58,65,965.5,62757.5,2026-04-28 13:25:35.543,2026042803004203
ACLBSL,17,58,100,966.0,96600.0,2026-04-28 13:25:35.543,2026042803004202
ACLBSL,45,40,80,967.0,77360.0,2026-04-28 12:57:53.458,2026042803003394
ACLBSL,45,58,10,966.0,9660.0,2026-04-28 12:49:23.092,2026042803003145
ACLBSL,57,52,3,952.0,2856.0,2026-04-28 12:04:47.742,2026042803001978
ACLBSL,14,7,10,975.0,9750.0,2026-04-28 12:00:01.842,2026042803001757
ACLBSL,16,54,10,965.4,9654.0,2026-04-28 11:57:51.525,2026042803001690
ACLBSL,88,43,3,950.0,2850.0,2026-04-28 11:42:11.128,2026042803001183
ACLBSL,54,34,10,966.0,9660.0,2026-04-28 11:38:58.249,2026042803001084
ACLBSL,88,41,4,994.0,3976.0,2026-04-28 11:29:54.124,2026042803000792
ACLBSL,88,52,1,965.0,965.0,2026-04-28 11:23:08.926,2026042803000459
ACLBSL,88,49,27,965.2,26060.4,2026-04-28 11:15:13.062,2026042803000283
ACLBSL,29,29,10,995.0,9950.0,2026-04-28 11:04:19.008,2026042803000090
