stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,transaction_time,contractId
AKJCL,34,14,10,384.9,3849.0,2026-04-28 14:59:59.738,2026042804015073
AKJCL,62,14,566,384.9,217853.4,2026-04-28 14:59:57.625,2026042804015026
AKJCL,62,42,100,384.9,38490.0,2026-04-28 14:59:57.625,2026042804015025
AKJCL,62,65,40,384.5,15380.0,2026-04-28 14:59:57.625,2026042804015024
AKJCL,62,42,50,384.3,19215.0,2026-04-28 14:59:57.625,2026042804015023
AKJCL,62,88,3244,384.0,1245696.0,2026-04-28 14:59:57.625,2026042804015022
AKJCL,60,88,1756,384.0,674304.0,2026-04-28 14:59:51.322,2026042804014955
AKJCL,60,16,50,384.0,19200.0,2026-04-28 14:59:51.322,2026042804014954
AKJCL,60,63,50,384.0,19200.0,2026-04-28 14:59:51.322,2026042804014953
AKJCL,60,14,200,383.9,76780.0,2026-04-28 14:59:51.322,2026042804014952
AKJCL,60,56,200,383.0,76600.0,2026-04-28 14:59:51.322,2026042804014951
AKJCL,60,19,1244,382.9,476327.6,2026-04-28 14:59:51.322,2026042804014950
AKJCL,91,43,142,382.1,54258.2,2026-04-28 14:59:49.590,2026042804014940
AKJCL,58,19,26,382.9,9955.4,2026-04-28 14:59:33.144,2026042804014781
AKJCL,14,19,50,382.9,19145.0,2026-04-28 14:59:32.896,2026042804014773
AKJCL,91,43,10,382.1,3821.0,2026-04-28 14:59:30.178,2026042804014718
AKJCL,49,19,20,382.9,7658.0,2026-04-28 14:59:24.560,2026042804014684
AKJCL,38,66,1000,382.8,382800.0,2026-04-28 14:59:20.127,2026042804014637
AKJCL,41,43,629,382.0,240278.0,2026-04-28 14:59:10.239,2026042804014587
AKJCL,41,43,361,382.0,137902.0,2026-04-28 14:59:10.238,2026042804014586
AKJCL,41,64,839,382.0,320498.0,2026-04-28 14:59:02.069,2026042804014515
AKJCL,37,64,25,382.0,9550.0,2026-04-28 14:59:02.069,2026042804014514
AKJCL,69,64,10,382.0,3820.0,2026-04-28 14:59:02.069,2026042804014513
AKJCL,92,64,500,382.0,191000.0,2026-04-28 14:59:02.069,2026042804014512
AKJCL,34,64,50,382.0,19100.0,2026-04-28 14:59:02.069,2026042804014511
AKJCL,65,64,200,382.0,76400.0,2026-04-28 14:59:02.068,2026042804014510
AKJCL,60,64,50,382.0,19100.0,2026-04-28 14:59:02.068,2026042804014509
AKJCL,97,64,150,382.0,57300.0,2026-04-28 14:59:02.068,2026042804014508
AKJCL,80,64,200,382.0,76400.0,2026-04-28 14:59:02.068,2026042804014507
AKJCL,43,64,70,382.0,26740.0,2026-04-28 14:59:02.068,2026042804014506
AKJCL,98,64,300,382.0,114600.0,2026-04-28 14:59:02.067,2026042804014505
AKJCL,33,64,606,382.0,231492.0,2026-04-28 14:59:02.067,2026042804014504
AKJCL,33,89,394,382.0,150508.0,2026-04-28 14:59:01.985,2026042804014502
AKJCL,29,89,1963,382.1,750062.3,2026-04-28 14:59:01.985,2026042804014501
AKJCL,92,89,500,382.1,191050.0,2026-04-28 14:59:01.985,2026042804014500
AKJCL,81,89,1000,382.2,382200.0,2026-04-28 14:59:01.985,2026042804014499
AKJCL,38,89,30,382.2,11466.0,2026-04-28 14:59:01.985,2026042804014498
AKJCL,47,89,200,382.2,76440.0,2026-04-28 14:59:01.984,2026042804014497
AKJCL,29,89,500,382.4,191200.0,2026-04-28 14:59:01.984,2026042804014496
AKJCL,97,89,4893,382.5,1871572.5,2026-04-28 14:59:01.984,2026042804014495
AKJCL,32,89,20,382.6,7652.0,2026-04-28 14:59:01.984,2026042804014494
AKJCL,29,89,500,382.6,191300.0,2026-04-28 14:59:01.983,2026042804014493
AKJCL,54,58,1000,383.0,383000.0,2026-04-28 14:58:42.636,2026042804014408
AKJCL,44,19,100,383.5,38350.0,2026-04-28 14:58:32.776,2026042804014356
AKJCL,97,68,107,382.5,40927.5,2026-04-28 14:58:31.148,2026042804014351
AKJCL,19,68,500,382.5,191250.0,2026-04-28 14:58:31.147,2026042804014350
AKJCL,63,68,500,382.5,191250.0,2026-04-28 14:58:31.146,2026042804014349
AKJCL,58,68,500,382.6,191300.0,2026-04-28 14:58:31.146,2026042804014348
AKJCL,95,68,1000,382.6,382600.0,2026-04-28 14:58:31.145,2026042804014347
AKJCL,28,68,500,382.7,191350.0,2026-04-28 14:58:31.145,2026042804014346
AKJCL,57,68,100,383.0,38300.0,2026-04-28 14:58:31.144,2026042804014345
AKJCL,45,68,50,383.0,19150.0,2026-04-28 14:58:31.144,2026042804014344
AKJCL,63,68,500,383.0,191500.0,2026-04-28 14:58:31.143,2026042804014343
AKJCL,58,68,20,383.0,7660.0,2026-04-28 14:58:31.142,2026042804014342
AKJCL,57,68,500,383.0,191500.0,2026-04-28 14:58:31.142,2026042804014341
AKJCL,38,68,723,383.0,276909.0,2026-04-28 14:58:31.141,2026042804014340
AKJCL,44,19,60,383.5,23010.0,2026-04-28 14:58:29.178,2026042804014330
AKJCL,38,64,4277,383.0,1638091.0,2026-04-28 14:57:35.590,2026042804014092
AKJCL,42,64,368,383.0,140944.0,2026-04-28 14:57:35.590,2026042804014091
AKJCL,51,64,355,383.1,136000.5,2026-04-28 14:57:35.590,2026042804014090
AKJCL,14,48,500,383.5,191750.0,2026-04-28 14:57:25.676,2026042804014055
AKJCL,51,51,145,383.1,55549.5,2026-04-28 14:57:23.919,2026042804014047
AKJCL,19,51,100,383.1,38310.0,2026-04-28 14:57:23.918,2026042804014046
AKJCL,57,51,200,383.1,76620.0,2026-04-28 14:57:23.918,2026042804014045
AKJCL,63,51,500,383.1,191550.0,2026-04-28 14:57:23.917,2026042804014044
AKJCL,63,66,500,383.1,191550.0,2026-04-28 14:57:06.153,2026042804013994
AKJCL,58,48,500,383.5,191750.0,2026-04-28 14:57:00.834,2026042804013987
AKJCL,63,63,1000,383.1,383100.0,2026-04-28 14:56:51.144,2026042804013963
AKJCL,42,88,491,383.5,188298.5,2026-04-28 14:55:37.228,2026042804013745
AKJCL,42,65,132,383.0,50556.0,2026-04-28 14:55:22.412,2026042804013679
AKJCL,57,65,100,383.0,38300.0,2026-04-28 14:55:22.412,2026042804013678
AKJCL,25,65,200,383.0,76600.0,2026-04-28 14:55:22.412,2026042804013677
AKJCL,45,65,568,383.0,217544.0,2026-04-28 14:55:22.411,2026042804013676
AKJCL,45,36,32,383.0,12256.0,2026-04-28 14:55:21.208,2026042804013667
AKJCL,6,36,18,383.0,6894.0,2026-04-28 14:55:21.208,2026042804013666
AKJCL,47,36,50,383.1,19155.0,2026-04-28 14:55:21.208,2026042804013665
AKJCL,6,56,32,383.0,12256.0,2026-04-28 14:54:56.862,2026042804013580
AKJCL,58,56,100,383.0,38300.0,2026-04-28 14:54:56.862,2026042804013579
AKJCL,14,56,868,383.0,332444.0,2026-04-28 14:54:56.862,2026042804013578
