Symbol,buyerMemberId,sellerMemberId,volume,rate,amount,transaction_time,Contract ID
CITY,32,34,20,474.8,9496.0,"2026-04-28, 2:59:26:680 PM",2026042801110035
CITY,16,58,200,475.0,95000.0,"2026-04-28, 2:58:59:735 PM",2026042801109341
CITY,35,58,500,475.0,237500.0,"2026-04-28, 2:58:56:337 PM",2026042801109264
CITY,32,7,10,474.5,4745.0,"2026-04-28, 2:58:48:418 PM",2026042801109151
CITY,42,58,100,475.0,47500.0,"2026-04-28, 2:58:28:598 PM",2026042801108903
CITY,17,58,10,475.0,4750.0,"2026-04-28, 2:58:28:598 PM",2026042801108902
CITY,89,58,10,475.0,4750.0,"2026-04-28, 2:58:28:597 PM",2026042801108901
CITY,32,58,500,475.0,237500.0,"2026-04-28, 2:58:28:597 PM",2026042801108900
CITY,58,58,52,475.0,24700.0,"2026-04-28, 2:58:28:596 PM",2026042801108899
CITY,36,58,100,475.0,47500.0,"2026-04-28, 2:58:28:596 PM",2026042801108898
CITY,57,58,50,475.0,23750.0,"2026-04-28, 2:58:28:595 PM",2026042801108897
CITY,7,58,100,475.1,47510.0,"2026-04-28, 2:58:28:595 PM",2026042801108896
CITY,41,58,10,475.2,4752.0,"2026-04-28, 2:58:28:594 PM",2026042801108895
CITY,48,58,10,475.2,4752.0,"2026-04-28, 2:58:28:594 PM",2026042801108894
CITY,51,58,52,475.5,24726.0,"2026-04-28, 2:58:28:593 PM",2026042801108893
CITY,58,58,20,475.5,9510.0,"2026-04-28, 2:58:28:593 PM",2026042801108892
CITY,36,58,15,476.0,7140.0,"2026-04-28, 2:58:28:592 PM",2026042801108891
CITY,45,58,30,476.0,14280.0,"2026-04-28, 2:58:28:592 PM",2026042801108890
CITY,52,58,10,476.5,4765.0,"2026-04-28, 2:58:28:591 PM",2026042801108889
CITY,45,58,300,477.0,143100.0,"2026-04-28, 2:58:28:591 PM",2026042801108888
CITY,58,58,35,477.0,16695.0,"2026-04-28, 2:58:28:590 PM",2026042801108887
CITY,52,58,55,477.1,26240.5,"2026-04-28, 2:58:28:590 PM",2026042801108886
CITY,58,49,10,477.0,4770.0,"2026-04-28, 2:56:53:431 PM",2026042801107554
CITY,42,58,100,478.0,47800.0,"2026-04-28, 2:56:03:548 PM",2026042801106915
CITY,1,58,19,478.0,9082.0,"2026-04-28, 2:56:03:547 PM",2026042801106914
CITY,42,58,180,478.0,86040.0,"2026-04-28, 2:56:03:547 PM",2026042801106913
CITY,22,58,42,478.0,20076.0,"2026-04-28, 2:56:03:547 PM",2026042801106912
CITY,59,58,43,478.1,20558.3,"2026-04-28, 2:56:03:546 PM",2026042801106911
CITY,53,58,50,478.1,23905.0,"2026-04-28, 2:56:03:546 PM",2026042801106910
