Symbol,buyerMemberId,sellerMemberId,volume,rate,amount,transaction_time,Contract ID
EBL,42,56,10,698.1,6981.0,"2026-04-28, 2:59:14:290 PM",2026042801109637
EBL,49,42,30,698.2,20946.0,"2026-04-28, 2:58:13:908 PM",2026042801108712
EBL,42,66,147,698.1,102620.7,"2026-04-28, 2:56:20:756 PM",2026042801107135
EBL,54,66,200,698.2,139640.0,"2026-04-28, 2:56:20:756 PM",2026042801107134
EBL,26,42,29,698.5,20256.5,"2026-04-28, 2:55:23:886 PM",2026042801106377
EBL,58,42,20,698.5,13970.0,"2026-04-28, 2:55:02:082 PM",2026042801106123
EBL,13,42,57,698.5,39814.5,"2026-04-28, 2:50:44:276 PM",2026042801103364
EBL,13,65,13,698.5,9080.5,"2026-04-28, 2:50:44:276 PM",2026042801103363
EBL,62,65,35,698.5,24447.5,"2026-04-28, 2:48:34:582 PM",2026042801102287
EBL,42,47,112,698.1,78187.2,"2026-04-28, 2:46:38:702 PM",2026042801101234
EBL,3,47,88,698.1,61432.8,"2026-04-28, 2:46:38:702 PM",2026042801101233
EBL,58,65,14,698.5,9779.0,"2026-04-28, 2:45:24:925 PM",2026042801100548
EBL,48,65,70,699.0,48930.0,"2026-04-28, 2:44:47:622 PM",2026042801100182
EBL,48,26,80,699.0,55920.0,"2026-04-28, 2:44:17:543 PM",2026042801099924
EBL,50,26,50,699.0,34950.0,"2026-04-28, 2:44:17:543 PM",2026042801099923
EBL,61,26,70,699.1,48937.0,"2026-04-28, 2:44:17:543 PM",2026042801099922
EBL,6,57,10,699.9,6999.0,"2026-04-28, 2:43:45:143 PM",2026042801099572
EBL,89,57,50,699.9,34995.0,"2026-04-28, 2:42:41:457 PM",2026042801098610
EBL,57,57,17,699.9,11898.3,"2026-04-28, 2:41:00:274 PM",2026042801097585
EBL,50,11,100,699.0,69900.0,"2026-04-28, 2:39:48:960 PM",2026042801096752
EBL,51,35,76,699.8,53184.8,"2026-04-28, 2:32:35:552 PM",2026042801093153
EBL,51,45,10,699.0,6990.0,"2026-04-28, 2:32:35:552 PM",2026042801093152
EBL,13,21,1,683.0,683.0,"2026-04-28, 2:31:32:217 PM",2026042801092706
EBL,47,45,300,699.0,209700.0,"2026-04-28, 2:29:24:059 PM",2026042801091819
EBL,1,45,20,699.0,13980.0,"2026-04-28, 2:29:24:059 PM",2026042801091818
EBL,58,45,20,699.0,13980.0,"2026-04-28, 2:29:24:059 PM",2026042801091817
EBL,22,45,50,699.0,34950.0,"2026-04-28, 2:29:24:059 PM",2026042801091816
EBL,29,45,25,699.0,17475.0,"2026-04-28, 2:29:24:059 PM",2026042801091815
EBL,71,45,15,699.0,10485.0,"2026-04-28, 2:29:24:059 PM",2026042801091814
EBL,4,45,60,699.5,41970.0,"2026-04-28, 2:29:24:059 PM",2026042801091813
EBL,58,86,6,699.0,4194.0,"2026-04-28, 2:27:49:822 PM",2026042801091214
EBL,49,35,50,699.8,34990.0,"2026-04-28, 2:26:07:197 PM",2026042801090455
EBL,4,34,30,699.5,20985.0,"2026-04-28, 2:25:42:384 PM",2026042801090249
EBL,29,26,42,699.7,29387.4,"2026-04-28, 2:18:34:722 PM",2026042801087179
EBL,29,21,209,699.7,146237.30000000002,"2026-04-28, 2:18:32:622 PM",2026042801087168
EBL,13,53,1,683.0,683.0,"2026-04-28, 2:16:34:795 PM",2026042801086263
EBL,42,35,105,699.8,73479.0,"2026-04-28, 2:14:22:081 PM",2026042801085265
EBL,4,7,10,699.5,6995.0,"2026-04-28, 2:13:39:444 PM",2026042801084919
EBL,4,6,20,699.5,13990.0,"2026-04-28, 2:10:00:953 PM",2026042801083338
EBL,4,6,92,699.5,64354.0,"2026-04-28, 2:10:00:953 PM",2026042801083337
EBL,4,49,103,699.5,72048.5,"2026-04-28, 2:06:59:191 PM",2026042801081834
EBL,4,6,24,699.5,16788.0,"2026-04-28, 2:06:59:191 PM",2026042801081833
EBL,4,58,11,699.0,7689.0,"2026-04-28, 2:06:59:191 PM",2026042801081832
EBL,58,54,541,698.5,377888.5,"2026-04-28, 2:06:51:381 PM",2026042801081792
EBL,54,54,25,698.5,17462.5,"2026-04-28, 2:06:51:381 PM",2026042801081791
EBL,58,54,70,699.0,48930.0,"2026-04-28, 2:05:38:545 PM",2026042801081372
EBL,62,54,15,699.0,10485.0,"2026-04-28, 2:05:38:545 PM",2026042801081371
EBL,29,54,700,699.0,489300.0,"2026-04-28, 2:05:38:545 PM",2026042801081370
EBL,50,54,264,699.0,184536.0,"2026-04-28, 2:05:38:545 PM",2026042801081369
EBL,11,6,30,699.5,20985.0,"2026-04-28, 2:05:12:234 PM",2026042801081228
EBL,11,16,50,699.5,34975.0,"2026-04-28, 2:05:12:234 PM",2026042801081227
EBL,50,53,236,699.0,164964.0,"2026-04-28, 2:04:18:669 PM",2026042801080776
EBL,58,53,18,699.0,12582.0,"2026-04-28, 2:04:18:668 PM",2026042801080775
EBL,53,53,10,699.0,6990.0,"2026-04-28, 2:04:18:668 PM",2026042801080774
EBL,11,53,15,699.0,10485.0,"2026-04-28, 2:04:18:668 PM",2026042801080773
EBL,56,53,50,699.0,34950.0,"2026-04-28, 2:04:18:668 PM",2026042801080772
EBL,32,53,24,699.0,16776.0,"2026-04-28, 2:04:18:667 PM",2026042801080771
EBL,22,53,177,699.0,123723.0,"2026-04-28, 2:04:18:667 PM",2026042801080770
EBL,22,18,38,699.0,26562.0,"2026-04-28, 2:04:01:809 PM",2026042801080650
EBL,34,18,462,699.0,322938.0,"2026-04-28, 2:04:01:809 PM",2026042801080649
EBL,7,16,10,699.5,6995.0,"2026-04-28, 1:52:41:212 PM",2026042801076190
EBL,44,16,200,699.5,139900.0,"2026-04-28, 1:51:56:043 PM",2026042801075862
EBL,42,16,20,699.5,13990.0,"2026-04-28, 1:47:52:484 PM",2026042801074519
EBL,57,25,40,699.1,27964.0,"2026-04-28, 1:46:17:804 PM",2026042801074023
