stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,transaction_time,contractId
FMDBL,59,17,21,802.1,16844.100000000002,2026-04-28 14:59:33.685,2026042803008379
FMDBL,36,48,99,802.0,79398.0,2026-04-28 14:57:30.236,2026042803008054
FMDBL,90,57,65,801.1,52071.5,2026-04-28 14:56:50.070,2026042803007981
FMDBL,13,48,200,802.0,160400.0,2026-04-28 14:56:43.442,2026042803007960
FMDBL,44,57,35,801.3,28045.5,2026-04-28 14:56:28.305,2026042803007937
FMDBL,49,48,10,802.0,8020.0,2026-04-28 14:56:02.696,2026042803007900
FMDBL,59,48,50,802.0,40100.0,2026-04-28 14:56:02.696,2026042803007899
FMDBL,16,48,200,802.1,160420.0,2026-04-28 14:56:02.696,2026042803007898
FMDBL,56,48,130,802.2,104286.0,2026-04-28 14:56:02.696,2026042803007897
FMDBL,10,48,11,802.5,8827.5,2026-04-28 14:56:02.695,2026042803007896
FMDBL,13,17,79,804.0,63516.0,2026-04-28 14:54:11.848,2026042803007687
FMDBL,13,42,21,804.0,16884.0,2026-04-28 14:49:31.353,2026042803007351
FMDBL,56,6,100,802.0,80200.0,2026-04-28 14:37:58.781,2026042803006804
FMDBL,56,32,10,802.0,8020.0,2026-04-28 14:36:26.951,2026042803006723
FMDBL,56,39,80,802.0,64160.0,2026-04-28 14:35:56.042,2026042803006698
FMDBL,44,52,15,802.0,12030.0,2026-04-28 14:19:44.899,2026042803006032
FMDBL,56,37,80,801.0,64080.0,2026-04-28 14:18:07.958,2026042803005978
FMDBL,45,37,55,801.0,44055.0,2026-04-28 14:17:44.928,2026042803005962
FMDBL,90,37,50,801.0,40050.0,2026-04-28 14:17:44.928,2026042803005961
FMDBL,45,37,114,801.0,91314.0,2026-04-28 14:17:44.928,2026042803005960
FMDBL,45,52,345,801.0,276345.0,2026-04-28 14:15:38.054,2026042803005875
FMDBL,45,52,55,801.1,44060.5,2026-04-28 14:15:38.054,2026042803005874
FMDBL,50,39,200,802.0,160400.0,2026-04-28 14:13:35.745,2026042803005756
FMDBL,50,60,200,802.0,160400.0,2026-04-28 14:11:00.095,2026042803005616
FMDBL,50,60,100,802.0,80200.0,2026-04-28 14:09:07.522,2026042803005490
FMDBL,36,57,10,804.0,8040.0,2026-04-28 14:01:34.375,2026042803005094
