Symbol,buyerMemberId,sellerMemberId,volume,rate,amount,transaction_time,Contract ID
GUFL,32,45,46,511.5,23529.0,"2026-04-28, 2:59:16:282 PM",2026042803008303
GUFL,42,45,14,511.5,7161.0,"2026-04-28, 2:59:16:282 PM",2026042803008302
GUFL,62,45,100,512.0,51200.0,"2026-04-28, 2:59:16:282 PM",2026042803008301
GUFL,45,45,40,512.0,20480.0,"2026-04-28, 2:59:16:282 PM",2026042803008300
GUFL,42,95,36,511.5,18414.0,"2026-04-28, 2:56:30:905 PM",2026042803007944
GUFL,58,95,150,511.5,76725.0,"2026-04-28, 2:56:30:904 PM",2026042803007943
GUFL,17,95,224,511.5,114576.0,"2026-04-28, 2:56:30:904 PM",2026042803007942
GUFL,3,95,40,511.6,20464.0,"2026-04-28, 2:56:30:904 PM",2026042803007941
GUFL,17,45,776,511.5,396924.0,"2026-04-28, 2:51:28:181 PM",2026042803007489
GUFL,14,45,50,511.5,25575.0,"2026-04-28, 2:51:28:181 PM",2026042803007488
GUFL,45,45,446,511.6,228173.6,"2026-04-28, 2:51:28:181 PM",2026042803007487
GUFL,32,45,100,511.6,51160.0,"2026-04-28, 2:51:28:181 PM",2026042803007486
GUFL,36,45,181,511.6,92599.6,"2026-04-28, 2:51:28:181 PM",2026042803007485
GUFL,49,45,20,512.0,10240.0,"2026-04-28, 2:51:28:181 PM",2026042803007484
GUFL,6,45,10,512.0,5120.0,"2026-04-28, 2:51:28:181 PM",2026042803007483
GUFL,6,45,100,512.0,51200.0,"2026-04-28, 2:51:28:181 PM",2026042803007482
GUFL,32,45,100,512.1,51210.0,"2026-04-28, 2:51:28:180 PM",2026042803007481
GUFL,1,45,40,512.1,20484.0,"2026-04-28, 2:51:28:180 PM",2026042803007480
GUFL,58,45,40,513.0,20520.0,"2026-04-28, 2:51:28:180 PM",2026042803007479
GUFL,4,45,97,513.5,49809.5,"2026-04-28, 2:51:28:180 PM",2026042803007478
GUFL,42,34,10,518.9,5189.0,"2026-04-28, 2:29:57:972 PM",2026042803006438
GUFL,49,53,41,511.1,20955.1,"2026-04-28, 2:10:51:800 PM",2026042803005612
GUFL,21,53,105,512.0,53760.0,"2026-04-28, 2:10:51:800 PM",2026042803005611
GUFL,38,53,60,514.0,30840.0,"2026-04-28, 2:10:51:800 PM",2026042803005610
GUFL,41,53,11,515.0,5665.0,"2026-04-28, 2:10:51:800 PM",2026042803005609
GUFL,38,53,40,515.0,20600.0,"2026-04-28, 2:10:51:800 PM",2026042803005608
GUFL,36,53,270,515.0,139050.0,"2026-04-28, 2:10:51:800 PM",2026042803005607
GUFL,37,53,70,515.0,36050.0,"2026-04-28, 2:10:51:800 PM",2026042803005606
GUFL,25,53,403,515.1,207585.3,"2026-04-28, 2:10:51:800 PM",2026042803005605
GUFL,25,59,97,515.1,49964.7,"2026-04-28, 2:10:50:305 PM",2026042803005603
GUFL,69,59,200,515.1,103020.0,"2026-04-28, 2:10:50:305 PM",2026042803005602
GUFL,69,59,250,515.2,128800.0,"2026-04-28, 2:10:50:305 PM",2026042803005601
GUFL,59,59,175,516.0,90300.0,"2026-04-28, 2:10:50:304 PM",2026042803005600
GUFL,48,59,250,516.2,129050.0,"2026-04-28, 2:10:50:304 PM",2026042803005599
GUFL,58,59,200,516.3,103260.0,"2026-04-28, 2:10:50:304 PM",2026042803005598
GUFL,44,59,200,516.4,103280.0,"2026-04-28, 2:09:44:669 PM",2026042803005537
GUFL,49,59,50,517.0,25850.0,"2026-04-28, 2:09:44:669 PM",2026042803005536
GUFL,54,59,40,517.1,20684.0,"2026-04-28, 2:09:44:669 PM",2026042803005535
GUFL,33,59,10,517.5,5175.0,"2026-04-28, 2:09:44:669 PM",2026042803005534
GUFL,62,59,110,517.5,56925.0,"2026-04-28, 2:09:44:669 PM",2026042803005533
GUFL,39,59,50,517.6,25880.0,"2026-04-28, 2:09:44:669 PM",2026042803005532
GUFL,58,59,150,518.0,77700.0,"2026-04-28, 2:09:21:041 PM",2026042803005515
GUFL,52,59,29,518.0,15022.0,"2026-04-28, 2:09:21:041 PM",2026042803005514
GUFL,42,59,10,518.0,5180.0,"2026-04-28, 2:09:21:041 PM",2026042803005513
GUFL,58,59,20,518.1,10362.0,"2026-04-28, 2:09:21:040 PM",2026042803005512
GUFL,54,59,15,519.1,7786.5,"2026-04-28, 2:09:21:040 PM",2026042803005511
GUFL,58,59,134,519.3,69586.2,"2026-04-28, 2:09:21:040 PM",2026042803005510
GUFL,58,59,150,519.4,77910.0,"2026-04-28, 2:09:21:040 PM",2026042803005509
GUFL,1,5,30,520.0,15600.0,"2026-04-28, 2:07:11:260 PM",2026042803005406
GUFL,58,45,16,519.3,8308.8,"2026-04-28, 2:05:07:536 PM",2026042803005322
GUFL,1,32,30,520.0,15600.0,"2026-04-28, 2:00:36:292 PM",2026042803005063
GUFL,58,45,40,521.0,20840.0,"2026-04-28, 1:49:09:662 PM",2026042803004739
GUFL,42,34,360,521.7,187812.00000000003,"2026-04-28, 1:43:39:887 PM",2026042803004617
