stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,transaction_time,contractId
JSLBB,42,38,11,1101.0,12111.0,2026-04-28 14:52:57.471,2026042803007594
JSLBB,42,38,10,1102.0,11020.0,2026-04-28 14:52:57.471,2026042803007593
JSLBB,42,38,149,1105.0,164645.0,2026-04-28 14:52:31.768,2026042803007544
JSLBB,42,64,18,1105.0,19890.0,2026-04-28 14:33:11.387,2026042803006612
JSLBB,42,56,33,1105.0,36465.0,2026-04-28 14:20:46.057,2026042803006078
JSLBB,42,58,10,1102.0,11020.0,2026-04-28 14:03:52.314,2026042803005241
JSLBB,58,34,50,1097.0,54850.0,2026-04-28 12:56:19.782,2026042803003345
JSLBB,19,34,10,1100.0,11000.0,2026-04-28 12:56:19.782,2026042803003344
JSLBB,25,34,20,1100.0,22000.0,2026-04-28 12:56:19.782,2026042803003343
JSLBB,21,34,30,1100.0,33000.0,2026-04-28 12:56:19.782,2026042803003342
JSLBB,74,34,200,1100.2,220040.0,2026-04-28 12:56:19.782,2026042803003341
JSLBB,42,34,30,1102.0,33060.0,2026-04-28 12:56:19.782,2026042803003340
JSLBB,11,34,24,1102.1,26450.4,2026-04-28 12:56:19.781,2026042803003339
JSLBB,11,74,26,1103.1,28680.6,2026-04-28 12:42:38.231,2026042803002987
JSLBB,36,74,10,1103.2,11032.0,2026-04-28 12:42:38.231,2026042803002986
