Symbol,buyerMemberId,sellerMemberId,volume,rate,amount,transaction_time,Contract ID
KBL,57,38,50,221.0,11050.0,"2026-04-28, 2:59:59:680 PM",2026042801111043
KBL,32,38,61,221.0,13481.0,"2026-04-28, 2:59:58:026 PM",2026042801110989
KBL,32,64,39,221.0,8619.0,"2026-04-28, 2:59:58:024 PM",2026042801110988
KBL,49,64,10,221.0,2210.0,"2026-04-28, 2:59:54:534 PM",2026042801110718
KBL,49,64,10,221.0,2210.0,"2026-04-28, 2:59:52:262 PM",2026042801110658
KBL,57,64,41,221.0,9061.0,"2026-04-28, 2:59:49:649 PM",2026042801110542
KBL,57,34,59,221.0,13039.0,"2026-04-28, 2:59:49:647 PM",2026042801110541
KBL,22,59,1000,220.5,220500.0,"2026-04-28, 2:59:38:173 PM",2026042801110280
KBL,57,16,100,220.8,22080.0,"2026-04-28, 2:59:31:239 PM",2026042801110137
KBL,22,34,10,221.0,2210.0,"2026-04-28, 2:59:21:590 PM",2026042801109810
KBL,58,74,1000,220.8,220800.0,"2026-04-28, 2:59:12:834 PM",2026042801109573
KBL,58,58,50,220.0,11000.0,"2026-04-28, 2:59:12:833 PM",2026042801109572
KBL,58,21,661,220.0,145420.0,"2026-04-28, 2:59:12:831 PM",2026042801109571
KBL,92,21,450,220.0,99000.0,"2026-04-28, 2:59:10:568 PM",2026042801109538
KBL,49,21,250,220.0,55000.0,"2026-04-28, 2:59:09:071 PM",2026042801109499
KBL,45,21,1639,220.0,360580.0,"2026-04-28, 2:59:09:070 PM",2026042801109498
KBL,45,42,361,220.0,79420.0,"2026-04-28, 2:59:08:563 PM",2026042801109492
KBL,19,42,45,220.0,9900.0,"2026-04-28, 2:59:08:561 PM",2026042801109491
KBL,38,42,40,220.0,8800.0,"2026-04-28, 2:59:08:560 PM",2026042801109490
KBL,8,42,54,220.2,11890.8,"2026-04-28, 2:59:08:558 PM",2026042801109489
KBL,58,6,4,220.0,880.0,"2026-04-28, 2:58:50:654 PM",2026042801109197
KBL,58,48,76,220.0,16720.0,"2026-04-28, 2:58:50:654 PM",2026042801109196
KBL,58,48,15,220.0,3300.0,"2026-04-28, 2:58:50:653 PM",2026042801109195
KBL,51,48,1000,220.0,220000.0,"2026-04-28, 2:58:50:652 PM",2026042801109194
KBL,13,48,100,220.0,22000.0,"2026-04-28, 2:58:50:651 PM",2026042801109193
KBL,19,48,2000,220.0,440000.0,"2026-04-28, 2:58:50:650 PM",2026042801109192
