stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,transaction_time,contractId
NICGF2,4,49,100,9.5,950.0,2026-04-28 14:58:28.554,2026042801108885
NICGF2,4,58,100,9.5,950.0,2026-04-28 14:49:56.356,2026042801102898
NICGF2,4,38,100,9.5,950.0,2026-04-28 14:31:41.345,2026042801092786
NICGF2,4,58,100,9.5,950.0,2026-04-28 14:31:41.345,2026042801092785
NICGF2,4,28,500,9.49,4745.0,2026-04-28 14:31:27.911,2026042801092672
NICGF2,28,58,100,9.3,930.0,2026-04-28 14:29:21.546,2026042801091804
NICGF2,28,58,100,9.3,930.0,2026-04-28 14:27:06.164,2026042801090860
NICGF2,28,25,700,9.3,6510.000000000001,2026-04-28 14:24:01.189,2026042801089496
NICGF2,28,1,100,9.3,930.0,2026-04-28 14:07:50.998,2026042801082218
NICGF2,42,42,100,9.4,940.0,2026-04-28 14:02:26.373,2026042801079966
NICGF2,89,8,100,9.4,940.0,2026-04-28 13:28:04.077,2026042801068912
NICGF2,28,10,100,9.3,930.0,2026-04-28 13:04:29.046,2026042801063002
NICGF2,28,48,100,9.3,930.0,2026-04-28 13:00:51.318,2026042801061987
NICGF2,4,52,100,9.26,926.0,2026-04-28 12:53:45.832,2026042801060004
NICGF2,28,58,100,9.25,925.0,2026-04-28 12:50:09.795,2026042801058806
NICGF2,58,28,1100,9.49,10439.0,2026-04-28 12:48:55.901,2026042801058479
NICGF2,7,58,100,9.22,922.0,2026-04-28 12:07:54.050,2026042801041391
NICGF2,45,1,100,9.23,923.0,2026-04-28 11:42:01.566,2026042801028533
NICGF2,7,32,100,9.22,922.0,2026-04-28 11:34:54.674,2026042801024212
NICGF2,28,58,1121,9.36,10492.56,2026-04-28 11:32:15.878,2026042801022260
NICGF2,22,58,100,9.64,964.0,2026-04-28 11:31:15.847,2026042801021769
NICGF2,22,62,200,9.64,1928.0,2026-04-28 11:30:19.063,2026042801021058
NICGF2,58,62,100,9.64,964.0,2026-04-28 11:30:17.663,2026042801021042
NICGF2,58,62,100,9.6,960.0,2026-04-28 11:30:17.663,2026042801021041
NICGF2,22,19,100,9.36,936.0,2026-04-28 11:28:51.448,2026042801020178
NICGF2,22,77,100,9.35,935.0,2026-04-28 11:26:49.569,2026042801019010
NICGF2,28,49,100,9.08,908.0,2026-04-28 11:10:08.489,2026042801008082
