stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,transaction_time,contractId
NICLBSL,45,48,10,580.0,5800.0,2026-04-28 14:59:46.039,2026042803008419
NICLBSL,45,6,30,578.0,17340.0,2026-04-28 14:59:46.039,2026042803008418
NICLBSL,45,6,10,578.0,5780.0,2026-04-28 14:59:31.280,2026042803008359
NICLBSL,34,58,30,577.2,17316.0,2026-04-28 14:59:25.361,2026042803008330
NICLBSL,34,58,100,577.3,57729.99999999999,2026-04-28 14:59:25.361,2026042803008329
NICLBSL,58,58,13,577.5,7507.5,2026-04-28 14:59:25.361,2026042803008328
NICLBSL,42,58,20,577.7,11554.0,2026-04-28 14:59:25.361,2026042803008327
NICLBSL,29,58,13,577.7,7510.1,2026-04-28 14:59:25.361,2026042803008326
NICLBSL,29,38,10,577.7,5777.0,2026-04-28 14:59:11.408,2026042803008271
NICLBSL,45,48,21,580.0,12180.0,2026-04-28 14:59:09.840,2026042803008263
NICLBSL,45,36,36,579.0,20844.0,2026-04-28 14:59:09.840,2026042803008262
NICLBSL,45,7,10,579.0,5790.0,2026-04-28 14:59:09.840,2026042803008261
NICLBSL,45,14,33,578.0,19074.0,2026-04-28 14:59:09.840,2026042803008260
NICLBSL,1,14,100,578.0,57800.0,2026-04-28 14:58:50.959,2026042803008217
NICLBSL,6,14,25,578.0,14450.0,2026-04-28 14:55:41.011,2026042803007844
NICLBSL,33,14,192,578.0,110976.0,2026-04-28 14:55:41.011,2026042803007843
NICLBSL,45,14,100,578.1,57810.0,2026-04-28 14:55:41.011,2026042803007842
NICLBSL,33,38,10,578.0,5780.0,2026-04-28 14:54:44.204,2026042803007739
NICLBSL,45,22,10,579.0,5790.0,2026-04-28 14:53:56.960,2026042803007674
NICLBSL,45,52,10,578.1,5781.0,2026-04-28 14:53:56.960,2026042803007673
NICLBSL,45,6,90,578.1,52029.0,2026-04-28 14:53:56.960,2026042803007672
NICLBSL,33,92,10,578.0,5780.0,2026-04-28 14:52:21.237,2026042803007538
NICLBSL,45,6,110,578.1,63591.0,2026-04-28 14:50:47.253,2026042803007442
NICLBSL,45,38,31,578.1,17921.100000000002,2026-04-28 14:49:01.135,2026042803007327
NICLBSL,45,17,10,578.1,5781.0,2026-04-28 14:47:11.341,2026042803007216
NICLBSL,45,22,10,578.1,5781.0,2026-04-28 14:45:50.357,2026042803007160
NICLBSL,45,36,39,578.1,22545.9,2026-04-28 14:42:48.122,2026042803007035
NICLBSL,33,57,188,578.0,108664.0,2026-04-28 14:41:53.863,2026042803006993
NICLBSL,58,57,10,578.0,5780.0,2026-04-28 14:41:53.863,2026042803006992
NICLBSL,17,57,50,578.0,28900.0,2026-04-28 14:41:53.863,2026042803006991
NICLBSL,42,57,23,578.0,13294.0,2026-04-28 14:41:53.863,2026042803006990
NICLBSL,62,57,54,578.0,31212.0,2026-04-28 14:41:53.862,2026042803006989
NICLBSL,45,57,85,578.1,49138.5,2026-04-28 14:41:53.862,2026042803006988
NICLBSL,58,57,90,578.2,52038.00000000001,2026-04-28 14:41:53.862,2026042803006987
NICLBSL,58,51,100,578.2,57820.00000000001,2026-04-28 14:41:29.294,2026042803006964
NICLBSL,58,48,10,578.2,5782.0,2026-04-28 14:40:53.237,2026042803006939
NICLBSL,17,36,61,579.0,35319.0,2026-04-28 14:38:23.106,2026042803006823
NICLBSL,17,42,10,579.0,5790.0,2026-04-28 14:37:55.385,2026042803006803
NICLBSL,43,42,10,579.1,5791.0,2026-04-28 14:33:53.073,2026042803006636
NICLBSL,45,39,100,579.0,57900.0,2026-04-28 14:33:28.391,2026042803006617
NICLBSL,43,58,20,581.5,11630.0,2026-04-28 14:29:14.096,2026042803006391
NICLBSL,43,49,10,580.0,5800.0,2026-04-28 14:29:14.096,2026042803006390
NICLBSL,45,84,15,578.1,8671.5,2026-04-28 14:20:32.064,2026042803006067
NICLBSL,43,32,10,582.0,5820.0,2026-04-28 14:16:23.121,2026042803005892
NICLBSL,62,52,136,578.0,78608.0,2026-04-28 14:16:11.491,2026042803005891
NICLBSL,45,52,14,578.3,8096.199999999999,2026-04-28 14:16:11.490,2026042803005890
NICLBSL,45,1,21,578.3,12144.3,2026-04-28 14:13:03.552,2026042803005717
NICLBSL,45,42,10,578.3,5783.0,2026-04-28 14:08:19.182,2026042803005470
NICLBSL,45,34,25,578.3,14457.499999999998,2026-04-28 14:02:55.797,2026042803005144
NICLBSL,45,58,10,578.3,5783.0,2026-04-28 13:52:20.022,2026042803004863
NICLBSL,45,48,20,578.3,11566.0,2026-04-28 13:47:28.585,2026042803004705
NICLBSL,43,17,10,578.2,5782.0,2026-04-28 13:39:12.448,2026042803004521
NICLBSL,62,17,10,578.0,5780.0,2026-04-28 13:34:47.835,2026042803004430
NICLBSL,45,17,31,582.0,18042.0,2026-04-28 13:34:47.835,2026042803004429
NICLBSL,45,34,30,583.4,17502.0,2026-04-28 13:34:47.581,2026042803004428
NICLBSL,45,34,30,583.3,17499.0,2026-04-28 13:34:47.581,2026042803004427
NICLBSL,45,34,30,583.2,17496.0,2026-04-28 13:34:47.581,2026042803004426
NICLBSL,45,34,30,583.1,17493.0,2026-04-28 13:34:47.581,2026042803004425
NICLBSL,45,47,10,583.0,5830.0,2026-04-28 13:34:47.581,2026042803004424
NICLBSL,45,7,10,583.0,5830.0,2026-04-28 13:34:47.581,2026042803004423
NICLBSL,45,58,20,583.0,11660.0,2026-04-28 13:34:47.581,2026042803004422
NICLBSL,45,39,10,583.0,5830.0,2026-04-28 13:34:47.581,2026042803004421
NICLBSL,45,35,10,582.0,5820.0,2026-04-28 13:31:18.051,2026042803004336
NICLBSL,29,74,36,577.7,20797.2,2026-04-28 13:21:45.334,2026042803004075
NICLBSL,29,17,31,577.7,17908.7,2026-04-28 13:17:11.222,2026042803003995
