symbol,buyer_member_id,seller_member_id,volume,price,amount,transaction_time,contract_id
NIMBPO,17,5,1702,152.0,258704.0,2026-04-28 14:53:26.287,2026042801105121
NIMBPO,35,5,100,152.1,15210.0,2026-04-28 14:53:26.287,2026042801105120
NIMBPO,46,5,20,152.1,3042.0,2026-04-28 14:53:26.287,2026042801105119
NIMBPO,43,5,200,152.1,30420.0,2026-04-28 14:53:26.287,2026042801105118
NIMBPO,46,5,10,152.2,1522.0,2026-04-28 14:53:26.287,2026042801105117
NIMBPO,43,5,400,152.3,60920.00000000001,2026-04-28 14:53:26.287,2026042801105116
NIMBPO,45,5,500,152.4,76200.0,2026-04-28 14:53:26.287,2026042801105115
NIMBPO,58,5,15,153.0,2295.0,2026-04-28 14:53:26.287,2026042801105114
NIMBPO,6,5,53,153.0,8109.0,2026-04-28 14:53:26.287,2026042801105113
NIMBPO,6,58,47,153.0,7191.0,2026-04-28 14:11:34.517,2026042801084028
NIMBPO,58,58,10,155.8,1558.0,2026-04-28 13:33:05.495,2026042801070143
NIMBPO,4,58,50,155.8,7790.000000000001,2026-04-28 13:26:06.393,2026042801068491
NIMBPO,4,58,100,155.7,15569.999999999998,2026-04-28 13:26:06.393,2026042801068490
NIMBPO,57,3,50000,154.0,7700000.0,2026-04-28 13:22:05.792,2026042801067586
NIMBPO,62,58,10,149.5,1495.0,2026-04-28 11:58:18.722,2026042801036803
NIMBPO,49,49,200,153.2,30640.0,2026-04-28 11:56:19.212,2026042801035690
NIMBPO,34,49,1224,153.2,187516.8,2026-04-28 11:56:19.212,2026042801035689
NIMBPO,34,36,60,153.2,9192.0,2026-04-28 11:54:01.785,2026042801034558
NIMBPO,34,58,310,153.2,47492.0,2026-04-28 11:52:42.811,2026042801033849
NIMBPO,43,58,190,153.3,29127.000000000004,2026-04-28 11:52:42.811,2026042801033848
NIMBPO,43,58,10,153.3,1533.0,2026-04-28 11:49:39.838,2026042801032389
NIMBPO,34,58,406,153.2,62199.2,2026-04-28 11:42:56.965,2026042801029025
NIMBPO,36,58,1000,153.2,153200.0,2026-04-28 11:42:56.965,2026042801029024
NIMBPO,34,58,100,153.2,15319.999999999998,2026-04-28 11:42:56.965,2026042801029023
NIMBPO,46,58,500,153.3,76650.0,2026-04-28 11:42:56.965,2026042801029022
NIMBPO,35,58,100,153.4,15340.0,2026-04-28 11:42:56.965,2026042801029021
NIMBPO,43,58,490,153.4,75166.0,2026-04-28 11:42:56.965,2026042801029020
NIMBPO,46,58,1304,153.5,200164.0,2026-04-28 11:42:56.965,2026042801029019
NIMBPO,46,13,538,153.5,82583.0,2026-04-28 11:41:44.852,2026042801028398
NIMBPO,43,13,100,153.6,15360.0,2026-04-28 11:41:44.852,2026042801028397
NIMBPO,46,13,158,153.5,24253.0,2026-04-28 11:30:18.773,2026042801021056
NIMBPO,43,13,100,153.5,15350.0,2026-04-28 11:30:18.773,2026042801021055
