symbol,buyer_member_id,seller_member_id,volume,price,amount,transaction_time,contract_id
SJCL,42,37,10,306.0,3060.0,2026-04-28 14:59:59.852,2026042804015075
SJCL,4,37,10,306.0,3060.0,2026-04-28 14:59:57.110,2026042804015017
SJCL,4,59,10,305.0,3050.0,2026-04-28 14:59:49.734,2026042804014942
SJCL,4,45,150,305.0,45750.0,2026-04-28 14:59:49.734,2026042804014941
SJCL,42,6,1881,301.0,566181.0,2026-04-28 14:59:39.027,2026042804014853
SJCL,74,6,100,301.0,30100.0,2026-04-28 14:59:39.027,2026042804014852
SJCL,57,6,250,301.6,75400.0,2026-04-28 14:59:39.027,2026042804014851
SJCL,14,6,100,302.0,30200.0,2026-04-28 14:59:39.027,2026042804014850
SJCL,1,6,30,302.0,9060.0,2026-04-28 14:59:39.026,2026042804014849
SJCL,58,6,30,303.0,9090.0,2026-04-28 14:59:39.026,2026042804014848
SJCL,14,6,109,303.0,33027.0,2026-04-28 14:59:39.026,2026042804014847
SJCL,16,45,50,305.0,15250.0,2026-04-28 14:59:30.871,2026042804014721
SJCL,86,58,10,305.0,3050.0,2026-04-28 14:59:27.169,2026042804014701
SJCL,14,14,40,303.0,12120.0,2026-04-28 14:59:24.733,2026042804014686
SJCL,14,22,20,303.0,6060.0,2026-04-28 14:58:35.720,2026042804014364
SJCL,14,34,30,303.0,9090.0,2026-04-28 14:58:23.346,2026042804014308
SJCL,14,25,20,303.0,6060.0,2026-04-28 14:57:27.309,2026042804014062
SJCL,14,38,1281,303.0,388143.0,2026-04-28 14:55:54.374,2026042804013805
SJCL,4,38,33,303.0,9999.0,2026-04-28 14:55:54.374,2026042804013804
SJCL,58,38,20,303.1,6062.0,2026-04-28 14:55:54.374,2026042804013803
SJCL,45,38,300,303.2,90960.0,2026-04-28 14:55:54.373,2026042804013802
SJCL,58,38,120,303.5,36420.0,2026-04-28 14:55:54.373,2026042804013801
SJCL,5,38,300,304.0,91200.0,2026-04-28 14:55:54.373,2026042804013800
SJCL,21,38,16,304.0,4864.0,2026-04-28 14:55:54.373,2026042804013799
