contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042904001066,CHL,22,34,23,293.0,6739.0,Siprabi Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-29 11:26:25.088055
2026042904001489,CHL,13,63,51,289.0,14739.0,Thrive Brokerage House Pvt. Ltd,Himalayan Brokerage Company Limited,2026-04-29 11:37:48.522567
2026042904001490,CHL,57,63,17,289.0,4913.0,Aryatara Investment & Securities,Himalayan Brokerage Company Limited,2026-04-29 11:37:48.522722
2026042904001491,CHL,43,63,15,287.0,4305.0,South Asian Bulls Pvt. Ltd.,Himalayan Brokerage Company Limited,2026-04-29 11:37:48.522829
2026042904001492,CHL,57,63,100,287.0,28700.0,Aryatara Investment & Securities,Himalayan Brokerage Company Limited,2026-04-29 11:37:48.522925
2026042904001493,CHL,59,63,638,286.1,182531.8,Deevyaa Securities & Stock House Pvt. Ltd,Himalayan Brokerage Company Limited,2026-04-29 11:37:48.523034
2026042904001494,CHL,51,63,350,286.0,100100.0,Oxford Securities Pvt. Ltd.,Himalayan Brokerage Company Limited,2026-04-29 11:37:48.523164
2026042904001495,CHL,19,63,500,285.1,142550.0,Nepal Investment And Securities Trading Private Limited,Himalayan Brokerage Company Limited,2026-04-29 11:37:48.523282
2026042904001496,CHL,57,63,500,285.0,142500.0,Aryatara Investment & Securities,Himalayan Brokerage Company Limited,2026-04-29 11:37:48.523442
2026042904001497,CHL,47,63,14,285.0,3990.0,Neev Securities Pvt. Ltd.,Himalayan Brokerage Company Limited,2026-04-29 11:37:48.523537
2026042904001498,CHL,7,63,35,285.0,9975.0,J.F. Securites (PVT) Ltd.,Himalayan Brokerage Company Limited,2026-04-29 11:37:48.523656
2026042904001499,CHL,57,63,480,285.0,136800.0,Aryatara Investment & Securities,Himalayan Brokerage Company Limited,2026-04-29 11:37:48.523804
2026042904001568,CHL,52,63,10,286.0,2860.0,Sundhara Securities Limited,Himalayan Brokerage Company Limited,2026-04-29 11:39:12.589705
2026042904001586,CHL,14,34,100,292.0,29200.0,Nepal Stock House (PVT) Ltd.,Vision Securities Pvt. Ltd,2026-04-29 11:39:36.004942
2026042904002606,CHL,62,38,1,292.0,292.0,Capital Max Securities Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-29 11:57:33.198209
2026042904002641,CHL,13,57,50,289.0,14450.0,Thrive Brokerage House Pvt. Ltd,Aryatara Investment & Securities,2026-04-29 11:57:41.467489
2026042904002921,CHL,7,51,10,286.0,2860.0,J.F. Securites (PVT) Ltd.,Oxford Securities Pvt. Ltd.,2026-04-29 12:03:33.024468
2026042904002922,CHL,25,51,100,286.0,28600.0,Sweta Securities Private Limited,Oxford Securities Pvt. Ltd.,2026-04-29 12:03:33.024643
2026042904003052,CHL,13,53,1,289.0,289.0,Thrive Brokerage House Pvt. Ltd,Investment Management Nepal Pvt. Ltd.,2026-04-29 12:07:18.687242
2026042904003154,CHL,4,34,19,290.9,5527.1,Opal Securities Investment (PVT) Ltd.,Vision Securities Pvt. Ltd,2026-04-29 12:09:16.575342
2026042904003231,CHL,42,34,10,290.9,2909.0,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,2026-04-29 12:10:33.346788
2026042904003483,CHL,4,34,19,290.9,5527.1,Opal Securities Investment (PVT) Ltd.,Vision Securities Pvt. Ltd,2026-04-29 12:16:33.513043
2026042904003611,CHL,44,58,50,287.0,14350.0,Dynamic Money Managers Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-29 12:19:43.370333
2026042904003933,CHL,14,34,10,290.9,2909.0,Nepal Stock House (PVT) Ltd.,Vision Securities Pvt. Ltd,2026-04-29 12:27:22.571473
2026042904004104,CHL,11,64,300,287.1,86130.0,Malla & Malla Stock Broking Company Pvt. Limited,SUN SECURITIES PVT LTD,2026-04-29 12:31:19.148400
2026042904004105,CHL,45,64,400,287.1,114840.0,Imperial Securities Company Pvt. Ltd.,SUN SECURITIES PVT LTD,2026-04-29 12:31:19.148550
2026042904005059,CHL,49,45,20,288.0,5760.0,Online Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-29 12:55:06.914303
2026042904005084,CHL,4,45,11,288.0,3168.0,Opal Securities Investment (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-29 12:56:18.340567
2026042904005219,CHL,58,45,169,288.0,48672.0,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-29 12:58:27.843119
