contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042904000092,HDHPC,22,101,25,223.1,5577.5,Siprabi Securities Pvt. Ltd.,APPLE SECURITIES PRIVATE LIMITED,2026-04-29 11:04:24.277389
2026042904000093,HDHPC,34,101,75,223.0,16725.0,Vision Securities Pvt. Ltd,APPLE SECURITIES PRIVATE LIMITED,2026-04-29 11:04:24.277477
2026042904000114,HDHPC,28,45,1000,223.1,223100.0,Shree Krishna Securities Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-29 11:05:03.554612
2026042904000115,HDHPC,34,45,975,223.0,217425.0,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-29 11:05:03.554730
2026042904000131,HDHPC,38,54,100,226.0,22600.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sewa Securities Pvt. Ltd.,2026-04-29 11:05:29.719533
2026042904000132,HDHPC,34,45,244,223.0,54412.0,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-29 11:05:30.977614
2026042904000141,HDHPC,36,25,52,224.0,11648.0,Secured Securities Ltd.,Sweta Securities Private Limited,2026-04-29 11:05:42.494798
2026042904000145,HDHPC,36,53,201,224.0,45024.0,Secured Securities Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-29 11:05:45.628568
2026042904000146,HDHPC,28,53,61,223.1,13609.1,Shree Krishna Securities Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-29 11:05:45.628769
2026042904000180,HDHPC,39,38,15,223.2,3348.0,Sumeru Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-29 11:06:18.843247
2026042904000227,HDHPC,28,59,2000,223.3,446600.0,Shree Krishna Securities Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-29 11:07:26.134419
2026042904000234,HDHPC,28,59,500,223.3,111650.0,Shree Krishna Securities Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-29 11:07:36.839391
2026042904000235,HDHPC,39,59,144,223.2,32140.8,Sumeru Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-29 11:07:36.839499
2026042904000287,HDHPC,39,58,10,223.2,2232.0,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-29 11:09:01.387183
2026042904000290,HDHPC,39,81,500,223.2,111600.0,Sumeru Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,2026-04-29 11:09:05.406428
2026042904000293,HDHPC,17,54,500,224.0,112000.0,ABC Securities Private Limited,Sewa Securities Pvt. Ltd.,2026-04-29 11:09:08.582036
2026042904000343,HDHPC,45,100,50,225.0,11250.0,Imperial Securities Company Pvt. Ltd.,Sunrise Securities Limited,2026-04-29 11:10:03.419554
2026042904000352,HDHPC,35,44,175,224.0,39200.0,Kohinoor Investment & Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-29 11:10:08.198488
