contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042905000193,HIDCL,45,81,40,270.0,10800.0,Imperial Securities Company Pvt. Ltd.,Aakashbhairab Securities Ltd.,2026-04-29 11:06:43.912697
2026042905000243,HIDCL,39,33,73,268.0,19564.0,Sumeru Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-29 11:07:54.774944
2026042905000278,HIDCL,56,81,10,270.0,2700.0,Sri Hari Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,2026-04-29 11:08:54.935555
2026042905000456,HIDCL,58,38,10,269.5,2695.0,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-29 11:12:46.882582
2026042905000458,HIDCL,39,5,30,268.0,8040.0,Sumeru Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-29 11:12:47.879954
2026042905000504,HIDCL,39,40,897,268.0,240396.0,Sumeru Securities Pvt. Ltd.,Creative Securities Pvt Ltd,2026-04-29 11:13:35.424559
2026042905000505,HIDCL,52,40,103,268.0,27604.0,Sundhara Securities Limited,Creative Securities Pvt Ltd,2026-04-29 11:13:35.424691
2026042905000506,HIDCL,52,81,50,268.0,13400.0,Sundhara Securities Limited,Aakashbhairab Securities Ltd.,2026-04-29 11:13:35.729164
2026042905000569,HIDCL,53,34,10,267.0,2670.0,Investment Management Nepal Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-29 11:14:58.497211
2026042905000953,HIDCL,39,57,100,268.0,26800.0,Sumeru Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-29 11:21:21.184993
2026042905000954,HIDCL,92,57,100,268.0,26800.0,Roadshow securities limited,Aryatara Investment & Securities,2026-04-29 11:21:21.185234
2026042905000978,HIDCL,92,17,200,268.0,53600.0,Roadshow securities limited,ABC Securities Private Limited,2026-04-29 11:21:58.839681
2026042905001028,HIDCL,92,81,100,268.0,26800.0,Roadshow securities limited,Aakashbhairab Securities Ltd.,2026-04-29 11:23:01.428411
2026042905001171,HIDCL,57,19,15,267.3,4009.5,Aryatara Investment & Securities,Nepal Investment And Securities Trading Private Limited,2026-04-29 11:25:24.699489
2026042905001210,HIDCL,57,58,15,267.3,4009.5,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-29 11:26:27.685116
2026042905001211,HIDCL,45,58,14,267.2,3740.8,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-29 11:26:27.685279
2026042905001443,HIDCL,29,58,15,267.2,4008.0,Trisul Securities & Invt. Ltd.,Naasa Securities Co. Ltd.,2026-04-29 11:29:47.541234
2026042905001482,HIDCL,29,14,250,267.2,66800.0,Trisul Securities & Invt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-29 11:30:24.107035
2026042905001524,HIDCL,36,14,100,267.2,26720.0,Secured Securities Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-29 11:31:17.485959
2026042905001548,HIDCL,47,14,100,267.2,26720.0,Neev Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-29 11:31:47.483675
2026042905001551,HIDCL,59,14,100,267.2,26720.0,Deevyaa Securities & Stock House Pvt. Ltd,Nepal Stock House (PVT) Ltd.,2026-04-29 11:31:53.461610
2026042905001604,HIDCL,39,14,450,267.2,120240.0,Sumeru Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-29 11:32:48.907067
2026042905001784,HIDCL,39,4,141,268.5,37858.5,Sumeru Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-29 11:34:38.731167
2026042905001785,HIDCL,39,4,141,268.5,37858.5,Sumeru Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-29 11:34:38.731292
2026042905001818,HIDCL,34,34,1,265.1,265.1,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,2026-04-29 11:35:09.878224
2026042905001832,HIDCL,35,39,300,268.0,80400.0,Kohinoor Investment & Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-29 11:35:27.113722
2026042905001842,HIDCL,39,58,233,269.0,62677.0,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-29 11:35:33.474259
2026042905001843,HIDCL,39,42,183,269.0,49227.0,Sumeru Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-29 11:35:33.474566
2026042905001844,HIDCL,39,17,50,269.0,13450.0,Sumeru Securities Pvt. Ltd.,ABC Securities Private Limited,2026-04-29 11:35:33.474747
2026042905002049,HIDCL,35,28,29,268.0,7772.0,Kohinoor Investment & Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,2026-04-29 11:39:21.218567
2026042905002243,HIDCL,58,44,1,268.0,268.0,Naasa Securities Co. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-29 11:42:51.738493
2026042905002246,HIDCL,35,101,1671,268.0,447828.0,Kohinoor Investment & Securities Pvt. Ltd.,APPLE SECURITIES PRIVATE LIMITED,2026-04-29 11:42:58.294542
2026042905002247,HIDCL,11,101,93,268.0,24924.0,Malla & Malla Stock Broking Company Pvt. Limited,APPLE SECURITIES PRIVATE LIMITED,2026-04-29 11:42:58.294838
2026042905002318,HIDCL,58,101,10,268.0,2680.0,Naasa Securities Co. Ltd.,APPLE SECURITIES PRIVATE LIMITED,2026-04-29 11:44:17.919008
2026042905002383,HIDCL,58,101,10,268.0,2680.0,Naasa Securities Co. Ltd.,APPLE SECURITIES PRIVATE LIMITED,2026-04-29 11:45:49.146660
2026042905002401,HIDCL,41,34,142,267.1,37928.2,Linch Stock Market Ltd.,Vision Securities Pvt. Ltd,2026-04-29 11:46:04.796359
