contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042904000091,KKHC,58,87,10,267.3,2673.0,2026-04-29,188422855,2751,Naasa Securities Co. Ltd.,S.P.S.A. Securities Limited,2026-04-29 11:04:23.622093,Khanikhola Hydropower Co. Ltd.
2026042904000147,KKHC,4,48,40,271.0,10840.0,2026-04-29,188424403,2751,Opal Securities Investment (PVT) Ltd.,Trishakti Securities Public Limited,2026-04-29 11:05:45.842034,Khanikhola Hydropower Co. Ltd.
2026042904000165,KKHC,4,87,40,271.0,10840.0,2026-04-29,188424764,2751,Opal Securities Investment (PVT) Ltd.,S.P.S.A. Securities Limited,2026-04-29 11:06:08.027714,Khanikhola Hydropower Co. Ltd.
2026042904000166,KKHC,58,87,10,267.3,2673.0,2026-04-29,188424765,2751,Naasa Securities Co. Ltd.,S.P.S.A. Securities Limited,2026-04-29 11:06:08.027852,Khanikhola Hydropower Co. Ltd.
2026042904000257,KKHC,10,75,100,267.4,26740.0,2026-04-29,188427460,2751,Pragyan Securities (PVT) Ltd.,N.I.M.B. Stock Markets Limited,2026-04-29 11:08:24.770407,Khanikhola Hydropower Co. Ltd.
2026042904000258,KKHC,58,75,100,267.4,26740.0,2026-04-29,188427462,2751,Naasa Securities Co. Ltd.,N.I.M.B. Stock Markets Limited,2026-04-29 11:08:24.770504,Khanikhola Hydropower Co. Ltd.
2026042904000259,KKHC,58,75,70,267.3,18711.0,2026-04-29,188427464,2751,Naasa Securities Co. Ltd.,N.I.M.B. Stock Markets Limited,2026-04-29 11:08:24.770545,Khanikhola Hydropower Co. Ltd.
2026042904000260,KKHC,6,75,300,267.3,80190.0,2026-04-29,188427466,2751,Agrawal Securities (PVT) Ltd.,N.I.M.B. Stock Markets Limited,2026-04-29 11:08:24.770578,Khanikhola Hydropower Co. Ltd.
2026042904000261,KKHC,53,75,100,267.3,26730.0,2026-04-29,188427468,2751,Investment Management Nepal Pvt. Ltd.,N.I.M.B. Stock Markets Limited,2026-04-29 11:08:24.770610,Khanikhola Hydropower Co. Ltd.
2026042904000262,KKHC,48,75,1330,267.2,355376.0,2026-04-29,188427469,2751,Trishakti Securities Public Limited,N.I.M.B. Stock Markets Limited,2026-04-29 11:08:24.770643,Khanikhola Hydropower Co. Ltd.
2026042904000282,KKHC,39,54,10,271.0,2710.0,2026-04-29,188428262,2751,Sumeru Securities Pvt. Ltd.,Sewa Securities Pvt. Ltd.,2026-04-29 11:08:58.103978,Khanikhola Hydropower Co. Ltd.
2026042904000627,KKHC,58,34,20,268.9,5378.0,2026-04-29,188440243,2751,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,2026-04-29 11:17:00.700678,Khanikhola Hydropower Co. Ltd.
2026042904000640,KKHC,58,75,80,268.9,21512.0,2026-04-29,188440802,2751,Naasa Securities Co. Ltd.,N.I.M.B. Stock Markets Limited,2026-04-29 11:17:29.632651,Khanikhola Hydropower Co. Ltd.
2026042904000641,KKHC,19,75,200,268.2,53640.0,2026-04-29,188440804,2751,Nepal Investment And Securities Trading Private Limited,N.I.M.B. Stock Markets Limited,2026-04-29 11:17:29.632726,Khanikhola Hydropower Co. Ltd.
2026042904000642,KKHC,58,75,45,268.1,12064.5,2026-04-29,188440806,2751,Naasa Securities Co. Ltd.,N.I.M.B. Stock Markets Limited,2026-04-29 11:17:29.632778,Khanikhola Hydropower Co. Ltd.
2026042904000643,KKHC,85,75,500,268.0,134000.0,2026-04-29,188440808,2751,Capital Hub P. Ltd,N.I.M.B. Stock Markets Limited,2026-04-29 11:17:29.632818,Khanikhola Hydropower Co. Ltd.
2026042904000644,KKHC,52,75,500,268.0,134000.0,2026-04-29,188440810,2751,Sundhara Securities Limited,N.I.M.B. Stock Markets Limited,2026-04-29 11:17:29.632859,Khanikhola Hydropower Co. Ltd.
2026042904000645,KKHC,52,75,500,268.0,134000.0,2026-04-29,188440812,2751,Sundhara Securities Limited,N.I.M.B. Stock Markets Limited,2026-04-29 11:17:29.632897,Khanikhola Hydropower Co. Ltd.
2026042904000646,KKHC,52,75,175,268.0,46900.0,2026-04-29,188440813,2751,Sundhara Securities Limited,N.I.M.B. Stock Markets Limited,2026-04-29 11:17:29.632935,Khanikhola Hydropower Co. Ltd.
