contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026042904000018,MEN,17,7,20,590.0,11800.0,ABC Securities Private Limited,J.F. Securites (PVT) Ltd.,2026-04-29 11:00:35.080520
2026042904000263,MEN,44,10,10,581.1,5811.0,Dynamic Money Managers Securities Pvt. Ltd.,Pragyan Securities (PVT) Ltd.,2026-04-29 11:08:24.854649
2026042904000373,MEN,58,45,60,581.4,34884.0,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-29 11:10:46.295123
2026042904000374,MEN,18,45,20,581.0,11620.0,Sagarmatha Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-29 11:10:46.295237
2026042904000375,MEN,47,45,20,581.0,11620.0,Neev Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-29 11:10:46.295283
2026042904000566,MEN,65,36,36,582.1,20955.6,Sharepro Securities Private Limited,Secured Securities Ltd.,2026-04-29 11:15:40.026207
2026042904000587,MEN,65,14,15,587.0,8805.0,Sharepro Securities Private Limited,Nepal Stock House (PVT) Ltd.,2026-04-29 11:15:55.143565
2026042904000714,MEN,91,7,50,585.0,29250.0,Citizens Share Broker Limited,J.F. Securites (PVT) Ltd.,2026-04-29 11:18:57.538181
2026042904000727,MEN,58,7,85,585.0,49725.0,Naasa Securities Co. Ltd.,J.F. Securites (PVT) Ltd.,2026-04-29 11:19:31.447011
2026042904000817,MEN,62,7,200,585.0,117000.0,Capital Max Securities Ltd,J.F. Securites (PVT) Ltd.,2026-04-29 11:22:05.035086
2026042904000940,MEN,42,7,15,583.0,8745.0,Sani Securities Company Ltd.,J.F. Securites (PVT) Ltd.,2026-04-29 11:24:15.863568
2026042904001016,MEN,58,7,14,585.0,8190.0,Naasa Securities Co. Ltd.,J.F. Securites (PVT) Ltd.,2026-04-29 11:25:17.086194
2026042904001039,MEN,42,58,15,583.0,8745.0,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-29 11:25:54.648659
2026042904001067,MEN,65,7,30,585.0,17550.0,Sharepro Securities Private Limited,J.F. Securites (PVT) Ltd.,2026-04-29 11:26:28.372925
2026042904001105,MEN,71,44,200,587.0,117400.0,SHUBHAKAMANA SECURITIES PVT. LTD,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-29 11:27:53.979521
2026042904001188,MEN,65,58,100,583.0,58300.0,Sharepro Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-29 11:30:38.592792
2026042904001189,MEN,43,58,65,583.0,37895.0,South Asian Bulls Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-29 11:30:38.592968
2026042904001224,MEN,43,53,15,583.0,8745.0,South Asian Bulls Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-29 11:31:26.341607
2026042904001255,MEN,62,45,300,586.0,175800.0,Capital Max Securities Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-29 11:32:10.293346
2026042904001674,MEN,1,57,40,584.0,23360.0,Kumari Securities Private Limited,Aryatara Investment & Securities,2026-04-29 11:41:50.238918
