contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026042903000131,NLIC,8,51,21,769.1,16151.1,2026-04-29,188423822,187,Brilliant Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-29 11:05:17.054522,Nepal Life Insurance Co. Ltd.
2026042903000132,NLIC,58,51,30,769.0,23070.0,2026-04-29,188423824,187,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-29 11:05:17.054578,Nepal Life Insurance Co. Ltd.
2026042903000178,NLIC,59,33,36,766.0,27576.0,2026-04-29,188429241,187,Deevyaa Securities & Stock House Pvt. Ltd,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-29 11:09:38.469346,Nepal Life Insurance Co. Ltd.
2026042903000222,NLIC,39,59,71,766.0,54386.0,2026-04-29,188432763,187,Sumeru Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-29 11:12:02.039526,Nepal Life Insurance Co. Ltd.
2026042903000230,NLIC,39,51,29,766.0,22214.0,2026-04-29,188433356,187,Sumeru Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-29 11:12:26.466974,Nepal Life Insurance Co. Ltd.
2026042903000341,NLIC,33,51,100,766.0,76600.0,2026-04-29,188441698,187,Dakshinkali Investment & Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-29 11:17:59.619378,Nepal Life Insurance Co. Ltd.
2026042903000342,NLIC,65,51,50,766.0,38300.0,2026-04-29,188441700,187,Sharepro Securities Private Limited,Oxford Securities Pvt. Ltd.,2026-04-29 11:17:59.860582,Nepal Life Insurance Co. Ltd.
2026042903000369,NLIC,61,51,20,766.0,15320.0,2026-04-29,188443450,187,BHOLE GANESH SECURITIES LTD,Oxford Securities Pvt. Ltd.,2026-04-29 11:19:09.472462,Nepal Life Insurance Co. Ltd.
2026042903000491,NLIC,33,42,48,768.0,36864.0,2026-04-29,188450934,187,Dakshinkali Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-29 11:24:42.468100,Nepal Life Insurance Co. Ltd.
2026042903000519,NLIC,65,51,100,770.0,77000.0,2026-04-29,188452392,187,Sharepro Securities Private Limited,Oxford Securities Pvt. Ltd.,2026-04-29 11:25:57.738569,Nepal Life Insurance Co. Ltd.
2026042903000571,NLIC,100,16,200,770.0,154000.0,2026-04-29,188454047,187,Sunrise Securities Limited,Primo Securities (PVT) Ltd.,2026-04-29 11:27:31.790918,Nepal Life Insurance Co. Ltd.
2026042903000572,NLIC,100,34,450,770.0,346500.0,2026-04-29,188454050,187,Sunrise Securities Limited,Vision Securities Pvt. Ltd,2026-04-29 11:27:31.791050,Nepal Life Insurance Co. Ltd.
2026042903000599,NLIC,100,58,86,766.1,65884.6,2026-04-29,188455863,187,Sunrise Securities Limited,Naasa Securities Co. Ltd.,2026-04-29 11:29:21.254682,Nepal Life Insurance Co. Ltd.
2026042903000829,NLIC,61,40,2,743.2,1486.4,2026-04-29,188464225,187,BHOLE GANESH SECURITIES LTD,Creative Securities Pvt Ltd,2026-04-29 11:37:13.991187,Nepal Life Insurance Co. Ltd.
2026042903000954,NLIC,32,58,10,766.3,7663.0,2026-04-29,188469755,187,Premier Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-29 11:43:11.786954,Nepal Life Insurance Co. Ltd.
2026042903000985,NLIC,32,17,100,766.3,76630.0,2026-04-29,188471043,187,Premier Securities Company Ltd.,ABC Securities Private Limited,2026-04-29 11:44:49.886462,Nepal Life Insurance Co. Ltd.
2026042903001000,NLIC,32,6,40,766.3,30652.0,2026-04-29,188471610,187,Premier Securities Company Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-29 11:45:29.827283,Nepal Life Insurance Co. Ltd.
2026042903001001,NLIC,6,6,95,766.3,72798.5,2026-04-29,188471611,187,Agrawal Securities (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-29 11:45:29.827529,Nepal Life Insurance Co. Ltd.
2026042903001349,NLIC,6,40,95,766.3,72798.5,2026-04-29,188483777,187,Agrawal Securities (PVT) Ltd.,Creative Securities Pvt Ltd,2026-04-29 11:58:05.240210,Nepal Life Insurance Co. Ltd.
2026042903001434,NLIC,6,94,310,766.3,237553.0,2026-04-29,188486534,187,Agrawal Securities (PVT) Ltd.,K.B.L. Securities Limited ,2026-04-29 12:01:04.312759,Nepal Life Insurance Co. Ltd.
2026042903001435,NLIC,34,94,20,766.3,15326.0,2026-04-29,188486536,187,Vision Securities Pvt. Ltd,K.B.L. Securities Limited ,2026-04-29 12:01:04.312934,Nepal Life Insurance Co. Ltd.
2026042903001436,NLIC,58,94,10,766.3,7663.0,2026-04-29,188486538,187,Naasa Securities Co. Ltd.,K.B.L. Securities Limited ,2026-04-29 12:01:04.313068,Nepal Life Insurance Co. Ltd.
2026042903001437,NLIC,42,94,20,766.2,15324.0,2026-04-29,188486540,187,Sani Securities Company Ltd.,K.B.L. Securities Limited ,2026-04-29 12:01:04.313162,Nepal Life Insurance Co. Ltd.
2026042903001438,NLIC,100,94,114,766.1,87335.4,2026-04-29,188486542,187,Sunrise Securities Limited,K.B.L. Securities Limited ,2026-04-29 12:01:04.313253,Nepal Life Insurance Co. Ltd.
2026042903001439,NLIC,64,94,30,766.1,22983.0,2026-04-29,188486544,187,SUN SECURITIES PVT LTD,K.B.L. Securities Limited ,2026-04-29 12:01:04.313343,Nepal Life Insurance Co. Ltd.
2026042903001440,NLIC,36,94,10,766.0,7660.0,2026-04-29,188486546,187,Secured Securities Ltd.,K.B.L. Securities Limited ,2026-04-29 12:01:04.313428,Nepal Life Insurance Co. Ltd.
2026042903001441,NLIC,58,94,35,766.0,26810.0,2026-04-29,188486548,187,Naasa Securities Co. Ltd.,K.B.L. Securities Limited ,2026-04-29 12:01:04.313509,Nepal Life Insurance Co. Ltd.
2026042903001442,NLIC,8,94,96,765.3,73468.8,2026-04-29,188486549,187,Brilliant Securities Pvt. Ltd.,K.B.L. Securities Limited ,2026-04-29 12:01:04.313594,Nepal Life Insurance Co. Ltd.
2026042903001511,NLIC,58,56,34,766.0,26044.0,2026-04-29,188488533,187,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-29 12:03:23.571840,Nepal Life Insurance Co. Ltd.
2026042903001520,NLIC,58,33,66,766.0,50556.0,2026-04-29,188489188,187,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-29 12:03:56.162258,Nepal Life Insurance Co. Ltd.
2026042903001521,NLIC,8,33,204,765.3,156121.2,2026-04-29,188489190,187,Brilliant Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-29 12:03:56.162421,Nepal Life Insurance Co. Ltd.
2026042903001522,NLIC,100,33,357,765.2,273176.4,2026-04-29,188489191,187,Sunrise Securities Limited,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-29 12:03:56.162478,Nepal Life Insurance Co. Ltd.
2026042903001698,NLIC,45,5,25,765.5,19137.5,2026-04-29,188494820,187,Imperial Securities Company Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-29 12:10:32.332263,Nepal Life Insurance Co. Ltd.
2026042903001699,NLIC,6,5,20,765.4,15308.0,2026-04-29,188494821,187,Agrawal Securities (PVT) Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-29 12:10:32.332432,Nepal Life Insurance Co. Ltd.
2026042903001802,NLIC,6,13,70,765.4,53578.0,2026-04-29,188497635,187,Agrawal Securities (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-29 12:14:02.392710,Nepal Life Insurance Co. Ltd.
2026042903001839,NLIC,8,4,188,766.0,144008.0,2026-04-29,188499161,187,Brilliant Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-29 12:15:46.657521,Nepal Life Insurance Co. Ltd.
2026042903001922,NLIC,61,41,8,760.0,6080.0,2026-04-29,188503441,187,BHOLE GANESH SECURITIES LTD,Linch Stock Market Ltd.,2026-04-29 12:21:08.764227,Nepal Life Insurance Co. Ltd.
2026042903001962,NLIC,14,14,36,766.1,27579.6,2026-04-29,188504775,187,Nepal Stock House (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-29 12:22:44.018592,Nepal Life Insurance Co. Ltd.
2026042903001976,NLIC,42,42,10,768.0,7680.0,2026-04-29,188505398,187,Sani Securities Company Ltd.,Sani Securities Company Ltd.,2026-04-29 12:23:27.363671,Nepal Life Insurance Co. Ltd.
2026042903001978,NLIC,10,19,1,765.0,765.0,2026-04-29,188505577,187,Pragyan Securities (PVT) Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-29 12:23:39.733523,Nepal Life Insurance Co. Ltd.
2026042903001983,NLIC,10,17,3,765.0,2295.0,2026-04-29,188505737,187,Pragyan Securities (PVT) Ltd.,ABC Securities Private Limited,2026-04-29 12:23:51.312967,Nepal Life Insurance Co. Ltd.
2026042903002033,NLIC,6,42,17,768.0,13056.0,2026-04-29,188508630,187,Agrawal Securities (PVT) Ltd.,Sani Securities Company Ltd.,2026-04-29 12:26:54.671408,Nepal Life Insurance Co. Ltd.
2026042903002046,NLIC,33,42,202,768.0,155136.0,2026-04-29,188509058,187,Dakshinkali Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-29 12:27:27.758164,Nepal Life Insurance Co. Ltd.
2026042903002182,NLIC,38,65,10,766.5,7665.0,2026-04-29,188514682,187,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sharepro Securities Private Limited,2026-04-29 12:34:23.078562,Nepal Life Insurance Co. Ltd.
2026042903002183,NLIC,14,65,64,766.1,49030.4,2026-04-29,188514684,187,Nepal Stock House (PVT) Ltd.,Sharepro Securities Private Limited,2026-04-29 12:34:23.078671,Nepal Life Insurance Co. Ltd.
2026042903002184,NLIC,8,65,12,766.0,9192.0,2026-04-29,188514686,187,Brilliant Securities Pvt. Ltd.,Sharepro Securities Private Limited,2026-04-29 12:34:23.078785,Nepal Life Insurance Co. Ltd.
2026042903002185,NLIC,8,65,114,766.0,87324.0,2026-04-29,188514687,187,Brilliant Securities Pvt. Ltd.,Sharepro Securities Private Limited,2026-04-29 12:34:23.078856,Nepal Life Insurance Co. Ltd.
2026042903002408,NLIC,42,13,22,768.0,16896.0,2026-04-29,188519674,187,Sani Securities Company Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-29 12:41:46.988572,Nepal Life Insurance Co. Ltd.
