contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026043003000726,CFCL,11,52,50,491.0,24550.0,2026-04-30,188645986,245,Malla & Malla Stock Broking Company Pvt. Limited,Sundhara Securities Limited,2026-04-30 11:24:15.375080,Central Finance Co. Ltd.
2026043003000727,CFCL,42,52,20,491.0,9820.0,2026-04-30,188645988,245,Sani Securities Company Ltd.,Sundhara Securities Limited,2026-04-30 11:24:15.375193,Central Finance Co. Ltd.
2026043003000728,CFCL,45,52,10,490.0,4900.0,2026-04-30,188645990,245,Imperial Securities Company Pvt. Ltd.,Sundhara Securities Limited,2026-04-30 11:24:15.375278,Central Finance Co. Ltd.
2026043003000729,CFCL,35,52,10,490.0,4900.0,2026-04-30,188645992,245,Kohinoor Investment & Securities Pvt. Ltd.,Sundhara Securities Limited,2026-04-30 11:24:15.375353,Central Finance Co. Ltd.
2026043003000730,CFCL,49,52,10,490.0,4900.0,2026-04-30,188645993,245,Online Securities Pvt. Ltd.,Sundhara Securities Limited,2026-04-30 11:24:15.375435,Central Finance Co. Ltd.
2026043003001365,CFCL,21,49,500,492.1,246050.0,2026-04-30,188660753,245,Midas Stock Broking Company Private Limited,Online Securities Pvt. Ltd.,2026-04-30 11:43:36.946168,Central Finance Co. Ltd.
2026043003001525,CFCL,44,49,50,492.0,24600.0,2026-04-30,188664926,245,Dynamic Money Managers Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-30 11:48:57.853143,Central Finance Co. Ltd.
2026043003001559,CFCL,62,49,10,492.0,4920.0,2026-04-30,188665586,245,Capital Max Securities Ltd,Online Securities Pvt. Ltd.,2026-04-30 11:49:53.993437,Central Finance Co. Ltd.
2026043003001647,CFCL,6,1,50,491.5,24575.0,2026-04-30,188667234,245,Agrawal Securities (PVT) Ltd.,Kumari Securities Private Limited,2026-04-30 11:52:10.726609,Central Finance Co. Ltd.
2026043003001664,CFCL,26,1,10,491.5,4915.0,2026-04-30,188667716,245,Asian Securities Private Ltd.,Kumari Securities Private Limited,2026-04-30 11:52:47.843448,Central Finance Co. Ltd.
2026043003001666,CFCL,47,22,100,491.1,49110.0,2026-04-30,188667748,245,Neev Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-30 11:52:51.536455,Central Finance Co. Ltd.
2026043003001667,CFCL,34,22,100,490.2,49020.0,2026-04-30,188667750,245,Vision Securities Pvt. Ltd,Siprabi Securities Pvt. Ltd.,2026-04-30 11:52:51.536529,Central Finance Co. Ltd.
