contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026043003000002,CORBL,96,20,50,2544.1,127205.0,Himalayan Securities Limited,Sipla Securities Private Limited,2026-04-30 10:46:00.054147
2026043003000003,CORBL,88,20,20,2544.1,50882.0,Blue Chip Securities Ltd,Sipla Securities Private Limited,2026-04-30 10:46:00.054181
2026043003000004,CORBL,17,20,100,2544.1,254410.0,ABC Securities Private Limited,Sipla Securities Private Limited,2026-04-30 10:46:00.054211
2026043003000005,CORBL,58,20,95,2544.1,241689.5,Naasa Securities Co. Ltd.,Sipla Securities Private Limited,2026-04-30 10:46:00.054238
2026043003000015,CORBL,87,72,10,2468.0,24680.0,S.P.S.A. Securities Limited,Hatemalo Financial Services Private Limited,2026-04-30 11:00:08.339617
2026043003000016,CORBL,87,72,10,2394.0,23940.0,S.P.S.A. Securities Limited,Hatemalo Financial Services Private Limited,2026-04-30 11:00:12.542569
2026043003000018,CORBL,58,87,10,2322.2,23222.0,Naasa Securities Co. Ltd.,S.P.S.A. Securities Limited,2026-04-30 11:00:47.244587
2026043003000019,CORBL,42,72,10,2322.2,23222.0,Sani Securities Company Ltd.,Hatemalo Financial Services Private Limited,2026-04-30 11:00:50.061141
2026043003000032,CORBL,48,87,10,2323.0,23230.0,Trishakti Securities Public Limited,S.P.S.A. Securities Limited,2026-04-30 11:01:05.060861
2026043003000060,CORBL,42,46,100,2323.0,232300.0,Sani Securities Company Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:02:24.079863
2026043003000061,CORBL,58,46,10,2322.3,23223.0,Naasa Securities Co. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:02:24.079931
2026043003000062,CORBL,57,46,100,2322.2,232220.0,Aryatara Investment & Securities,Kalika Securities Pvt. Ltd.,2026-04-30 11:02:24.079955
2026043003000063,CORBL,42,46,10,2285.0,22850.0,Sani Securities Company Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:02:24.079978
2026043003000090,CORBL,58,98,10,2290.0,22900.0,Naasa Securities Co. Ltd.,Trademow Securities Private Limited,2026-04-30 11:04:08.486777
2026043003000091,CORBL,58,98,10,2286.0,22860.0,Naasa Securities Co. Ltd.,Trademow Securities Private Limited,2026-04-30 11:04:08.486906
2026043003000092,CORBL,5,98,80,2285.5,182840.0,Market Securities & Exchange (PVT) Ltd.,Trademow Securities Private Limited,2026-04-30 11:04:08.486951
2026043003000096,CORBL,42,46,50,2300.0,115000.0,Sani Securities Company Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:04:24.343587
2026043003000099,CORBL,35,46,20,2300.0,46000.0,Kohinoor Investment & Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:04:43.159128
2026043003000150,CORBL,44,46,100,2300.0,230000.0,Dynamic Money Managers Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:07:02.607624
2026043003000161,CORBL,17,46,500,2300.0,1150000.0,ABC Securities Private Limited,Kalika Securities Pvt. Ltd.,2026-04-30 11:07:38.896115
2026043003000164,CORBL,38,46,500,2300.0,1150000.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:07:45.073999
2026043003000171,CORBL,38,46,20,2300.0,46000.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:08:07.615485
2026043003000173,CORBL,64,46,30,2300.0,69000.0,SUN SECURITIES PVT LTD,Kalika Securities Pvt. Ltd.,2026-04-30 11:08:13.428429
2026043003000182,CORBL,26,46,10,2300.0,23000.0,Asian Securities Private Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:08:31.097991
2026043003000196,CORBL,35,46,100,2300.0,230000.0,Kohinoor Investment & Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:09:25.731414
2026043003000197,CORBL,70,46,1000,2300.0,2300000.0,Infinity Securities Limited,Kalika Securities Pvt. Ltd.,2026-04-30 11:09:26.064470
2026043003000201,CORBL,39,46,10,2300.0,23000.0,Sumeru Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:09:35.163205
2026043003000208,CORBL,70,46,100,2300.0,230000.0,Infinity Securities Limited,Kalika Securities Pvt. Ltd.,2026-04-30 11:10:01.353568
2026043003000211,CORBL,26,46,30,2300.0,69000.0,Asian Securities Private Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:10:05.584474
2026043003000224,CORBL,58,46,10,2300.0,23000.0,Naasa Securities Co. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:10:37.084817
2026043003000227,CORBL,38,46,20,2300.0,46000.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:10:46.778222
2026043003000260,CORBL,19,46,20,2300.0,46000.0,Nepal Investment And Securities Trading Private Limited,Kalika Securities Pvt. Ltd.,2026-04-30 11:11:16.495817
2026043003000295,CORBL,5,46,200,2300.0,460000.0,Market Securities & Exchange (PVT) Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:12:14.952962
2026043003000305,CORBL,58,46,10,2300.0,23000.0,Naasa Securities Co. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:12:42.803154
2026043003000340,CORBL,58,46,35,2300.0,80500.0,Naasa Securities Co. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:13:27.081938
2026043003000344,CORBL,36,46,20,2300.0,46000.0,Secured Securities Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:13:32.819779
2026043003000353,CORBL,58,46,10,2300.0,23000.0,Naasa Securities Co. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:14:02.143940
2026043003000365,CORBL,3,46,200,2300.0,460000.0,Arun Securities (PVT) Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:14:17.617894
2026043003000374,CORBL,49,50,10,2300.0,23000.0,Online Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-30 11:14:36.464703
2026043003000412,CORBL,26,50,20,2300.0,46000.0,Asian Securities Private Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-30 11:15:21.624429
2026043003000413,CORBL,26,46,30,2300.0,69000.0,Asian Securities Private Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:15:21.624638
2026043003000425,CORBL,5,46,20,2300.0,46000.0,Market Securities & Exchange (PVT) Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:15:33.942455
2026043003000436,CORBL,58,41,10,2295.2,22952.0,Naasa Securities Co. Ltd.,Linch Stock Market Ltd.,2026-04-30 11:16:24.473290
2026043003000444,CORBL,44,46,50,2300.0,115000.0,Dynamic Money Managers Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:16:41.335339
2026043003000469,CORBL,42,46,10,2300.0,23000.0,Sani Securities Company Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:17:11.231605
2026043003000528,CORBL,17,46,100,2300.0,230000.0,ABC Securities Private Limited,Kalika Securities Pvt. Ltd.,2026-04-30 11:18:46.668518
2026043003000568,CORBL,7,46,100,2300.0,230000.0,J.F. Securites (PVT) Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:19:36.950946
2026043003000593,CORBL,62,46,20,2300.0,46000.0,Capital Max Securities Ltd,Kalika Securities Pvt. Ltd.,2026-04-30 11:20:34.186709
2026043003000603,CORBL,36,46,200,2300.0,460000.0,Secured Securities Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:20:58.906571
2026043003000618,CORBL,60,46,100,2300.0,230000.0,Nagarik Stock Dealer ,Kalika Securities Pvt. Ltd.,2026-04-30 11:21:21.895037
2026043003000625,CORBL,58,49,10,2295.3,22953.0,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,2026-04-30 11:21:34.393855
2026043003000756,CORBL,87,46,170,2300.0,391000.0,S.P.S.A. Securities Limited,Kalika Securities Pvt. Ltd.,2026-04-30 11:25:23.291554
2026043003000757,CORBL,87,46,260,2300.0,598000.0,S.P.S.A. Securities Limited,Kalika Securities Pvt. Ltd.,2026-04-30 11:25:23.291789
2026043003000799,CORBL,58,46,21,2300.0,48300.0,Naasa Securities Co. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:26:32.629334
2026043003000810,CORBL,89,46,10,2300.0,23000.0,Global IME Securities Limited,Kalika Securities Pvt. Ltd.,2026-04-30 11:26:47.020980
2026043003000928,CORBL,26,46,40,2300.0,92000.0,Asian Securities Private Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:30:37.627650
2026043003000939,CORBL,58,46,12,2300.0,27600.0,Naasa Securities Co. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:30:54.653633
2026043003000957,CORBL,34,46,10,2300.0,23000.0,Vision Securities Pvt. Ltd,Kalika Securities Pvt. Ltd.,2026-04-30 11:31:26.217505
2026043003000976,CORBL,34,46,10,2300.0,23000.0,Vision Securities Pvt. Ltd,Kalika Securities Pvt. Ltd.,2026-04-30 11:32:02.628914
2026043003000978,CORBL,87,32,200,2295.3,459060.0,S.P.S.A. Securities Limited,Premier Securities Company Ltd.,2026-04-30 11:32:07.714101
2026043003000985,CORBL,87,32,200,2295.3,459060.0,S.P.S.A. Securities Limited,Premier Securities Company Ltd.,2026-04-30 11:32:21.407899
2026043003000991,CORBL,87,32,200,2295.3,459060.0,S.P.S.A. Securities Limited,Premier Securities Company Ltd.,2026-04-30 11:32:31.055943
2026043003001013,CORBL,39,46,18,2300.0,41400.0,Sumeru Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:32:40.415324
2026043003001041,CORBL,57,32,30,2295.2,68856.0,Aryatara Investment & Securities,Premier Securities Company Ltd.,2026-04-30 11:32:55.985642
2026043003001042,CORBL,58,32,10,2295.1,22951.0,Naasa Securities Co. Ltd.,Premier Securities Company Ltd.,2026-04-30 11:32:55.985855
2026043003001043,CORBL,44,32,20,2295.1,45902.0,Dynamic Money Managers Securities Pvt. Ltd.,Premier Securities Company Ltd.,2026-04-30 11:32:55.985994
2026043003001044,CORBL,87,32,140,2295.0,321300.0,S.P.S.A. Securities Limited,Premier Securities Company Ltd.,2026-04-30 11:32:55.986157
2026043003001051,CORBL,87,32,200,2295.0,459000.0,S.P.S.A. Securities Limited,Premier Securities Company Ltd.,2026-04-30 11:33:07.245726
2026043003001054,CORBL,49,46,10,2300.0,23000.0,Online Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:33:12.286509
