contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026043003000266,GUFL,49,38,10,513.0,5130.0,2026-04-30,188633768,204,Online Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 11:11:33.697690,Gurkhas Finance Ltd.
2026043003000282,GUFL,21,38,90,513.0,46170.0,2026-04-30,188634197,204,Midas Stock Broking Company Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 11:11:59.202749,Gurkhas Finance Ltd.
2026043003000352,GUFL,21,58,100,513.0,51300.0,2026-04-30,188635979,204,Midas Stock Broking Company Private Limited,Naasa Securities Co. Ltd.,2026-04-30 11:13:58.646737,Gurkhas Finance Ltd.
2026043003000362,GUFL,21,36,10,513.0,5130.0,2026-04-30,188636262,204,Midas Stock Broking Company Private Limited,Secured Securities Ltd.,2026-04-30 11:14:13.061616,Gurkhas Finance Ltd.
2026043003001636,GUFL,41,45,446,513.5,229021.0,2026-04-30,188666963,204,Linch Stock Market Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-30 11:51:44.106606,Gurkhas Finance Ltd.
2026043003001648,GUFL,41,36,40,513.5,20540.0,2026-04-30,188667241,204,Linch Stock Market Ltd.,Secured Securities Ltd.,2026-04-30 11:52:11.865662,Gurkhas Finance Ltd.
2026043003001856,GUFL,41,19,10,513.5,5135.0,2026-04-30,188673321,204,Linch Stock Market Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-30 12:00:31.839540,Gurkhas Finance Ltd.
2026043003002260,GUFL,57,58,49,516.9,25328.1,2026-04-30,188684161,204,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-30 12:17:46.713806,Gurkhas Finance Ltd.
2026043003002261,GUFL,57,3,52,517.0,26884.0,2026-04-30,188684163,204,Aryatara Investment & Securities,Arun Securities (PVT) Ltd.,2026-04-30 12:17:46.713963,Gurkhas Finance Ltd.
2026043003002262,GUFL,57,70,150,517.4,77610.0,2026-04-30,188684165,204,Aryatara Investment & Securities,Infinity Securities Limited,2026-04-30 12:17:46.714087,Gurkhas Finance Ltd.
2026043003002263,GUFL,57,7,149,517.5,77107.5,2026-04-30,188684168,204,Aryatara Investment & Securities,J.F. Securites (PVT) Ltd.,2026-04-30 12:17:46.714185,Gurkhas Finance Ltd.
2026043003002542,GUFL,44,36,18,515.0,9270.0,2026-04-30,188690266,204,Dynamic Money Managers Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-30 12:27:53.018676,Gurkhas Finance Ltd.
2026043003002634,GUFL,57,36,200,515.0,103000.0,2026-04-30,188691560,204,Aryatara Investment & Securities,Secured Securities Ltd.,2026-04-30 12:30:44.867113,Gurkhas Finance Ltd.
2026043003002728,GUFL,45,36,200,515.0,103000.0,2026-04-30,188693942,204,Imperial Securities Company Pvt. Ltd.,Secured Securities Ltd.,2026-04-30 12:34:45.652236,Gurkhas Finance Ltd.
2026043003002746,GUFL,7,36,50,515.0,25750.0,2026-04-30,188694286,204,J.F. Securites (PVT) Ltd.,Secured Securities Ltd.,2026-04-30 12:35:24.637222,Gurkhas Finance Ltd.
2026043003002781,GUFL,58,51,10,514.0,5140.0,2026-04-30,188695035,204,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-30 12:37:04.526139,Gurkhas Finance Ltd.
2026043003002867,GUFL,45,36,100,515.0,51500.0,2026-04-30,188696862,204,Imperial Securities Company Pvt. Ltd.,Secured Securities Ltd.,2026-04-30 12:41:06.459177,Gurkhas Finance Ltd.
2026043003002901,GUFL,57,36,80,515.0,41200.0,2026-04-30,188697614,204,Aryatara Investment & Securities,Secured Securities Ltd.,2026-04-30 12:42:43.461271,Gurkhas Finance Ltd.
2026043003002969,GUFL,42,38,200,516.5,103300.0,2026-04-30,188699654,204,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 12:45:44.194872,Gurkhas Finance Ltd.
2026043003003119,GUFL,62,38,290,516.5,149785.0,2026-04-30,188702854,204,Capital Max Securities Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 12:52:19.659404,Gurkhas Finance Ltd.
2026043003003352,GUFL,21,70,190,516.0,98040.0,2026-04-30,188709857,204,Midas Stock Broking Company Private Limited,Infinity Securities Limited,2026-04-30 13:02:27.711219,Gurkhas Finance Ltd.
2026043003003439,GUFL,57,1,20,517.2,10344.0,2026-04-30,188711862,204,Aryatara Investment & Securities,Kumari Securities Private Limited,2026-04-30 13:04:42.993536,Gurkhas Finance Ltd.
2026043003003492,GUFL,101,1,80,517.2,41376.0,2026-04-30,188714209,204,APPLE SECURITIES PRIVATE LIMITED,Kumari Securities Private Limited,2026-04-30 13:06:58.524705,Gurkhas Finance Ltd.
2026043003003493,GUFL,101,70,200,517.2,103440.0,2026-04-30,188714212,204,APPLE SECURITIES PRIVATE LIMITED,Infinity Securities Limited,2026-04-30 13:06:58.524875,Gurkhas Finance Ltd.
2026043003003508,GUFL,101,7,71,517.3,36728.3,2026-04-30,188714803,204,APPLE SECURITIES PRIVATE LIMITED,J.F. Securites (PVT) Ltd.,2026-04-30 13:07:29.325556,Gurkhas Finance Ltd.
2026043003003509,GUFL,101,35,149,517.3,77077.7,2026-04-30,188714806,204,APPLE SECURITIES PRIVATE LIMITED,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 13:07:29.325720,Gurkhas Finance Ltd.
2026043003003547,GUFL,58,35,490,517.3,253477.0,2026-04-30,188715994,204,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 13:09:07.646545,Gurkhas Finance Ltd.
2026043003003654,GUFL,74,35,600,517.3,310380.0,2026-04-30,188718994,204,KALASH STOCK MARKET PVT. LTD.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 13:12:19.369149,Gurkhas Finance Ltd.
2026043003003706,GUFL,21,35,60,517.3,31038.0,2026-04-30,188720054,204,Midas Stock Broking Company Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 13:13:41.371142,Gurkhas Finance Ltd.
2026043003003879,GUFL,49,35,19,517.3,9828.7,2026-04-30,188723352,204,Online Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 13:18:17.709941,Gurkhas Finance Ltd.
2026043003004028,GUFL,21,35,52,517.3,26899.6,2026-04-30,188726901,204,Midas Stock Broking Company Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 13:21:41.788957,Gurkhas Finance Ltd.
2026043003004029,GUFL,21,58,198,517.5,102465.0,2026-04-30,188726904,204,Midas Stock Broking Company Private Limited,Naasa Securities Co. Ltd.,2026-04-30 13:21:41.789050,Gurkhas Finance Ltd.
2026043003004262,GUFL,1,70,46,516.5,23759.0,2026-04-30,188730854,204,Kumari Securities Private Limited,Infinity Securities Limited,2026-04-30 13:29:39.062941,Gurkhas Finance Ltd.
2026043003004263,GUFL,49,70,154,516.1,79479.4,2026-04-30,188730855,204,Online Securities Pvt. Ltd.,Infinity Securities Limited,2026-04-30 13:29:39.063136,Gurkhas Finance Ltd.
2026043003004287,GUFL,49,19,45,516.1,23224.5,2026-04-30,188731173,204,Online Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-30 13:30:31.178189,Gurkhas Finance Ltd.
2026043003004295,GUFL,4,19,100,515.0,51500.0,2026-04-30,188731321,204,Opal Securities Investment (PVT) Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-30 13:30:57.946322,Gurkhas Finance Ltd.
2026043003004320,GUFL,56,19,200,513.5,102700.0,2026-04-30,188731702,204,Sri Hari Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-30 13:32:09.455088,Gurkhas Finance Ltd.
2026043003004321,GUFL,56,19,10,513.5,5135.0,2026-04-30,188731703,204,Sri Hari Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-30 13:32:09.455264,Gurkhas Finance Ltd.
2026043003004577,GUFL,42,1,70,517.0,36190.0,2026-04-30,188736753,204,Sani Securities Company Ltd.,Kumari Securities Private Limited,2026-04-30 13:45:28.187966,Gurkhas Finance Ltd.
2026043003004578,GUFL,42,34,230,517.0,118910.0,2026-04-30,188736756,204,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,2026-04-30 13:45:28.188059,Gurkhas Finance Ltd.
2026043003004800,GUFL,1,34,10,517.0,5170.0,2026-04-30,188740800,204,Kumari Securities Private Limited,Vision Securities Pvt. Ltd,2026-04-30 13:54:41.556874,Gurkhas Finance Ltd.
2026043003005494,GUFL,57,34,250,516.8,129200.0,2026-04-30,188753732,204,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,2026-04-30 14:23:05.543831,Gurkhas Finance Ltd.
2026043003005588,GUFL,49,34,60,516.8,31008.0,2026-04-30,188755388,204,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-30 14:26:07.126549,Gurkhas Finance Ltd.
2026043003005759,GUFL,29,34,1500,517.2,775800.0,2026-04-30,188758924,204,Trisul Securities & Invt. Ltd.,Vision Securities Pvt. Ltd,2026-04-30 14:31:34.181352,Gurkhas Finance Ltd.
2026043003005873,GUFL,48,34,100,517.2,51720.0,2026-04-30,188760810,204,Trishakti Securities Public Limited,Vision Securities Pvt. Ltd,2026-04-30 14:34:08.816429,Gurkhas Finance Ltd.
2026043003005917,GUFL,58,34,66,516.0,34056.0,2026-04-30,188761557,204,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,2026-04-30 14:35:23.357492,Gurkhas Finance Ltd.
2026043003006054,GUFL,58,58,184,517.3,95183.2,2026-04-30,188765490,204,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-30 14:40:56.211976,Gurkhas Finance Ltd.
2026043003006176,GUFL,42,58,10,517.3,5173.0,2026-04-30,188767744,204,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-30 14:43:57.157155,Gurkhas Finance Ltd.
2026043003006319,GUFL,49,34,15,517.0,7755.0,2026-04-30,188769817,204,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-30 14:47:15.053158,Gurkhas Finance Ltd.
2026043003006339,GUFL,62,58,302,517.5,156285.0,2026-04-30,188770117,204,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,2026-04-30 14:47:45.862581,Gurkhas Finance Ltd.
2026043003006340,GUFL,62,51,198,517.5,102465.0,2026-04-30,188770120,204,Capital Max Securities Ltd,Oxford Securities Pvt. Ltd.,2026-04-30 14:47:45.862757,Gurkhas Finance Ltd.
2026043003006417,GUFL,49,32,200,517.5,103500.0,2026-04-30,188771072,204,Online Securities Pvt. Ltd.,Premier Securities Company Ltd.,2026-04-30 14:49:11.951378,Gurkhas Finance Ltd.
2026043003006563,GUFL,62,35,500,518.0,259000.0,2026-04-30,188773092,204,Capital Max Securities Ltd,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 14:51:41.651036,Gurkhas Finance Ltd.
2026043003006638,GUFL,56,74,184,518.0,95312.0,2026-04-30,188774728,204,Sri Hari Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-30 14:53:32.640737,Gurkhas Finance Ltd.
2026043003006752,GUFL,13,16,11,518.1,5699.1,2026-04-30,188776498,204,Thrive Brokerage House Pvt. Ltd,Primo Securities (PVT) Ltd.,2026-04-30 14:55:11.242705,Gurkhas Finance Ltd.
2026043003007024,GUFL,45,45,100,518.0,51800.0,2026-04-30,188779878,204,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-30 14:57:36.970408,Gurkhas Finance Ltd.
2026043003007025,GUFL,49,45,185,517.0,95645.0,2026-04-30,188779880,204,Online Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-30 14:57:36.970632,Gurkhas Finance Ltd.
2026043003007026,GUFL,36,45,100,517.0,51700.0,2026-04-30,188779882,204,Secured Securities Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-30 14:57:36.970756,Gurkhas Finance Ltd.
2026043003007027,GUFL,32,45,50,517.0,25850.0,2026-04-30,188779884,204,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-30 14:57:36.970878,Gurkhas Finance Ltd.
2026043003007098,GUFL,21,45,300,517.0,155100.0,2026-04-30,188780850,204,Midas Stock Broking Company Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-30 14:58:12.885493,Gurkhas Finance Ltd.
2026043003007258,GUFL,22,45,265,517.0,137005.0,2026-04-30,188782999,204,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-30 14:59:15.932699,Gurkhas Finance Ltd.
2026043003007259,GUFL,22,13,35,517.0,18095.0,2026-04-30,188783002,204,Siprabi Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-30 14:59:15.932875,Gurkhas Finance Ltd.
2026043003007273,GUFL,4,13,10,517.0,5170.0,2026-04-30,188783132,204,Opal Securities Investment (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-30 14:59:18.066556,Gurkhas Finance Ltd.
2026043003007328,GUFL,6,13,55,517.0,28435.0,2026-04-30,188784336,204,Agrawal Securities (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-30 14:59:34.213462,Gurkhas Finance Ltd.
2026043003007329,GUFL,6,13,20,517.0,10340.0,2026-04-30,188784338,204,Agrawal Securities (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-30 14:59:34.213546,Gurkhas Finance Ltd.
2026043003007330,GUFL,6,16,42,518.1,21760.2,2026-04-30,188784340,204,Agrawal Securities (PVT) Ltd.,Primo Securities (PVT) Ltd.,2026-04-30 14:59:34.213586,Gurkhas Finance Ltd.
