contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026043004000008,HDHPC,58,71,20,220.1,4402.0,2026-04-30,188626051,2880,Naasa Securities Co. Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,2026-04-30 10:46:00.094427,Himal Dolakha Hydropower Company Limited
2026043004000011,HDHPC,58,71,85,220.0,18700.0,2026-04-30,188626146,2880,Naasa Securities Co. Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,2026-04-30 11:00:23.712954,Himal Dolakha Hydropower Company Limited
2026043004000087,HDHPC,22,7,25,220.1,5502.5,2026-04-30,188626856,2880,Siprabi Securities Pvt. Ltd.,J.F. Securites (PVT) Ltd.,2026-04-30 11:01:42.976641,Himal Dolakha Hydropower Company Limited
2026043004000148,HDHPC,13,47,54,221.0,11934.0,2026-04-30,188627579,2880,Thrive Brokerage House Pvt. Ltd,Neev Securities Pvt. Ltd.,2026-04-30 11:02:47.097203,Himal Dolakha Hydropower Company Limited
2026043004000174,HDHPC,13,25,46,221.0,10166.0,2026-04-30,188627929,2880,Thrive Brokerage House Pvt. Ltd,Sweta Securities Private Limited,2026-04-30 11:03:18.263700,Himal Dolakha Hydropower Company Limited
2026043004000181,HDHPC,58,10,70,220.0,15400.0,2026-04-30,188627958,2880,Naasa Securities Co. Ltd.,Pragyan Securities (PVT) Ltd.,2026-04-30 11:03:19.644240,Himal Dolakha Hydropower Company Limited
2026043004000182,HDHPC,34,10,50,220.0,11000.0,2026-04-30,188627960,2880,Vision Securities Pvt. Ltd,Pragyan Securities (PVT) Ltd.,2026-04-30 11:03:19.644411,Himal Dolakha Hydropower Company Limited
2026043004000183,HDHPC,18,10,50,220.0,11000.0,2026-04-30,188627962,2880,Sagarmatha Securities Private Limited,Pragyan Securities (PVT) Ltd.,2026-04-30 11:03:19.644506,Himal Dolakha Hydropower Company Limited
2026043004000210,HDHPC,13,10,50,220.0,11000.0,2026-04-30,188628085,2880,Thrive Brokerage House Pvt. Ltd,Pragyan Securities (PVT) Ltd.,2026-04-30 11:03:27.239409,Himal Dolakha Hydropower Company Limited
2026043004000222,HDHPC,13,38,100,221.0,22100.0,2026-04-30,188628171,2880,Thrive Brokerage House Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 11:03:34.263424,Himal Dolakha Hydropower Company Limited
