contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026043003000054,LBBL,19,22,10,490.0,4900.0,Nepal Investment And Securities Trading Private Limited,Siprabi Securities Pvt. Ltd.,2026-04-30 11:02:08.352979
2026043003000057,LBBL,59,63,900,488.0,439200.0,Deevyaa Securities & Stock House Pvt. Ltd,Himalayan Brokerage Company Limited,2026-04-30 11:02:21.330299
2026043003000076,LBBL,59,88,900,485.0,436500.0,Deevyaa Securities & Stock House Pvt. Ltd,Blue Chip Securities Ltd,2026-04-30 11:02:55.580010
2026043003000137,LBBL,62,88,200,487.5,97500.0,Capital Max Securities Ltd,Blue Chip Securities Ltd,2026-04-30 11:06:35.179974
2026043003000225,LBBL,57,34,101,485.0,48985.0,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,2026-04-30 11:10:37.773743
2026043003000249,LBBL,57,63,340,485.0,164900.0,Aryatara Investment & Securities,Himalayan Brokerage Company Limited,2026-04-30 11:11:02.131077
2026043003000262,LBBL,58,58,100,487.4,48740.0,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-30 11:11:24.775544
2026043003000263,LBBL,57,88,59,485.0,28615.0,Aryatara Investment & Securities,Blue Chip Securities Ltd,2026-04-30 11:11:29.830493
2026043003000264,LBBL,3,88,441,484.1,213488.1,Arun Securities (PVT) Ltd.,Blue Chip Securities Ltd,2026-04-30 11:11:29.830576
2026043003000343,LBBL,3,42,59,484.1,28561.9,Arun Securities (PVT) Ltd.,Sani Securities Company Ltd.,2026-04-30 11:13:30.839048
2026043003000364,LBBL,62,42,241,484.1,116668.1,Capital Max Securities Ltd,Sani Securities Company Ltd.,2026-04-30 11:14:16.217003
2026043003000395,LBBL,34,88,100,484.0,48400.0,Vision Securities Pvt. Ltd,Blue Chip Securities Ltd,2026-04-30 11:15:05.118305
2026043003000396,LBBL,82,88,100,484.0,48400.0,N.M.B. SECURITIES LIMITED,Blue Chip Securities Ltd,2026-04-30 11:15:05.118487
2026043003000397,LBBL,44,88,200,483.1,96620.0,Dynamic Money Managers Securities Pvt. Ltd.,Blue Chip Securities Ltd,2026-04-30 11:15:05.118597
2026043003000398,LBBL,100,88,1500,480.2,720300.0,Sunrise Securities Limited,Blue Chip Securities Ltd,2026-04-30 11:15:05.118704
2026043003000399,LBBL,3,88,600,480.1,288060.0,Arun Securities (PVT) Ltd.,Blue Chip Securities Ltd,2026-04-30 11:15:05.118806
2026043003000504,LBBL,46,22,20,485.0,9700.0,Kalika Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-30 11:18:10.269311
2026043003000599,LBBL,26,22,30,485.0,14550.0,Asian Securities Private Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-30 11:20:52.324294
2026043003000600,LBBL,26,58,470,485.0,227950.0,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,2026-04-30 11:20:52.324410
2026043003000610,LBBL,39,87,50,481.1,24055.0,Sumeru Securities Pvt. Ltd.,S.P.S.A. Securities Limited,2026-04-30 11:21:08.548063
2026043003000611,LBBL,57,87,390,481.0,187590.0,Aryatara Investment & Securities,S.P.S.A. Securities Limited,2026-04-30 11:21:08.548110
2026043003000669,LBBL,57,34,110,481.0,52910.0,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,2026-04-30 11:22:35.264262
2026043003000670,LBBL,62,34,90,481.0,43290.0,Capital Max Securities Ltd,Vision Securities Pvt. Ltd,2026-04-30 11:22:35.264436
2026043003000709,LBBL,63,42,100,481.1,48110.0,Himalayan Brokerage Company Limited,Sani Securities Company Ltd.,2026-04-30 11:23:53.190552
2026043003000742,LBBL,63,74,20,481.1,9622.0,Himalayan Brokerage Company Limited,KALASH STOCK MARKET PVT. LTD.,2026-04-30 11:24:32.516334
2026043003000769,LBBL,33,58,20,483.9,9678.0,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-30 11:25:51.991702
2026043003000847,LBBL,63,58,1000,483.8,483800.0,Himalayan Brokerage Company Limited,Naasa Securities Co. Ltd.,2026-04-30 11:27:49.821926
2026043003000848,LBBL,63,58,120,483.9,58068.0,Himalayan Brokerage Company Limited,Naasa Securities Co. Ltd.,2026-04-30 11:27:49.822044
2026043003000887,LBBL,47,58,124,483.9,60003.6,Neev Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-30 11:29:06.298203
2026043003000903,LBBL,59,58,200,483.9,96780.0,Deevyaa Securities & Stock House Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-30 11:29:58.581875
2026043003000921,LBBL,40,58,36,483.9,17420.4,Creative Securities Pvt Ltd,Naasa Securities Co. Ltd.,2026-04-30 11:30:22.767672
2026043003001053,LBBL,57,58,500,484.9,242450.0,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-30 11:33:11.273279
2026043003001088,LBBL,45,58,30,484.9,14547.0,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-30 11:34:07.094089
2026043003001097,LBBL,45,58,20,484.9,9698.0,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-30 11:34:30.264627
2026043003001104,LBBL,48,58,45,484.8,21816.0,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,2026-04-30 11:34:43.361970
2026043003001134,LBBL,38,35,10,484.0,4840.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:36:16.818236
2026043003001135,LBBL,46,35,40,484.0,19360.0,Kalika Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:36:16.818456
2026043003001243,LBBL,57,58,300,484.7,145410.0,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-30 11:40:11.599799
2026043003001410,LBBL,46,88,60,484.0,29040.0,Kalika Securities Pvt. Ltd.,Blue Chip Securities Ltd,2026-04-30 11:45:11.131802
2026043003001411,LBBL,45,88,20,484.0,9680.0,Imperial Securities Company Pvt. Ltd.,Blue Chip Securities Ltd,2026-04-30 11:45:11.132075
2026043003001412,LBBL,49,88,300,484.0,145200.0,Online Securities Pvt. Ltd.,Blue Chip Securities Ltd,2026-04-30 11:45:11.132222
2026043003001453,LBBL,44,88,120,484.0,58080.0,Dynamic Money Managers Securities Pvt. Ltd.,Blue Chip Securities Ltd,2026-04-30 11:47:11.560060
2026043003001454,LBBL,44,47,61,484.7,29566.7,Dynamic Money Managers Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-30 11:47:11.560184
2026043003001592,LBBL,58,29,26,483.3,12565.8,Naasa Securities Co. Ltd.,Trisul Securities & Invt. Ltd.,2026-04-30 11:50:26.646325
2026043003001632,LBBL,58,58,95,483.3,45913.5,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-30 11:51:36.501013
2026043003001736,LBBL,57,14,31,483.5,14988.5,Aryatara Investment & Securities,Nepal Stock House (PVT) Ltd.,2026-04-30 11:54:27.257155
2026043003001834,LBBL,46,13,100,484.0,48400.0,Kalika Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-30 11:59:45.440268
2026043003001884,LBBL,57,34,269,483.5,130061.5,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,2026-04-30 12:02:28.542856
2026043003001885,LBBL,38,34,20,483.5,9670.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Vision Securities Pvt. Ltd,2026-04-30 12:02:28.542957
2026043003001886,LBBL,74,34,411,483.0,198513.0,KALASH STOCK MARKET PVT. LTD.,Vision Securities Pvt. Ltd,2026-04-30 12:02:28.542979
2026043003001940,LBBL,74,34,89,483.0,42987.0,KALASH STOCK MARKET PVT. LTD.,Vision Securities Pvt. Ltd,2026-04-30 12:05:41.360584
2026043003001941,LBBL,46,34,100,482.2,48220.0,Kalika Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-30 12:05:41.360683
2026043003001942,LBBL,36,34,154,482.1,74243.4,Secured Securities Ltd.,Vision Securities Pvt. Ltd,2026-04-30 12:05:41.360760
2026043003002230,LBBL,51,60,50,483.0,24150.0,Oxford Securities Pvt. Ltd.,Nagarik Stock Dealer ,2026-04-30 12:16:51.741859
2026043003002243,LBBL,13,60,100,483.0,48300.0,Thrive Brokerage House Pvt. Ltd,Nagarik Stock Dealer ,2026-04-30 12:17:13.810585
2026043003002266,LBBL,1,60,100,483.0,48300.0,Kumari Securities Private Limited,Nagarik Stock Dealer ,2026-04-30 12:18:01.717986
2026043003002327,LBBL,34,60,150,483.0,72450.0,Vision Securities Pvt. Ltd,Nagarik Stock Dealer ,2026-04-30 12:20:28.991051
2026043003002375,LBBL,42,60,100,483.0,48300.0,Sani Securities Company Ltd.,Nagarik Stock Dealer ,2026-04-30 12:21:54.381676
2026043003002401,LBBL,43,60,200,483.0,96600.0,South Asian Bulls Pvt. Ltd.,Nagarik Stock Dealer ,2026-04-30 12:23:09.715431
2026043003002482,LBBL,14,60,50,483.0,24150.0,Nepal Stock House (PVT) Ltd.,Nagarik Stock Dealer ,2026-04-30 12:25:54.426583
2026043003002629,LBBL,57,60,100,482.6,48260.0,Aryatara Investment & Securities,Nagarik Stock Dealer ,2026-04-30 12:30:41.572448
2026043003002630,LBBL,57,60,100,482.5,48250.0,Aryatara Investment & Securities,Nagarik Stock Dealer ,2026-04-30 12:30:41.572714
2026043003002631,LBBL,36,60,46,482.1,22176.6,Secured Securities Ltd.,Nagarik Stock Dealer ,2026-04-30 12:30:41.572893
2026043003002686,LBBL,36,13,200,483.0,96600.0,Secured Securities Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-30 12:32:24.719290
2026043003002807,LBBL,39,58,100,484.4,48440.0,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-30 12:38:24.892508
2026043003002808,LBBL,39,16,1000,484.4,484400.0,Sumeru Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-30 12:38:24.892756
2026043003002811,LBBL,58,51,150,484.5,72675.0,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-30 12:38:43.231520
2026043003002903,LBBL,34,8,100,484.0,48400.0,Vision Securities Pvt. Ltd,Brilliant Securities Pvt. Ltd.,2026-04-30 12:42:54.160632
2026043003002904,LBBL,42,8,135,484.0,65340.0,Sani Securities Company Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-30 12:43:13.563479
2026043003002912,LBBL,22,8,11,484.0,5324.0,Siprabi Securities Pvt. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-30 12:43:48.823601
2026043003002913,LBBL,59,8,254,484.0,122936.0,Deevyaa Securities & Stock House Pvt. Ltd,Brilliant Securities Pvt. Ltd.,2026-04-30 12:43:49.009823
2026043003002988,LBBL,40,58,10,484.6,4846.0,Creative Securities Pvt Ltd,Naasa Securities Co. Ltd.,2026-04-30 12:46:15.215206
2026043003003003,LBBL,57,47,439,484.7,212783.3,Aryatara Investment & Securities,Neev Securities Pvt. Ltd.,2026-04-30 12:46:57.135183
2026043003003004,LBBL,57,58,61,484.8,29572.8,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-30 12:46:57.135440
2026043003003063,LBBL,1,58,50,484.8,24240.0,Kumari Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-30 12:49:53.343796
2026043003003086,LBBL,58,33,5,475.0,2375.0,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-30 12:51:06.384097
2026043003003162,LBBL,58,58,350,484.8,169680.0,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-30 12:54:40.850420
2026043003003277,LBBL,34,58,374,484.8,181315.2,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-30 12:59:16.719996
2026043003003278,LBBL,34,22,400,485.0,194000.0,Vision Securities Pvt. Ltd,Siprabi Securities Pvt. Ltd.,2026-04-30 12:59:16.720351
2026043003003348,LBBL,45,88,45,485.5,21847.5,Imperial Securities Company Pvt. Ltd.,Blue Chip Securities Ltd,2026-04-30 13:02:14.415041
2026043003003379,LBBL,34,21,226,485.0,109610.0,Vision Securities Pvt. Ltd,Midas Stock Broking Company Private Limited,2026-04-30 13:03:15.792257
2026043003003380,LBBL,59,21,162,485.0,78570.0,Deevyaa Securities & Stock House Pvt. Ltd,Midas Stock Broking Company Private Limited,2026-04-30 13:03:15.792471
2026043003003387,LBBL,1,88,300,485.5,145650.0,Kumari Securities Private Limited,Blue Chip Securities Ltd,2026-04-30 13:03:32.250371
2026043003003412,LBBL,43,88,50,485.5,24275.0,South Asian Bulls Pvt. Ltd.,Blue Chip Securities Ltd,2026-04-30 13:04:00.772470
2026043003003456,LBBL,5,88,50,485.5,24275.0,Market Securities & Exchange (PVT) Ltd.,Blue Chip Securities Ltd,2026-04-30 13:05:25.434088
2026043003003518,LBBL,43,88,50,485.5,24275.0,South Asian Bulls Pvt. Ltd.,Blue Chip Securities Ltd,2026-04-30 13:07:52.342616
2026043003003639,LBBL,26,88,10,487.0,4870.0,Asian Securities Private Ltd.,Blue Chip Securities Ltd,2026-04-30 13:11:57.143270
2026043003003667,LBBL,34,48,26,485.2,12615.2,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,2026-04-30 13:12:47.329636
2026043003003736,LBBL,53,88,200,487.0,97400.0,Investment Management Nepal Pvt. Ltd.,Blue Chip Securities Ltd,2026-04-30 13:14:11.888646
2026043003003772,LBBL,14,88,50,487.0,24350.0,Nepal Stock House (PVT) Ltd.,Blue Chip Securities Ltd,2026-04-30 13:15:32.042266
2026043003003774,LBBL,59,88,40,487.0,19480.0,Deevyaa Securities & Stock House Pvt. Ltd,Blue Chip Securities Ltd,2026-04-30 13:15:45.122914
2026043003003775,LBBL,59,38,10,487.5,4875.0,Deevyaa Securities & Stock House Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 13:15:45.122951
2026043003003801,LBBL,22,38,1000,487.5,487500.0,Siprabi Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 13:16:28.352497
2026043003003838,LBBL,16,38,3990,487.5,1945125.0,Primo Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 13:17:22.906170
2026043003003850,LBBL,57,58,12,490.0,5880.0,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-30 13:17:39.099838
2026043003003851,LBBL,57,56,300,490.0,147000.0,Aryatara Investment & Securities,Sri Hari Securities Pvt. Ltd.,2026-04-30 13:17:39.099975
2026043003003852,LBBL,57,5,188,491.0,92308.0,Aryatara Investment & Securities,Market Securities & Exchange (PVT) Ltd.,2026-04-30 13:17:39.100043
2026043003004162,LBBL,94,22,200,490.0,98000.0,K.B.L. Securities Limited ,Siprabi Securities Pvt. Ltd.,2026-04-30 13:25:32.615200
2026043003004163,LBBL,94,22,90,490.0,44100.0,K.B.L. Securities Limited ,Siprabi Securities Pvt. Ltd.,2026-04-30 13:25:32.615268
2026043003004164,LBBL,94,56,200,490.8,98160.0,K.B.L. Securities Limited ,Sri Hari Securities Pvt. Ltd.,2026-04-30 13:25:32.615293
2026043003004165,LBBL,94,74,1000,490.9,490900.0,K.B.L. Securities Limited ,KALASH STOCK MARKET PVT. LTD.,2026-04-30 13:25:32.615338
2026043003004166,LBBL,94,38,510,490.9,250359.0,K.B.L. Securities Limited ,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 13:25:32.615359
2026043003004264,LBBL,45,58,10,490.0,4900.0,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-30 13:29:47.792706
2026043003004448,LBBL,57,38,200,489.9,97980.0,Aryatara Investment & Securities,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 13:36:32.320133
2026043003004537,LBBL,47,38,160,489.9,78384.0,Neev Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 13:42:35.586429
2026043003004560,LBBL,47,58,40,490.9,19636.0,Neev Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-30 13:44:43.260312
2026043003004584,LBBL,38,58,60,490.9,29454.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,2026-04-30 13:45:45.951990
2026043003004585,LBBL,38,13,40,490.9,19636.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-30 13:45:45.952313
