contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026043003000193,NABBC,71,74,50,1155.0,57750.0,SHUBHAKAMANA SECURITIES PVT. LTD,KALASH STOCK MARKET PVT. LTD.,2026-04-30 11:09:24.687371
2026043003000194,NABBC,58,74,40,1140.0,45600.0,Naasa Securities Co. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-30 11:09:24.687454
2026043003000195,NABBC,26,74,30,1136.0,34080.0,Asian Securities Private Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-30 11:09:24.687527
2026043003000472,NABBC,58,42,29,1137.0,32973.0,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-30 11:17:13.976684
2026043003000473,NABBC,26,42,20,1136.0,22720.0,Asian Securities Private Ltd.,Sani Securities Company Ltd.,2026-04-30 11:17:13.976734
2026043003000474,NABBC,58,42,17,1135.5,19303.5,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-30 11:17:13.976763
2026043003000498,NABBC,25,42,34,1105.0,37570.0,Sweta Securities Private Limited,Sani Securities Company Ltd.,2026-04-30 11:18:01.908134
2026043003000525,NABBC,71,57,100,1106.0,110600.0,SHUBHAKAMANA SECURITIES PVT. LTD,Aryatara Investment & Securities,2026-04-30 11:18:40.766956
2026043003000561,NABBC,57,57,10,1135.0,11350.0,Aryatara Investment & Securities,Aryatara Investment & Securities,2026-04-30 11:19:24.852202
2026043003000578,NABBC,71,71,10,1106.0,11060.0,SHUBHAKAMANA SECURITIES PVT. LTD,SHUBHAKAMANA SECURITIES PVT. LTD,2026-04-30 11:20:09.745047
2026043003000642,NABBC,71,57,90,1135.0,102150.0,SHUBHAKAMANA SECURITIES PVT. LTD,Aryatara Investment & Securities,2026-04-30 11:21:47.465096
2026043003000643,NABBC,71,33,10,1168.0,11680.0,SHUBHAKAMANA SECURITIES PVT. LTD,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-30 11:21:47.465205
