contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026043004001661,RURU,58,84,10,643.0,6430.0,Naasa Securities Co. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,2026-04-30 11:21:36.017826
2026043004001662,RURU,17,84,10,641.2,6412.0,ABC Securities Private Limited,MILKY WAY SHARE BROKER COMPANY LTD ,2026-04-30 11:21:36.017864
2026043004002646,RURU,47,52,10,655.0,6550.0,Neev Securities Pvt. Ltd.,Sundhara Securities Limited,2026-04-30 11:32:22.541976
2026043004002647,RURU,47,14,12,655.0,7860.0,Neev Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-30 11:32:22.542129
2026043004003776,RURU,4,34,21,650.0,13650.0,Opal Securities Investment (PVT) Ltd.,Vision Securities Pvt. Ltd,2026-04-30 11:47:38.833217
2026043004003848,RURU,44,74,10,654.0,6540.0,Dynamic Money Managers Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-30 11:48:27.386247
2026043004004421,RURU,4,33,50,650.0,32500.0,Opal Securities Investment (PVT) Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-30 11:55:11.957487
2026043004005465,RURU,59,38,40,646.2,25848.0,Deevyaa Securities & Stock House Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 12:12:09.594201
2026043004005466,RURU,17,38,100,646.1,64610.0,ABC Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 12:12:09.594285
2026043004005467,RURU,17,38,157,646.1,101437.7,ABC Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-30 12:12:09.594334
2026043004005602,RURU,17,26,30,646.1,19383.0,ABC Securities Private Limited,Asian Securities Private Ltd.,2026-04-30 12:14:44.415934
2026043004006335,RURU,4,42,4,650.0,2600.0,Opal Securities Investment (PVT) Ltd.,Sani Securities Company Ltd.,2026-04-30 12:23:19.975701
