contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026043001010004,SBI,42,45,19,399.0,7581.0,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-30 11:45:31.398826
2026043001010005,SBI,17,45,500,395.6,197800.0,ABC Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-30 11:45:31.398858
2026043001010006,SBI,17,45,500,395.5,197750.0,ABC Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-30 11:45:31.398883
2026043001010007,SBI,92,45,3481,395.0,1374995.0,Roadshow securities limited,Imperial Securities Company Pvt. Ltd.,2026-04-30 11:45:31.398903
2026043001011491,SBI,54,11,100,396.0,39600.0,Sewa Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-30 11:53:46.720674
2026043001011492,SBI,4,11,200,396.0,79200.0,Opal Securities Investment (PVT) Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-30 11:53:46.720757
2026043001012688,SBI,4,36,50,396.0,19800.0,Opal Securities Investment (PVT) Ltd.,Secured Securities Ltd.,2026-04-30 12:00:20.299611
2026043001012961,SBI,36,1,200,397.0,79400.0,Secured Securities Ltd.,Kumari Securities Private Limited,2026-04-30 12:02:16.866348
2026043001013117,SBI,4,48,30,396.0,11880.0,Opal Securities Investment (PVT) Ltd.,Trishakti Securities Public Limited,2026-04-30 12:03:23.109002
2026043001014369,SBI,4,1,280,396.0,110880.0,Opal Securities Investment (PVT) Ltd.,Kumari Securities Private Limited,2026-04-30 12:10:41.030323
2026043001014370,SBI,77,1,30,396.0,11880.0,Nabil Stock Dealer Ltd.,Kumari Securities Private Limited,2026-04-30 12:10:41.030420
2026043001015013,SBI,41,89,50,396.0,19800.0,Linch Stock Market Ltd.,Global IME Securities Limited,2026-04-30 12:14:40.861105
2026043001015973,SBI,67,33,2,390.0,780.0,Property Wiard Limited,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-30 12:20:29.845969
2026043001016077,SBI,17,1,370,395.1,146187.0,ABC Securities Private Limited,Kumari Securities Private Limited,2026-04-30 12:21:20.371314
2026043001016324,SBI,17,89,130,395.1,51363.0,ABC Securities Private Limited,Global IME Securities Limited,2026-04-30 12:23:19.000933
2026043001016784,SBI,28,89,20,395.1,7902.0,Shree Krishna Securities Ltd.,Global IME Securities Limited,2026-04-30 12:25:41.095058
2026043001017748,SBI,67,33,2,389.0,778.0,Property Wiard Limited,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-30 12:32:33.121969
2026043001026431,SBI,58,47,10,397.9,3979.0,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,2026-04-30 13:15:25.044514
