contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026043004000026,SPDL,35,57,100,392.0,39200.0,Kohinoor Investment & Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-30 11:00:54.050589
2026043004000269,SPDL,58,46,25,388.0,9700.0,Naasa Securities Co. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-30 11:04:31.606357
2026043004000357,SPDL,17,34,100,390.0,39000.0,ABC Securities Private Limited,Vision Securities Pvt. Ltd,2026-04-30 11:05:28.141910
2026043004000464,SPDL,58,34,20,390.0,7800.0,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,2026-04-30 11:06:55.046238
2026043004000474,SPDL,25,34,1412,390.0,550680.0,Sweta Securities Private Limited,Vision Securities Pvt. Ltd,2026-04-30 11:07:05.873805
2026043004000524,SPDL,25,34,6500,390.0,2535000.0,Sweta Securities Private Limited,Vision Securities Pvt. Ltd,2026-04-30 11:07:40.552678
2026043004000530,SPDL,35,57,150,392.0,58800.0,Kohinoor Investment & Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-30 11:07:49.506878
2026043004000531,SPDL,35,58,10,395.0,3950.0,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-30 11:07:49.506971
2026043004000833,SPDL,45,19,100,390.5,39050.0,Imperial Securities Company Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-30 11:12:04.130495
2026043004000834,SPDL,25,19,88,390.0,34320.0,Sweta Securities Private Limited,Nepal Investment And Securities Trading Private Limited,2026-04-30 11:12:04.130554
2026043004000993,SPDL,58,19,20,388.1,7762.0,Naasa Securities Co. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-30 11:13:54.165405
2026043004000994,SPDL,58,19,25,388.0,9700.0,Naasa Securities Co. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-30 11:13:54.165476
2026043004000995,SPDL,36,19,20,388.0,7760.0,Secured Securities Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-30 11:13:54.165504
2026043004000996,SPDL,58,19,500,388.0,194000.0,Naasa Securities Co. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-30 11:13:54.165537
2026043004000997,SPDL,21,19,100,388.0,38800.0,Midas Stock Broking Company Private Limited,Nepal Investment And Securities Trading Private Limited,2026-04-30 11:13:54.165585
2026043004000998,SPDL,72,19,500,387.1,193550.0,Hatemalo Financial Services Private Limited,Nepal Investment And Securities Trading Private Limited,2026-04-30 11:13:54.165625
